"order_lc","fom_2","fom_4","fom_8","iter"
"321,213,222,211,221,223,3,2,1,231,4,212,512",0.0822423217877371,0.192759110269759,0.385324912747216,1
"231,4,211,213,223,1,212,2,3,221,321,222,512",0.0765073264472735,0.129123942368657,0.377915594040095,2
"1,223,221,4,222,231,212,321,512,3,211,2,213",0.0744141977333189,0.135908870352827,0.349364575059571,3
"213,1,231,222,223,2,212,4,512,321,221,211,3",0.0819786877134549,0.148633047012099,0.382634754150073,4
"1,211,212,222,231,4,213,221,223,321,3,512,2",0.0874745850867654,0.148010461019733,0.378146544813211,5
"231,4,213,223,321,2,221,512,222,211,212,3,1",0.0630256757588818,0.134497877699519,0.376436666533178,6
"3,2,211,212,4,321,223,512,1,222,213,221,231",0.0771043264651326,0.204630893374519,0.418627842042282,7
"212,213,211,1,321,231,2,222,221,3,223,4,512",0.0984960046351062,0.203880797462199,0.424882035726322,8
"2,213,221,212,3,321,4,512,211,1,222,231,223",0.0711340334616485,0.168631991870879,0.444013303769402,9
"222,512,321,1,211,221,3,2,4,213,231,223,212",0.0661923564031886,0.157962821004216,0.40195042665583,10
"1,221,321,3,212,222,2,211,512,213,4,223,231",0.0863904740729762,0.206960830580462,0.430900436334788,11
"4,221,212,213,231,222,1,512,223,211,321,3,2",0.0742096425421907,0.152871951639966,0.424882335790745,12
"211,212,512,221,231,2,321,222,3,213,223,4,1",0.0983547104121081,0.198338141950375,0.416628635439571,13
"221,1,213,211,223,2,231,3,4,212,321,512,222",0.0815643148399852,0.191396255290658,0.403084263440402,14
"1,221,512,4,211,223,3,212,231,222,321,213,2",0.0746337977849232,0.131904719342152,0.357350448050374,15
"4,2,1,222,212,321,223,231,221,213,512,211,3",0.0725642070933551,0.179367217220765,0.399970810376911,16
"2,221,3,222,1,321,223,231,512,212,213,4,211",0.0871328232482923,0.155428155428155,0.343181646668177,17
"321,2,512,222,3,211,213,1,4,223,231,221,212",0.060543836724535,0.156011828913519,0.377828890623074,18
"223,3,2,1,211,212,213,321,231,221,4,222,512",0.101353756274777,0.232164677131309,0.406239628277463,19
"223,4,512,221,321,213,211,1,2,212,222,3,231",0.0817754386840103,0.218291672757393,0.466752020484917,20
"4,213,221,3,512,211,321,1,231,2,212,223,222",0.0635530558316564,0.123346711666515,0.384809923327044,21
"321,223,3,212,4,213,231,221,512,2,1,211,222",0.0797140087251575,0.152613112573669,0.385572139303483,22
"4,2,321,221,213,211,222,212,3,231,512,1,223",0.0683274731303461,0.173735381146963,0.441418594670516,23
"512,231,212,223,4,2,213,321,1,211,222,221,3",0.0797669401138482,0.140451857055451,0.396388485912804,24
"321,212,221,2,213,211,1,512,4,222,223,231,3",0.0853699198537858,0.203594640887867,0.421991200404937,25
