"","order_lc","fom_2","fom_4","fom_8","iter"
"1","211,231,2,212,221,223,512,244,222,1,241,242,321,213,243,3",0.101566648964419,0.194788273615635,0.61890243902439,1
"2","321,3,1,244,213,231,212,222,241,242,512,211,221,243,223,2",0.105871535531328,0.204314994606257,0.565495207667732,2
"3","244,321,223,2,242,211,3,231,221,243,213,212,241,1,222,512",0.102003162888772,0.19187309865276,0.628976619394405,3
"4","1,221,222,321,213,3,241,242,243,223,231,212,211,2,512,244",0.106058597375049,0.191326530612245,0.560691601976007,4
"5","512,231,213,211,244,223,221,242,222,212,2,1,243,321,3,241",0.114166244298023,0.183917525773196,0.649276466108149,5
"6","242,213,223,211,231,244,321,212,512,222,3,241,1,221,2,243",0.125335035098915,0.218822049884721,0.716557911908646,6
"7","222,512,3,321,242,211,244,241,243,213,221,2,1,223,231,212",0.102715304443225,0.220369535826949,0.555594775855984,7
"8","3,244,512,231,222,211,241,223,212,213,242,2,321,1,221,243",0.121180600702119,0.220581849761182,0.696464851686307,8
"9","222,2,242,1,223,221,241,321,243,512,3,231,211,212,244,213",0.0958244111349043,0.185313174946005,0.610609480812643,9
"10","242,3,231,2,321,243,244,222,223,241,211,512,212,1,213,221",0.0962399891407631,0.193061500337914,0.611668524712004,10
"11","222,213,244,221,241,3,212,231,243,223,211,2,242,512,1,321",0.109986859395532,0.206238064926799,0.558409570724842,11
"12","244,211,3,243,221,213,2,222,512,242,241,212,223,231,321,1",0.105341648590021,0.20857656039515,0.532635253054101,12
"13","2,241,321,1,213,3,512,222,212,231,211,221,242,223,244,243",0.108852634394223,0.198196166854565,0.63413654618474,13
"14","213,3,243,512,212,242,231,244,223,1,222,211,2,321,241,221",0.109902912621359,0.185466835656951,0.568255105696885,14
"15","512,221,231,213,1,242,222,211,2,212,321,3,244,243,241,223",0.11134989926125,0.199225865209472,0.654757281553398,15
"16","223,512,212,243,221,211,244,242,213,1,2,3,241,231,222,321",0.109121577786428,0.17951881554596,0.535332643915891,16
"17","1,223,244,321,512,222,2,243,212,211,3,213,241,231,242,221",0.119324721831436,0.207531380753138,0.605158009444242,17
"18","243,231,1,222,242,3,2,244,213,211,221,512,223,212,321,241",0.108727514990007,0.201655699426875,0.5678445229682,18
"19","244,241,321,243,221,212,1,211,512,2,213,222,3,242,231,223",0.115399712154913,0.219134492999576,0.556451612903227,19
"20","223,211,213,321,241,3,212,222,221,243,242,2,512,244,231,1",0.106206709221785,0.230718085106385,0.558247239045245,20
