"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",298,298,271,298,406,379,287,287,266,200,200,200,200,184,323,261,256,280,268,216,216,216,226,267,247,247,236,236,175,154,154
1602,"1111602","Caminha",20,20,18,20,27,25,33,33,30,36,36,36,36,33,58,47,52,56,54,48,48,48,50,59,54,54,52,52,39,34,34
1603,"1111603","Melgaço",232,232,211,232,316,295,128,128,119,0,0,0,0,0,0,0,9,10,9,14,14,14,15,18,16,16,16,16,12,10,10
1604,"1111604","Monção",936,936,851,936,1277,1192,533,533,495,25,25,25,25,23,40,33,95,104,100,128,128,128,134,158,146,146,140,140,104,91,91
1605,"1111605","Paredes de Coura",32,32,29,32,44,41,102,102,94,138,138,138,138,127,223,180,368,403,385,453,453,453,475,561,518,518,497,497,367,324,324
1606,"1111606","Ponte da Barca",97,97,88,97,132,123,75,75,70,35,35,35,35,32,56,46,163,178,170,225,225,225,236,279,258,258,247,247,182,161,161
1607,"1111607","Ponte de Lima",443,443,403,443,605,564,520,520,483,452,452,452,452,417,730,591,643,704,674,592,592,592,620,733,676,676,648,648,479,423,423
1608,"1111608","Valença",14,14,13,14,20,18,20,20,19,20,20,20,20,18,32,26,78,85,82,105,105,105,110,130,120,120,115,115,85,75,75
1609,"1111609","Viana do Castelo",319,319,290,319,435,406,333,333,309,257,257,257,257,237,415,336,424,464,444,430,430,430,450,532,491,491,470,470,348,307,307
1610,"1111610","Vila Nova de Cerveira",76,76,69,76,104,97,63,63,58,34,34,34,34,31,55,44,35,39,37,24,24,24,25,30,27,27,26,26,19,17,17
301,"1120301","Amares",331,331,301,331,452,421,223,223,207,65,65,65,65,60,105,85,51,56,53,19,19,19,20,24,22,22,21,21,16,14,14
302,"1120302","Barcelos",1051,1051,955,1051,1433,1337,1620,1620,1504,1706,1706,1706,1706,1575,2756,2231,3540,3877,3708,4003,4003,4003,4193,4956,4574,4574,4384,4384,3240,2859,2859
303,"1120303","Braga",213,213,194,213,291,272,453,453,420,550,550,550,550,508,888,719,587,643,615,409,409,409,428,506,467,467,448,448,331,292,292
306,"1120306","Esposende",268,268,244,268,366,342,303,303,281,254,254,254,254,234,410,332,297,325,311,230,230,230,241,285,263,263,252,252,186,164,164
310,"1120310","Terras de Bouro",32,32,29,32,44,41,49,49,45,51,51,51,51,47,82,67,77,84,80,74,74,74,77,91,84,84,80,80,60,52,52
313,"1120313","Vila Verde",516,516,469,516,704,657,560,560,520,451,451,451,451,416,728,590,632,692,662,575,575,575,602,712,657,657,629,629,465,410,410
307,"1130307","Fafe",55,55,50,55,75,70,240,240,223,345,345,345,345,318,557,451,225,246,236,29,29,29,30,36,33,33,31,31,23,20,20
308,"1130308","Guimarães",493,493,448,493,672,627,570,570,529,488,488,488,488,450,788,638,436,478,457,228,228,228,239,282,261,261,250,250,185,163,163
309,"1130309","Póvoa de Lanhoso",154,154,140,154,210,196,131,131,122,76,76,76,76,70,123,99,65,71,68,30,30,30,32,38,35,35,34,34,25,22,22
1314,"1131314","Santo Tirso",178,178,162,178,243,227,215,215,200,191,191,191,191,176,308,250,239,262,250,198,198,198,207,245,226,226,216,216,160,141,141
1318,"1131318","Trofa",0,0,0,0,0,0,144,144,133,236,236,236,236,218,381,308,692,758,725,876,876,876,918,1085,1002,1002,960,960,709,626,626
311,"1130311","Vieira do Minho",100,100,91,100,136,127,125,125,116,115,115,115,115,106,186,150,96,105,101,43,43,43,45,53,49,49,47,47,35,31,31
312,"1130312","Vila Nova de Famalicão",390,390,355,390,533,497,690,690,640,778,778,778,778,718,1256,1017,1703,1865,1784,1967,1967,1967,2061,2436,2248,2248,2155,2155,1593,1405,1405
314,"1130314","Vizela",0,0,0,0,0,0,8,8,7,13,13,13,13,12,21,17,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",67,67,61,67,92,85,48,48,45,18,18,18,18,17,29,24,57,62,60,74,74,74,77,91,84,84,80,80,60,52,52
1306,"1141306","Maia",87,87,79,87,118,111,186,186,173,227,227,227,227,209,366,297,808,885,847,1069,1069,1069,1120,1324,1222,1222,1171,1171,866,764,764
1308,"1141308","Matosinhos",151,151,137,151,206,192,236,236,219,250,250,250,250,231,404,327,349,382,365,316,316,316,331,391,361,361,346,346,256,226,226
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",211,211,192,211,288,269,552,552,512,715,715,715,715,660,1154,935,1592,1744,1668,1851,1851,1851,1939,2292,2115,2115,2027,2027,1498,1322,1322
1315,"1141315","Valongo",12,12,11,12,16,15,64,64,59,94,94,94,94,87,152,123,137,150,143,128,128,128,134,158,146,146,140,140,104,91,91
1316,"1141316","Vila do Conde",1057,1057,961,1057,1442,1346,2236,2236,2077,2713,2713,2713,2713,2504,4382,3547,3370,3691,3531,2772,2772,2772,2904,3432,3168,3168,3036,3036,2244,1980,1980
1317,"1141317","Vila Nova de Gaia",168,168,153,168,230,214,144,144,134,84,84,84,84,78,136,110,74,82,78,38,38,38,40,47,44,44,42,42,31,27,27
1301,"1151301","Amarante",418,418,380,418,570,532,291,291,270,98,98,98,98,90,158,128,144,158,151,136,136,136,142,168,155,155,148,148,110,97,97
1302,"1151302","Baião",47,47,43,47,64,60,88,88,81,101,101,101,101,93,163,132,134,146,140,116,116,116,122,144,133,133,128,128,94,83,83
304,"1150304","Cabeceiras de Basto",294,294,267,294,400,374,194,194,180,52,52,52,52,48,84,68,59,65,62,45,45,45,47,56,51,51,49,49,36,32,32
106,"1150106","Castelo de Paiva",12,12,11,12,16,15,43,43,40,59,59,59,59,54,95,77,74,82,78,62,62,62,65,77,71,71,68,68,50,44,44
305,"1150305","Celorico de Basto",163,163,148,163,222,207,232,232,216,234,234,234,234,216,378,306,314,344,329,276,276,276,289,342,315,315,302,302,223,197,197
1804,"1151804","Cinfães",216,216,196,216,294,274,138,138,128,30,30,30,30,28,48,39,182,200,191,262,262,262,274,324,299,299,286,286,212,187,187
1303,"1151303","Felgueiras",233,233,212,233,318,297,181,181,168,86,86,86,86,79,139,112,256,281,268,326,326,326,341,403,372,372,356,356,264,232,232
1305,"1151305","Lousada",205,205,186,205,279,260,240,240,223,209,209,209,209,193,338,273,223,244,233,155,155,155,162,192,177,177,169,169,125,110,110
1307,"1151307","Marco de Canaveses",42,42,38,42,57,53,49,49,46,43,43,43,43,40,69,56,136,149,143,176,176,176,184,218,201,201,192,192,142,126,126
1705,"1151705","Mondim de Basto",58,58,53,58,80,74,43,43,40,18,18,18,18,17,29,24,84,92,88,116,116,116,122,144,133,133,128,128,94,83,83
1309,"1151309","Paços de Ferreira",68,68,62,68,93,87,106,106,99,113,113,113,113,104,182,148,114,125,119,74,74,74,77,91,84,84,80,80,60,52,52
1310,"1151310","Paredes",148,148,135,148,202,189,142,142,132,98,98,98,98,90,158,128,130,143,136,114,114,114,119,141,130,130,124,124,92,81,81
1311,"1151311","Penafiel",111,111,101,111,152,141,99,99,92,61,61,61,61,56,98,80,183,200,192,233,233,233,244,288,266,266,255,255,189,166,166
1813,"1151813","Resende",276,276,251,276,376,351,155,155,144,3,3,3,3,3,5,4,33,36,35,50,50,50,52,62,57,57,54,54,40,36,36
1709,"1151709","Ribeira de Pena",33,33,30,33,45,42,165,165,153,241,241,241,241,222,389,315,333,365,349,300,300,300,314,371,343,343,328,328,243,214,214
104,"1160104","Arouca",189,189,172,189,258,241,274,274,255,279,279,279,279,257,450,365,504,553,529,536,536,536,562,664,613,613,588,588,434,383,383
113,"1160113","Oliveira de Azeméis",294,294,267,294,400,374,410,410,381,407,407,407,407,376,657,532,555,608,581,494,494,494,518,612,565,565,542,542,400,353,353
109,"1160109","Santa Maria da Feira",134,134,122,134,183,171,199,199,185,205,205,205,205,189,331,268,307,336,321,292,292,292,306,362,334,334,320,320,236,209,209
116,"1160116","São João da Madeira",4,4,4,4,6,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",51,51,46,51,69,64,58,58,54,50,50,50,50,46,81,65,78,85,82,76,76,76,80,94,87,87,84,84,62,54,54
1701,"1171701","Alijó",32,32,29,32,44,41,24,24,22,10,10,10,10,9,16,13,321,352,336,501,501,501,525,620,573,573,549,549,406,358,358
1801,"1171801","Armamar",0,0,0,0,0,0,2,2,2,3,2,2,4,7,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0
403,"1170403","Carrazeda de Ansiães",28,28,28,19,28,38,26,26,26,34,25,25,42,76,42,25,20,14,34,38,38,32,27,27,22,22,22,22,16,16,11
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,21,21,18,15,15,12,12,12,12,9,9,6
1805,"1171805","Lamego",44,44,44,30,44,59,20,20,20,8,6,6,10,18,10,6,7,5,12,18,18,16,13,13,10,10,10,10,8,8,5
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",119,119,119,79,119,158,256,256,256,449,337,337,562,1011,562,337,234,156,390,321,321,275,230,230,184,184,184,184,138,138,92
1812,"1171812","Penedono",101,101,101,67,101,134,44,44,44,14,10,10,17,31,17,10,7,4,11,8,8,7,6,6,4,4,4,4,3,3,2
1708,"1171708","Peso da Régua",11,11,11,7,11,15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,"1171710","Sabrosa",70,70,70,46,70,93,65,65,65,83,62,62,104,187,104,62,46,31,77,72,72,61,51,51,41,41,41,41,31,31,20
1711,"1171711","Santa Marta de Penaguião",14,14,14,9,14,19,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",16,16,16,11,16,22,6,6,6,0,0,0,0,0,0,0,9,6,14,39,39,33,28,28,22,22,22,22,17,17,11
1818,"1171818","Sernancelhe",61,61,61,41,61,82,34,34,34,24,18,18,30,54,30,18,28,19,47,88,88,76,63,63,50,50,50,50,38,38,25
1819,"1171819","Tabuaço",30,30,30,20,30,40,24,24,24,27,20,20,34,61,34,20,15,10,25,23,23,20,17,17,13,13,13,13,10,10,7
1820,"1171820","Tarouca",9,9,9,6,9,12,29,29,29,55,41,41,69,124,69,41,29,20,49,42,42,36,30,30,24,24,24,24,18,18,12
409,"1170409","Torre de Moncorvo",35,35,35,24,35,47,13,13,13,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
410,"1170410","Vila Flor",6,6,6,4,6,8,2,2,2,0,0,0,0,0,0,0,8,5,13,35,35,30,25,25,20,20,20,20,15,15,10
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1714,"1171714","Vila Real",177,177,177,118,177,236,129,129,129,134,101,101,168,302,168,101,148,99,246,447,447,384,320,320,256,256,256,256,192,192,128
401,"1180401","Alfândega da Fé",27,27,27,18,27,36,20,20,20,22,16,16,27,49,27,16,36,24,61,129,129,110,92,92,74,74,74,74,55,55,37
1702,"1181702","Boticas",30,30,30,20,30,40,35,35,35,51,38,38,64,115,64,38,107,71,178,397,397,340,283,283,227,227,227,227,170,170,113
402,"1180402","Bragança",281,281,281,187,281,375,358,358,358,539,404,404,674,1213,674,404,351,234,585,702,702,602,502,502,401,401,401,401,301,301,201
1703,"1181703","Chaves",189,189,189,126,189,252,164,164,164,199,149,149,249,448,249,149,142,95,237,317,317,272,227,227,181,181,181,181,136,136,91
405,"1180405","Macedo de Cavaleiros",155,155,155,103,155,207,198,198,198,299,224,224,374,673,374,224,236,158,394,578,578,495,412,412,330,330,330,330,248,248,165
406,"1180406","Miranda do Douro",194,194,194,130,194,259,159,159,159,185,138,138,231,416,231,138,128,85,213,276,276,236,197,197,158,158,158,158,118,118,79
407,"1180407","Mirandela",49,49,49,33,49,66,48,48,48,64,48,48,80,144,80,48,30,20,49,29,29,24,20,20,16,16,16,16,12,12,8
408,"1180408","Mogadouro",177,177,177,118,177,236,199,199,199,282,212,212,353,635,353,212,160,107,267,261,261,224,187,187,149,149,149,149,112,112,75
1706,"1181706","Montalegre",223,223,223,148,223,297,439,439,439,757,568,568,947,1704,947,568,499,333,832,1016,1016,871,726,726,580,580,580,580,435,435,290
1707,"1181707","Murça",16,16,16,11,16,22,13,13,13,14,11,11,18,32,18,11,12,8,19,29,29,24,20,20,16,16,16,16,12,12,8
1712,"1181712","Valpaços",86,86,86,57,86,114,95,95,95,134,100,100,167,300,167,100,82,54,136,150,150,128,107,107,86,86,86,86,64,64,43
1713,"1181713","Vila Pouca de Aguiar",504,504,504,336,504,673,313,313,313,266,199,199,332,597,332,199,135,90,224,174,174,149,124,124,100,100,100,100,75,75,50
411,"1180411","Vimioso",84,84,84,56,84,111,50,50,50,41,31,31,51,92,51,31,184,122,306,760,760,651,542,542,434,434,434,434,326,326,217
412,"1180412","Vinhais",233,233,233,155,233,310,232,232,232,308,231,231,385,693,385,231,188,125,313,345,345,295,246,246,197,197,197,197,148,148,98
101,"1610101","Águeda",124,69,110,55,69,124,142,195,177,223,134,134,156,223,245,312,265,243,221,175,153,153,153,197,153,175,153,153,109,109,109
102,"1610102","Albergaria-a-Velha",201,112,179,90,112,201,190,261,237,253,152,152,177,253,278,354,528,484,440,502,439,439,439,564,439,502,439,439,313,313,313
103,"1610103","Anadia",183,102,163,82,102,183,182,250,227,254,153,153,178,254,280,356,249,229,208,129,113,113,113,145,113,129,113,113,81,81,81
105,"1610105","Aveiro",314,174,279,139,174,314,229,315,287,216,130,130,151,216,237,302,240,220,200,147,129,129,129,166,129,147,129,129,92,92,92
108,"1610108","Estarreja",776,431,690,345,431,776,567,780,709,533,320,320,373,533,586,746,813,745,677,657,575,575,575,739,575,657,575,575,410,410,410
110,"1610110","Ílhavo",264,147,235,118,147,264,136,188,171,30,18,18,21,30,33,42,43,39,36,33,29,29,29,37,29,33,29,29,21,21,21
111,"1610111","Mealhada",47,26,42,21,26,47,77,106,96,146,88,88,102,146,160,204,206,189,171,158,138,138,138,177,138,158,138,138,98,98,98
112,"1610112","Murtosa",248,138,221,110,138,248,208,287,261,243,146,146,170,243,267,340,573,525,477,569,498,498,498,640,498,569,498,498,356,356,356
114,"1610114","Oliveira do Bairro",81,45,72,36,45,81,125,172,156,232,139,139,162,232,255,324,160,147,134,29,25,25,25,32,25,29,25,25,18,18,18
115,"1610115","Ovar",606,337,539,269,337,606,373,513,466,229,137,137,160,229,252,320,317,291,264,240,210,210,210,270,210,240,210,210,150,150,150
117,"1610117","Sever do Vouga",112,62,100,50,62,112,58,79,72,11,7,7,8,11,13,16,34,31,29,37,32,32,32,41,32,37,32,32,23,23,23
118,"1610118","Vagos",507,282,451,225,282,507,392,539,490,406,244,244,284,406,446,568,389,357,324,194,170,170,170,218,170,194,170,170,121,121,121
602,"1620602","Cantanhede",535,297,476,238,297,535,540,743,675,768,460,460,537,768,844,1074,781,716,651,427,374,374,374,481,374,427,374,374,267,267,267
603,"1620603","Coimbra",116,64,103,52,64,116,102,140,127,126,76,76,88,126,138,176,235,215,196,212,186,186,186,239,186,212,186,186,133,133,133
604,"1620604","Condeixa-a-Nova",89,49,79,40,49,89,88,121,110,123,74,74,86,123,135,172,92,84,76,24,21,21,21,27,21,24,21,21,15,15,15
605,"1620605","Figueira da Foz",370,206,329,164,206,370,357,491,446,486,292,292,340,486,534,680,631,578,526,452,396,396,396,509,396,452,396,396,283,283,283
608,"1620608","Mira",402,223,357,178,223,402,325,447,406,360,216,216,252,360,396,504,302,277,251,114,100,100,100,128,100,114,100,100,71,71,71
610,"1620610","Montemor-o-Velho",694,386,617,308,386,694,673,926,841,922,553,553,645,922,1014,1291,1275,1169,1063,963,843,843,843,1083,843,963,843,843,602,602,602
613,"1620613","Penacova",26,14,23,12,14,26,20,28,25,21,13,13,15,21,24,30,14,13,11,1,1,1,1,1,1,1,1,1,1,1,1
