"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",316,532,382,504,513,596,580,529,621,631,671,695,636,593,592,682,709,690,490,487,513,514,547,579,579,547,515,547,611,547,515
1602,"1111602","Caminha",44,74,53,79,88,111,115,111,137,145,160,171,161,140,128,135,127,110,68,57,49,37,27,29,29,27,25,27,30,27,25
1603,"1111603","Melgaço",83,140,101,119,109,114,100,82,87,79,76,70,57,51,49,55,55,51,34,32,32,30,30,32,32,30,28,30,34,30,28
1604,"1111604","Monção",212,356,256,291,255,254,209,160,155,128,106,82,52,54,59,75,85,90,69,74,84,90,102,108,108,102,96,102,114,102,96
1605,"1111605","Paredes de Coura",69,116,83,109,110,128,124,113,132,134,142,147,134,130,135,161,174,176,130,134,146,152,168,178,178,168,158,168,188,168,158
1606,"1111606","Ponte da Barca",115,193,139,173,168,186,173,151,170,166,170,171,151,140,138,157,162,156,109,107,112,110,116,123,123,116,109,116,130,116,109
1607,"1111607","Ponte de Lima",373,629,452,590,597,688,665,602,703,710,752,776,707,627,592,643,627,568,372,338,322,286,266,282,282,266,250,266,297,266,250
1608,"1111608","Valença",42,71,51,74,81,100,102,97,118,124,136,145,136,121,114,124,121,110,72,66,63,57,53,56,56,53,50,53,59,53,50
1609,"1111609","Viana do Castelo",842,1418,1019,1276,1240,1377,1286,1127,1276,1252,1289,1294,1150,1031,986,1086,1075,992,665,620,610,564,551,583,583,551,518,551,616,551,518
1610,"1111610","Vila Nova de Cerveira",98,164,118,140,130,137,121,100,107,99,96,90,75,66,61,64,61,54,34,29,26,21,17,18,18,17,16,17,19,17,16
301,"1120301","Amares",182,306,220,246,211,204,163,119,108,82,59,34,9,10,11,14,16,18,14,15,17,18,21,22,22,21,20,21,24,21,20
302,"1120302","Barcelos",3265,5498,3952,5035,4977,5619,5329,4741,5445,5417,5655,5752,5174,4711,4583,5141,5196,4906,3372,3241,3294,3169,3236,3426,3426,3236,3045,3236,3616,3236,3045
303,"1120303","Braga",729,1227,882,1133,1129,1284,1225,1097,1268,1268,1331,1361,1230,1090,1028,1115,1085,981,641,581,552,489,451,478,478,451,424,451,504,451,424
306,"1120306","Esposende",665,1120,805,1002,968,1070,994,866,976,953,977,976,863,801,794,910,941,910,642,634,664,659,697,738,738,697,656,697,779,697,656
310,"1120310","Terras de Bouro",150,252,181,203,175,170,137,101,94,72,54,35,14,16,18,24,28,31,24,27,31,34,39,41,41,39,37,39,44,39,37
313,"1120313","Vila Verde",550,927,666,794,734,774,686,569,610,564,547,516,430,393,383,431,437,414,286,276,282,272,280,296,296,280,264,280,313,280,264
307,"1130307","Fafe",942,1587,1141,1283,1109,1083,875,651,608,474,365,245,112,107,110,130,139,139,102,104,113,116,127,134,134,127,120,127,142,127,120
308,"1130308","Guimarães",836,1408,1012,1200,1103,1157,1018,838,890,817,785,732,602,530,497,535,516,461,298,266,247,213,189,200,200,189,178,189,211,189,178
309,"1130309","Póvoa de Lanhoso",323,544,391,437,376,364,291,213,195,147,107,64,19,22,27,37,44,49,39,44,51,56,65,69,69,65,61,65,73,65,61
1314,"1131314","Santo Tirso",1344,2264,1627,1892,1702,1742,1491,1191,1220,1074,984,867,665,612,603,685,702,673,470,460,476,468,489,518,518,489,460,489,546,489,460
1318,"1131318","Trofa",0,0,0,61,117,193,238,257,345,390,454,507,495,440,418,455,446,406,268,246,236,213,201,213,213,201,189,201,225,201,189
311,"1130311","Vieira do Minho",392,661,475,535,463,453,367,274,257,202,157,107,52,54,59,75,85,90,69,74,84,90,102,108,108,102,96,102,114,102,96
312,"1130312","Vila Nova de Famalicão",1739,2929,2105,2505,2311,2433,2150,1780,1900,1754,1695,1593,1321,1210,1185,1339,1364,1299,901,875,899,875,906,959,959,906,853,906,1012,906,853
314,"1130314","Vizela",0,0,0,10,20,33,40,44,59,66,77,86,84,76,74,83,84,79,54,52,52,50,51,54,54,51,48,51,57,51,48
107,"1140107","Espinho",22,38,27,32,29,30,26,21,22,20,19,17,14,12,12,12,12,10,7,6,6,5,4,4,4,4,4,4,4,4,4
1304,"1141304","Gondomar",758,1277,918,1039,906,894,732,553,529,426,346,255,147,136,135,155,160,155,110,108,113,112,119,126,126,119,112,119,133,119,112
1306,"1141306","Maia",1048,1764,1268,1511,1397,1474,1305,1083,1158,1072,1040,980,816,760,758,872,905,880,624,619,652,651,692,733,733,692,651,692,773,692,651
1308,"1141308","Matosinhos",805,1355,974,1197,1142,1245,1141,982,1092,1052,1065,1050,917,803,748,798,762,673,428,374,339,282,237,251,251,237,223,237,265,237,223
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",1754,2954,2123,2493,2266,2349,2039,1655,1728,1556,1463,1331,1063,962,930,1037,1040,974,664,632,635,603,607,643,643,607,571,607,678,607,571
1315,"1141315","Valongo",449,757,544,637,577,596,516,417,433,387,362,326,258,245,250,294,311,309,224,227,245,250,272,288,288,272,256,272,304,272,256
1316,"1141316","Vila do Conde",3417,5754,4136,5025,4738,5106,4624,3930,4314,4104,4096,3986,3430,3154,3102,3519,3600,3445,2402,2345,2424,2376,2476,2621,2621,2476,2330,2476,2767,2476,2330
1317,"1141317","Vila Nova de Gaia",548,922,663,763,678,684,576,451,452,387,341,287,206,186,180,200,200,187,127,121,121,115,115,122,122,115,108,115,128,115,108
1301,"1151301","Amarante",1764,2970,2135,2472,2212,2252,1914,1517,1541,1342,1211,1048,786,688,639,681,649,572,362,316,284,234,194,205,205,194,183,194,217,194,183
1302,"1151302","Baião",924,1555,1118,1271,1114,1106,912,697,676,555,462,357,224,196,183,195,186,164,105,92,83,69,58,61,61,58,55,58,65,58,55
304,"1150304","Cabeceiras de Basto",454,765,550,677,647,707,649,560,623,602,610,603,527,452,410,424,389,327,194,154,120,76,33,35,35,33,31,33,37,33,31
106,"1150106","Castelo de Paiva",268,451,324,400,384,420,387,335,374,363,369,366,321,275,250,259,238,200,119,95,74,48,22,23,23,22,21,22,25,22,21
305,"1150305","Celorico de Basto",996,1678,1206,1358,1175,1149,931,694,651,510,396,270,130,130,139,172,190,197,149,157,175,185,208,220,220,208,196,208,232,208,196
1804,"1151804","Cinfães",674,1135,816,946,847,863,735,583,593,518,469,408,307,280,272,306,309,292,201,194,197,190,194,205,205,194,183,194,217,194,183
1303,"1151303","Felgueiras",1759,2962,2129,2465,2206,2246,1910,1514,1537,1339,1209,1047,785,679,623,653,610,524,321,267,225,166,113,120,120,113,106,113,126,113,106
1305,"1151305","Lousada",1118,1882,1353,1624,1512,1608,1436,1203,1300,1216,1193,1140,962,836,771,814,766,666,414,351,305,238,179,190,190,179,168,179,200,179,168
1307,"1151307","Marco de Canaveses",1343,2262,1626,1865,1650,1658,1388,1080,1072,907,789,649,453,399,373,401,386,345,222,197,183,157,138,146,146,138,130,138,154,138,130
1705,"1151705","Mondim de Basto",174,292,210,268,265,300,285,254,292,291,304,310,279,246,230,247,237,212,136,121,112,96,84,89,89,84,79,84,94,84,79
1309,"1151309","Paços de Ferreira",335,564,405,496,472,513,469,402,446,428,432,424,369,333,321,357,357,333,226,214,214,202,202,214,214,202,190,202,226,202,190
1310,"1151310","Paredes",1371,2310,1660,1926,1727,1762,1502,1195,1218,1066,968,845,640,605,611,713,752,741,534,538,575,584,631,668,668,631,594,631,705,631,594
1311,"1151311","Penafiel",1637,2758,1982,2302,2068,2114,1806,1440,1472,1293,1180,1035,790,696,653,703,678,607,392,350,325,281,250,265,265,250,235,250,279,250,235
1813,"1151813","Resende",334,562,404,456,395,388,315,236,223,176,139,97,50,53,60,77,89,95,74,80,91,99,113,120,120,113,106,113,126,113,106
