"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",3353,3353,3353,3201,3025,2833,2629,2767,2902,2814,2723,5886,9073,9137,9191,9236,9273,8161,7116,7098,7076,7721,8322,7788,7253,6719,6185,4952,3720,2487,2487
1602,"1111602","Caminha",2092,2092,2092,2267,2332,2322,2257,2463,2660,2642,2608,5734,8969,9282,9592,9901,10207,9221,8253,8446,8638,9668,10686,10000,9314,8628,7942,6359,4776,3193,3193
1603,"1111603","Melgaço",3344,3344,3344,2771,2322,1959,1659,1608,1568,1423,1296,2650,3880,3837,3788,3734,3674,3166,2701,2634,2564,2730,2868,2684,2500,2316,2132,1707,1282,857,857
1604,"1111604","Monção",2930,2930,2930,2825,2690,2533,2362,2494,2624,2551,2474,5358,8272,8326,8372,8409,8439,7423,6470,6450,6427,7008,7550,7065,6580,6096,5611,4493,3374,2256,2256
1605,"1111605","Paredes de Coura",2134,2134,2134,1900,1698,1520,1359,1386,1415,1340,1270,2696,4089,4970,5870,6790,7726,7614,7361,8075,8794,10421,12139,11360,10580,9801,9022,7224,5426,3628,3628
1606,"1111606","Ponte da Barca",1297,1297,1297,2098,2589,2864,2983,3418,3829,3912,3950,8848,14055,14425,14789,15145,15496,13897,12348,12549,12748,14173,15565,14566,13566,12567,11568,9262,6957,4651,4651
1607,"1111607","Ponte de Lima",6826,6826,6826,6638,6360,6019,5632,5966,6294,6131,5955,12918,19970,21780,23616,25477,27360,25674,23803,25176,26557,30595,34753,32522,30290,28059,25828,20681,15533,10386,10386
1608,"1111608","Valença",1534,1534,1534,1348,1193,1058,938,950,963,907,856,1808,2731,2792,2851,2908,2964,2648,2345,2374,2403,2662,2914,2727,2540,2353,2166,1734,1302,871,871
1609,"1111609","Viana do Castelo",6933,6933,6933,5837,4966,4252,3651,3589,3544,3255,2999,6203,9184,9253,9312,9363,9405,8281,7225,7210,7192,7851,8467,7923,7380,6836,6293,5038,3784,2530,2530
1610,"1111610","Vila Nova de Cerveira",1495,1495,1495,1205,983,807,665,628,596,527,467,930,1326,1336,1344,1351,1357,1194,1042,1040,1037,1132,1220,1142,1063,985,907,726,545,365,365
301,"1120301","Amares",2540,2540,2540,2994,3231,3317,3294,3651,3991,4002,3981,8811,13856,13160,12427,11659,10859,8799,7000,6299,5587,5327,4898,4584,4269,3955,3640,2915,2189,1464,1464
302,"1120302","Barcelos",10388,10388,10388,9948,9424,8842,8218,8658,9091,8822,8541,18477,28495,29352,30197,31032,31857,28664,25551,26049,26543,29598,32600,30507,28414,26321,24228,19399,14571,9742,9742
303,"1120303","Braga",5106,5106,5106,4782,4455,4126,3794,3963,4131,3984,3837,8263,12692,13018,13338,13651,13959,12511,11111,11285,11458,12732,13975,13078,12180,11283,10386,8316,6246,4176,4176
306,"1120306","Esposende",6741,6741,6741,5877,5161,4548,4010,4039,4079,3826,3594,7570,11399,11273,11129,10968,10791,9300,7934,7736,7532,8018,8423,7882,7341,6801,6260,5012,3765,2517,2517
310,"1120310","Terras de Bouro",1285,1285,1285,1236,1175,1105,1029,1086,1142,1109,1075,2327,3592,4122,4662,5212,5771,5561,5277,5697,6120,7166,8261,7731,7200,6670,6140,4916,3692,2469,2469
313,"1120313","Vila Verde",5526,5526,5526,4858,4298,3813,3381,3423,3473,3271,3084,6518,9846,10809,11788,12781,13786,12987,12083,12821,13562,15665,17836,16691,15546,14401,13256,10614,7972,5330,5330
