"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1.8,1.9,2,2.2,2.3,2.3,2.3,2.5,2.7,2.8,2.9,3,2,1.8,1.5,1.2,1,1,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1
1602,"1111602","Caminha",0,0,0,0.1,0.2,0.3,0.5,0.6,0.8,1,1.1,1.4,1,0.8,0.7,0.5,0.4,0.3,0.3,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0.9,1,1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",3.7,3.9,4,4.2,4.1,4,3.8,3.7,3.7,3.6,3.4,3.3,2,1.8,1.5,1.2,1,1,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1
1607,"1111607","Ponte de Lima",16.5,17.4,18,18.5,17.9,17.1,15.9,15.6,15.4,14.4,13.4,12.4,7.1,6.2,5.3,4.3,3.4,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3,3
1608,"1111608","Valença",0.9,1,1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",6.4,6.8,7,7.9,8.4,8.8,9.1,10,11.1,11.8,12.5,13.5,9.1,7.7,6.3,4.9,3.6,3.2,2.8,2.5,2,1.6,1,1,1,1,1,1,1,1,1
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",20.2,21.3,22.1,25.8,28.4,30.7,32.7,36.2,41,44.7,48.2,53.3,36.5,30.9,25.2,19.9,14.6,13.3,12,10.5,9,7.2,5.1,5.1,5.1,5.1,5.2,5.1,5.1,5,5
