Main_animals,Animals,Fe,Unit,Source
Bovine,Male_calf_2,0.6181,%,APA 
Bovine,Male_calf_1-2,0.6181,%,APA 
Bovine,Non_dairy,0.6181,%,APA 
Bovine,Other_calf,0.6181,%,APA 
Bovine,Beef_calf,0.6181,%,APA 
Bovine,Dairy_cows,0.7286,%,APA 
Bovine,Female_calf_2,0.6181,%,APA 
Bovine,Female_calf_1-2,0.6181,%,APA 
Bovine,Female_calf-1,0.6181,%,APA 
Equides,Horses,,,
Equides,Other_equidae,,,
Goats,Goats,0.6333,%,APA 
Goats,Doeling,0.6333,%,APA 
Goats,Buck,0.6333,%,APA 
Sheep,Ewes_dairy,0.6333,%,APA 
Sheep,Ewes_other,0.6333,%,APA 
Sheep,Ram,0.6333,%,APA 
Rabbits,Rabbits,0.5896,%,APA 
Pigs,Pregnant_sows,0.8444,%,APA 
Pigs,Other_swine,0.8444,%,APA 
Pigs,Pigs_50,0.8444,%,APA 
Pigs,Pigs_20,0.8444,%,APA 
Pigs,Non_pregnant_sows,0.8444,%,APA 
Poultry,Broilers,,,
Poultry,Ducks,,,
Poultry,Geese,,,
Poultry,Rep_hens,,,
Poultry,Turkeys,,,
Poultry,Laying_hens,,,
