"Muni_ID","ID","Muni","1989","1999","2009"
1601,"1111601","Arcos de Valdevez","3358","9088","8326"
1602,"1111602","Caminha","2095","8984","10691"
1603,"1111603","Melgaço","3349","3886","2869"
1604,"1111604","Monção","2935","8286","7553"
1605,"1111605","Paredes de Coura","2137","4096","12144"
1606,"1111606","Ponte da Barca","1299","14078","15572"
1607,"1111607","Ponte de Lima","6837","20003","34768"
1608,"1111608","Valença","1536","2736","2915"
1609,"1111609","Viana do Castelo","6944","9199","8471"
1610,"1111610","Vila Nova de Cerveira","1497","1328","1221"
301,"1120301","Amares","2544","13879","4900"
302,"1120302","Barcelos","10404","28542","32614"
303,"1120303","Braga","5114","12713","13981"
306,"1120306","Esposende","6751","11418","8427"
310,"1120310","Terras de Bouro","1287","3598","8265"
313,"1120313","Vila Verde","5535","9862","17844"
307,"1130307","Fafe","2927","21815","48270"
308,"1130308","Guimarães","5070","7523","10920"
309,"1130309","Póvoa de Lanhoso","4910","3340","5629"
1314,"1131314","Santo Tirso","2748","4301","3271"
1318,"1131318","Trofa","0","1596","2466"
311,"1130311","Vieira do Minho","2102","5022","4437"
312,"1130312","Vila Nova de Famalicão","5308","11747","9180"
314,"1130314","Vizela","0","732","668"
107,"1140107","Espinho","69","313","160"
1304,"1141304","Gondomar","2523","4155","2881"
1306,"1141306","Maia","1088","2771","2012"
1308,"1141308","Matosinhos","828","1736","1364"
1312,"1141312","Porto","0","0","30"
1313,"1141313","Póvoa de Varzim","3542","8567","4712"
1315,"1141315","Valongo","683","1554","61495"
1316,"1141316","Vila do Conde","2471","4461","4677"
1317,"1141317","Vila Nova de Gaia","2707","4736","1744"
1301,"1151301","Amarante","2308","7818","7440"
1302,"1151302","Baião","2442","4926","5319"
304,"1150304","Cabeceiras de Basto","3722","6212","11087"
106,"1150106","Castelo de Paiva","918","2166","3560"
305,"1150305","Celorico de Basto","2634","5584","5341"
1804,"1151804","Cinfães","1502","4104","4503"
1303,"1151303","Felgueiras","2033","5086","6309"
1305,"1151305","Lousada","1413","3312","2968"
1307,"1151307","Marco de Canaveses","1718","4297","3386"
1705,"1151705","Mondim de Basto","795","1820","2796"
1309,"1151309","Paços de Ferreira","1218","3012","2392"
1310,"1151310","Paredes","2609","8430","5225"
1311,"1151311","Penafiel","2487","7544","4506"
1813,"1151813","Resende","1440","5973","2750"
1709,"1151709","Ribeira de Pena","1750","3072","4286"
104,"1160104","Arouca","2545","5571","3778"
113,"1160113","Oliveira de Azeméis","2352","7142","2735"
109,"1160109","Santa Maria da Feira","1955","5498","3122"
116,"1160116","São João da Madeira","59","0","104"
119,"1160119","Vale de Cambra","2530","4144","2678"
1701,"1171701","Alijó","967","2753","1692"
1801,"1171801","Armamar","225","1548","973"
403,"1170403","Carrazeda de Ansiães","766","2230","1312"
404,"1170404","Freixo de Espada à Cinta","214","636","423"
1805,"1171805","Lamego","685","2475","1746"
1704,"1171704","Mesão Frio","23","565","194"
1807,"1171807","Moimenta da Beira","1344","16122","4099"
1812,"1171812","Penedono","592","1099","746"
1708,"1171708","Peso da Régua","449","1874","949"
1710,"1171710","Sabrosa","411","7427","28554"
1711,"1171711","Santa Marta de Penaguião","81","1387","687"
1815,"1171815","São João da Pesqueira","343","1563","579"
1818,"1171818","Sernancelhe","954","3329","11622"
1819,"1171819","Tabuaço","326","942","803"
1820,"1171820","Tarouca","426","6669","9983"
409,"1170409","Torre de Moncorvo","347","2202","14734"
410,"1170410","Vila Flor","331","1867","759"
914,"1170914","Vila Nova de Foz Côa","214","746","127"
1714,"1171714","Vila Real","2200","13398","19718"
401,"1180401","Alfândega da Fé","247","4730","836"
1702,"1181702","Boticas","1263","11941","18355"
402,"1180402","Bragança","3201","18184","7119"
1703,"1181703","Chaves","6942","31399","51193"
405,"1180405","Macedo de Cavaleiros","1456","5320","21247"
406,"1180406","Miranda do Douro","577","3863","5668"
407,"1180407","Mirandela","1064","14727","30218"
408,"1180408","Mogadouro","1268","13524","12747"
1706,"1181706","Montalegre","2299","23077","11615"
1707,"1181707","Murça","1217","2334","1596"
1712,"1181712","Valpaços","4126","15113","10081"
1713,"1181713","Vila Pouca de Aguiar","2022","16729","15846"
411,"1180411","Vimioso","479","2554","2454"
412,"1180412","Vinhais","1584","7341","7209"
101,"1610101","Águeda","4240","21675","8714"
102,"1610102","Albergaria-a-Velha","2258","10720","4707"
103,"1610103","Anadia","3924","9827","9039"
105,"1610105","Aveiro","2596","3451","1773"
108,"1610108","Estarreja","2926","5876","1188"
110,"1610110","Ílhavo","712","15425","19046"
111,"1610111","Mealhada","2042","10416","2353"
112,"1610112","Murtosa","562","1016","820"
114,"1610114","Oliveira do Bairro","2472","2695","2109"
115,"1610115","Ovar","1166","4652","2900"
117,"1610117","Sever do Vouga","1606","23182","13971"
118,"1610118","Vagos","1217","17476","3386"
602,"1620602","Cantanhede","3906","13399","14886"
603,"1620603","Coimbra","1774","4857","2606"
604,"1620604","Condeixa-a-Nova","738","2628","1062"
605,"1620605","Figueira da Foz","2745","2946","1730"
608,"1620608","Mira","2087","8979","10219"
