Main_animals_id,Main_animals,Animals,Animals_id,other_params
"""0004541""",Goats,Goats,T,Muni
"""0004430""",Bovine,Dairy_cows,2231,Muni
"""0004430""",Bovine,Non_dairy,2232,Muni
"""0004430""",Bovine,Beef_calf,11,Muni
"""0004430""",Bovine,Other_calf,121,Muni
"""0004430""",Bovine,Female_calf-1,122,Muni
"""0004430""",Bovine,Male_calf_1-2,211,Muni
"""0004430""",Bovine,Female_calf_1-2,212,Muni
"""0004430""",Bovine,Male_calf_+2,221,Muni
"""0004430""",Bovine,Female_calf_+2,222,Muni
"""0004475""",Pigs,Sows_50+,2,Muni
"""0004475""",Pigs,Pigs_+50,3,Muni
"""0004475""",Pigs,Pigs_20,1,Muni
"""0004475""",Pigs,Other_swine,4,Muni
"""0004509""",Sheep,Ewes,T,Muni
"""0004565""",Equides,Horses,1,Def
"""0004565""",Equides,Other_equidae,2,Def
"""0004606""",Rabbits,Rabbits,T,Def
"""0004591""",Poultry,Broilers,1,Def
"""0004591""",Poultry,Ducks,4,Def
"""0004591""",Poultry,Geese,5,Def
"""0004591""",Poultry,Rep_laying_hens,2,Def
"""0004591""",Poultry,Turkeys,3,Def
