"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",7662.1,7662.1,7662.1,9895.2,11875.1,13609.1,15104.1,16670.6,18083,22685.7,27757.6,31318.7,35028.7,37838.1,40605.6,43336.1,46032.6,47621.8,49199.9,48555.5,47935.5,45476.1,43064.2,43894.2,44724.7,45555.2,46384.9,46384.9,46384.9,46384.9,46384.9
1602,"1111602","Caminha",6533.7,6533.7,6533.7,6019.9,5531.8,5068.7,4630,4293.3,3972,4299.2,4578.7,4527.1,4460.4,5035.8,5627.3,6233.8,6853.4,7320.5,7791.4,7905.6,8009.8,7786.3,7544.1,7689.6,7834.9,7980.4,8125.9,8125.9,8125.9,8125.9,8125.9
1603,"1111603","Melgaço",38086.5,38086.5,38086.5,33960.3,30096.9,26488.9,23129.3,20382.6,17796.5,18019.8,17755.2,16009.9,14109.9,17680.4,21475.8,25476.1,29662.5,33266.2,36926.8,38867.9,40672.8,40685.8,40442.2,41221.7,42001.7,42781.5,43561,43561,43561,43561,43561
1604,"1111604","Monção",17341,17341,17341,15949.4,14629.1,13377.7,12193.5,11279.8,10409.9,11236.6,11931.3,11759,11544.9,12192.7,12799.4,13368.2,13903.4,14088.9,14264.4,13800.8,13362,12437.3,11559.2,11782,12005,12227.8,12450.5,12450.5,12450.5,12450.5,12450.5
1605,"1111605","Paredes de Coura",12027.7,12027.7,12027.7,10821.3,9688.4,8626.8,7634.3,6833.7,6078,6292.6,6371.2,5943.5,5472.6,5938.1,6399.5,6858,7313.2,7593.5,7872.9,7796.3,7722,7348.9,6979.8,7114.2,7249,7383.4,7517.9,7517.9,7517.9,7517.9,7517.9
1606,"1111606","Ponte da Barca",9068.8,9068.8,9068.8,10114.5,11020.3,11790.1,12427.6,13176.8,13840.5,16911.4,20242.4,22417.3,24674.5,24251.9,23561.8,22629,21476.1,19676.8,17809.7,15189.1,12729.4,10008.6,7592.7,7739,7885.4,8032,8178.3,8178.3,8178.3,8178.3,8178.3
1607,"1111607","Ponte de Lima",5488.8,5488.8,5488.8,5725.1,5916,6063.4,6167.9,6346.9,6498.4,7766.8,9119,9928.4,10764.6,11187.7,11554.1,11869.7,12138.7,12091.7,12030.7,11435,10874,9936.8,9064.2,9238.9,9413.6,9588.5,9763.2,9763.2,9763.2,9763.2,9763.2
1608,"1111608","Valença",2305.5,2305.5,2305.5,2184,2065.8,1950.5,1837.9,1760.7,1685.1,1889.7,2088.5,2146.8,2203.2,2541.2,2892.5,3256.2,3631,3927.2,4226.6,4331.6,4428.5,4340.2,4236.6,4318.1,4399.9,4481.7,4563.3,4563.3,4563.3,4563.3,4563.3
1609,"1111609","Viana do Castelo",9236.2,9236.2,9236.2,8671.1,8126.5,7601.3,7095.3,6730.6,6378.5,7080.8,7745.5,7878.6,7999.8,8728.6,9456.5,10183.6,10910.2,11379.2,11847.6,11779,11710.7,11185,10660.1,10865.6,11071.1,11276.8,11482.3,11482.3,11482.3,11482.3,11482.3
1610,"1111610","Vila Nova de Cerveira",5100,5100,5100,4420.4,3788.6,3203.3,2663.3,2207.8,1781.2,1621.9,1373.8,977.7,553.5,765.5,993.6,1236.1,1491.8,1720.4,1953.4,2094.4,2225.9,2256.1,2268,2311.7,2355.5,2399.2,2443,2443,2443,2443,2443
301,"1120301","Amares",124.2,124.2,124.2,111.5,99.6,88.6,78,69.7,61.6,63.5,64,59.1,54,96.9,143.6,193.9,247.1,296.5,346.7,380.4,412,424.2,432,440.4,448.7,457.1,465.2,465.2,465.2,465.2,465.2
302,"1120302","Barcelos",170.1,170.1,170.1,166.1,161.5,156.9,152,149.9,147.2,169.6,192.2,202.8,213.3,230.9,248.4,265.7,282.7,293,303.5,300,296.5,281.9,267.3,272.4,277.6,282.7,287.8,287.8,287.8,287.8,287.8
303,"1120303","Braga",340.2,340.2,340.2,331.6,322.1,312.7,302.4,297.3,291.9,335.6,380.4,400.7,421.2,455.2,489,522.2,555.1,574.6,594,586.7,579.4,550,521.1,531.1,541.1,551.3,561.3,561.3,561.3,561.3,561.3
306,"1120306","Esposende",356.4,356.4,356.4,305.6,258.7,215.2,175.2,141.2,109.4,93.7,71,39.2,5.4,8.4,11.3,14.6,18.1,21.3,24.6,26.7,28.6,29.4,29.7,30.2,30.8,31.3,31.9,31.9,31.9,31.9,31.9
310,"1120310","Terras de Bouro",6185.4,6185.4,6185.4,7151.2,7996.3,8724,9337.7,10023.5,10635.3,13105.5,15799.9,17605.6,19482.7,20169.5,20746.5,21223.9,21611.1,21430.4,21222.3,20074,18991.5,17263.5,15660.5,15962.4,16264.3,16566.4,16868.2,16868.2,16868.2,16868.2,16868.2
313,"1120313","Vila Verde",342.9,342.9,342.9,512.7,664.5,798.1,914.8,1033.3,1140.5,1450.7,1794.7,2043.6,2303.1,2443.5,2576.6,2703.2,2824.2,2874.7,2923.6,2840.9,2762.9,2582.8,2411.1,2457.5,2504,2550.7,2597.1,2597.1,2597.1,2597.1,2597.1
307,"1130307","Fafe",1031.4,1031.4,1031.4,940.4,854.3,773.3,696.9,636.9,580,616.7,644.2,623.2,599.4,724.1,855.9,993.9,1137.5,1257.9,1380,1438.3,1492.3,1481.8,1463.4,1491.5,1519.8,1548.2,1576.3,1576.3,1576.3,1576.3,1576.3
308,"1130308","Guimarães",307.8,307.8,307.8,277.6,248.9,222.2,197.4,177.1,158.2,164.4,167.4,157.1,145.8,223.3,307,396.6,491.4,577.8,666.1,722.8,775.4,792.2,801.9,817.3,833,848.3,863.7,863.7,863.7,863.7,863.7
309,"1130309","Póvoa de Lanhoso",1177.2,1177.2,1177.2,1065.4,960.4,861.3,768.7,694.7,624.8,655.3,673.4,639.6,602.1,667.4,733.9,801.1,869.1,917.2,965.3,969.6,973.4,938.3,901.8,919.1,936.6,953.9,971.5,971.5,971.5,971.5,971.5
1314,"1131314","Santo Tirso",140.4,140.4,140.4,128,116.1,105,94.8,86.4,78.6,83.7,87.2,84.2,81,100.2,120.4,141.5,163.9,182.8,202,212,221.1,220.6,218.7,223,227.1,231.4,235.4,235.4,235.4,235.4,235.4
1318,"1131318","Trofa",0,0,0,7.3,13.8,19.4,24.6,29.4,34,44.8,56.7,65.9,75.6,76.7,77.2,77.2,76.7,74,71.3,65.3,59.9,52.7,45.9,46.7,47.8,48.6,49.4,49.4,49.4,49.4,49.4
311,"1130311","Vieira do Minho",10383.7,10383.7,10383.7,9637.1,8924.6,8244.7,7597,7110.2,6643.9,7267.9,7829.2,7836.8,7824.3,8843.6,9892.8,10968.8,12069,12900.6,13739,13948.5,14140.2,13752.5,13330.4,13587.5,13844.5,14101.6,14358.3,14358.3,14358.3,14358.3,14358.3
