"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",8610,3114,10356,10266,9198,5622,3786,5580,4266,5742,1560,1638,1962,1284,2052,1152,1134,1278,1170,1116,804,858,888,936,846,678,840,738,936,810,1062
1602,"1111602","Caminha",1572,570,1890,1812,1620,954,630,894,654,840,210,210,204,126,210,108,114,138,114,114,72,84,96,102,90,72,90,78,96,84,108
1603,"1111603","Melgaço",4530,1638,5448,5442,4920,3018,2046,3054,2376,3216,888,942,1170,816,1356,810,846,1026,990,1020,804,900,1032,1092,984,786,954,858,1086,936,1230
1604,"1111604","Monção",10470,3792,12624,12528,11274,6948,4686,6960,5382,7272,2016,2142,2622,1812,3042,1818,1884,2262,2226,2274,1770,2028,2280,2406,2172,1734,2148,1890,2418,2076,2730
1605,"1111605","Paredes de Coura",1572,570,1890,1812,1590,936,600,852,588,720,174,150,126,72,120,72,78,90,66,72,36,42,48,48,48,36,42,36,48,42,54
1606,"1111606","Ponte da Barca",5940,2148,7146,6960,6138,3696,2430,3468,2568,3276,840,804,840,570,936,540,546,636,606,606,456,504,552,582,528,420,510,468,594,498,654
1607,"1111607","Ponte de Lima",16410,5940,19770,19590,17598,10800,7260,10728,8256,11076,3042,3204,3846,2562,4128,2322,2322,2646,2448,2388,1752,1884,2016,2130,1920,1536,1884,1656,2124,1830,2400
1608,"1111608","Valença",2670,966,3210,3174,2808,1710,1140,1656,1266,1686,450,450,534,354,600,342,360,408,384,396,294,336,360,378,342,276,354,312,396,330,438
1609,"1111609","Viana do Castelo",11256,4068,13536,13212,11640,6966,4560,6522,4794,6084,1542,1464,1500,996,1566,882,870,984,918,858,642,672,696,732,666,528,666,582,738,642,846
1610,"1111610","Vila Nova de Cerveira",1098,396,1320,1260,1128,660,426,618,456,564,138,126,126,72,120,72,78,90,66,72,36,42,48,48,48,36,42,36,48,42,54
301,"1120301","Amares",7038,2544,8466,8388,7578,4632,3114,4638,3570,4806,1320,1404,1704,1140,1836,1026,1020,1164,1080,1068,768,834,888,936,846,678,840,738,936,810,1062
302,"1120302","Barcelos",26274,9498,31602,30888,27252,16344,10704,15342,11346,14508,3714,3570,3714,2436,3858,2124,2076,2304,2064,1950,1386,1422,1440,1518,1374,1098,1350,1188,1530,1308,1722
303,"1120303","Braga",11568,4182,13914,13698,12192,7374,4902,7146,5400,7086,1878,1902,2166,1404,2232,1242,1206,1326,1212,1140,804,834,840,888,798,642,798,702,888,768,1008
306,"1120306","Esposende",3456,1248,4158,4014,3516,2118,1374,1932,1416,1746,444,402,384,252,390,216,210,228,204,210,126,126,144,150,138,108,132,114,150,126,162
310,"1120310","Terras de Bouro",3612,1308,4344,4242,3726,2220,1446,2070,1524,1932,480,450,456,300,480,252,264,294,246,258,162,186,192,204,180,144,180,156,198,168,216
313,"1120313","Vila Verde",11412,4122,13722,13500,12006,7278,4812,7026,5292,6930,1830,1854,2088,1350,2142,1188,1152,1278,1146,1092,768,792,792,834,756,600,750,660,840,726,954
307,"1130307","Fafe",9864,3564,11868,11622,10296,6210,4098,5928,4446,5772,1494,1488,1626,1068,1686,954,924,1050,942,906,660,672,696,732,666,528,666,582,738,642,846
308,"1130308","Guimarães",26118,9438,31416,30630,26946,16110,10500,14976,10998,13914,3510,3306,3336,2190,3528,1980,1944,2214,2022,1950,1428,1506,1584,1674,1512,1206,1482,1308,1680,1434,1884
309,"1130309","Póvoa de Lanhoso",12378,4476,14886,14472,12678,7548,4902,6936,5052,6336,1572,1440,1374,888,1416,792,774,870,762,720,528,546,552,582,528,420,510,468,594,498,654
1314,"1131314","Santo Tirso",9396,3396,11298,11040,9714,5838,3816,5466,4032,5148,1314,1254,1296,870,1386,792,792,912,852,810,600,648,696,732,666,528,666,582,738,642,846
1318,"1131318","Trofa",0,0,0,30,90,78,84,138,150,282,90,126,204,144,240,126,132,162,156,162,108,126,144,150,138,108,132,114,150,126,162
311,"1130311","Vieira do Minho",5472,1974,6576,6444,5712,3426,2256,3240,2418,3120,804,786,840,552,846,468,450,504,450,420,276,294,288,306,276,222,264,234,294,252,330
312,"1130312","Vila Nova de Famalicão",13140,4758,15834,15576,13842,8388,5556,8082,6096,7986,2106,2130,2418,1602,2592,1458,1452,1668,1524,1488,1098,1170,1272,1344,1212,966,1176,1032,1332,1146,1500
314,"1130314","Vizela",0,0,0,66,120,114,114,228,264,438,150,210,330,216,360,198,210,228,222,210,144,168,192,204,180,144,180,156,198,168,216
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",5940,2148,7146,6960,6108,3636,2370,3354,2484,3120,774,726,714,462,756,414,396,432,384,372,258,270,288,306,276,222,264,234,294,252,330
1306,"1141306","Maia",1572,570,1890,1812,1620,954,630,894,654,840,210,210,204,126,210,108,114,138,114,114,72,84,96,102,90,72,90,78,96,84,108
1308,"1141308","Matosinhos",474,168,564,552,486,294,198,276,198,282,66,72,78,36,60,36,36,24,24,24,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",2016,726,2424,2364,2076,1224,786,1104,804,996,240,216,204,126,210,108,114,138,114,114,72,84,96,102,90,72,90,78,96,84,108
1315,"1141315","Valongo",2172,786,2610,2592,2262,1380,900,1308,960,1248,312,300,330,216,360,198,210,228,222,210,144,168,192,204,180,144,180,156,198,168,216
1316,"1141316","Vila do Conde",2826,1020,3402,3300,2874,1692,1086,1536,1110,1374,330,288,252,162,270,144,132,162,132,138,90,84,96,102,90,72,90,78,96,84,108
1317,"1141317","Vila Nova de Gaia",1860,672,2232,2172,1896,1128,714,1008,696,876,204,174,126,90,150,90,96,114,132,138,90,126,144,150,138,108,132,114,150,126,162
1301,"1151301","Amarante",25176,9108,30312,29886,26700,16248,10830,15846,12042,15942,4266,4398,5088,3432,5544,3180,3186,3696,3480,3414,2574,2778,3054,3216,2904,2322,2832,2514,3204,2766,3630
1302,"1151302","Baião",16254,5886,19578,19332,17262,10524,7032,10314,7860,10422,2808,2904,3384,2280,3708,2124,2112,2466,2310,2274,1698,1842,2016,2130,1920,1536,1884,1656,2124,1830,2400
304,"1150304","Cabeceiras de Basto",10626,3840,12780,12564,11184,6750,4470,6498,4902,6396,1680,1680,1908,1266,2052,1170,1170,1344,1260,1230,912,1002,1080,1140,1032,822,996,894,1134,978,1284
106,"1150106","Castelo de Paiva",4842,1752,5826,5700,5040,3036,1986,2850,2112,2712,702,678,714,516,876,522,564,684,672,696,564,648,744,786,708,564,708,624,792,684,900
305,"1150305","Celorico de Basto",11568,4182,13914,13890,12528,7746,5244,7830,6078,8298,2298,2490,3054,2064,3348,1908,1926,2214,2088,2064,1536,1674,1824,1926,1740,1386,1704,1500,1926,1662,2184
1804,"1151804","Cinfães",9708,3510,11676,11394,10080,6072,3972,5718,4248,5460,1404,1362,1452,942,1476,828,792,888,810,744,528,546,552,582,528,420,510,468,594,498,654
1303,"1151303","Felgueiras",15024,5430,18066,17940,16098,9882,6642,9810,7560,10140,2778,2928,3510,2364,3828,2178,2166,2508,2334,2298,1716,1860,2016,2130,1920,1536,1884,1656,2124,1830,2400
1305,"1151305","Lousada",10152,3678,12246,12144,10908,6654,4470,6612,5094,6834,1854,1956,2340,1584,2562,1476,1470,1710,1614,1578,1188,1278,1392,1470,1326,1062,1308,1152,1482,1266,1668
1307,"1151307","Marco de Canaveses",14082,5088,16932,16806,15090,9240,6198,9186,7056,9456,2586,2718,3258,2172,3528,1998,1980,2280,2136,2064,1536,1650,1776,1878,1692,1350,1662,1464,1872,1620,2130
1705,"1151705","Mondim de Basto",5472,1974,6576,6510,5868,3618,2430,3606,2766,3744,1014,1080,1296,870,1416,810,810,960,900,882,660,732,792,834,756,600,750,660,840,726,954
1309,"1151309","Paços de Ferreira",3768,1362,4530,4404,3852,2274,1470,2088,1524,1902,462,414,384,252,390,216,210,228,204,210,126,126,144,150,138,108,132,114,150,126,162
1310,"1151310","Paredes",9708,3510,11676,11430,10140,6108,4032,5808,4332,5616,1458,1440,1578,1068,1716,990,1002,1164,1098,1092,822,900,984,1038,936,750,930,816,1038,894,1176
1311,"1151311","Penafiel",17064,6168,20526,20268,18114,11034,7356,10794,8214,10890,2928,3018,3510,2382,3888,2232,2262,2622,2490,2460,1866,2046,2256,2382,2148,1716,2100,1854,2370,2034,2676
1813,"1151813","Resende",8454,3054,10170,10068,9042,5526,3702,5442,4182,5586,1518,1602,1908,1266,2022,1134,1110,1278,1170,1140,822,876,936,990,894,714,888,780,984,852,1122
1709,"1151709","Ribeira de Pena",4842,1752,5826,5796,5166,3150,2100,3102,2376,3150,852,888,1044,678,1056,594,564,618,564,510,366,378,360,378,342,276,354,312,396,330,438
