"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",18817.8,19298.2,21158.4,21296.5,19288.7,19363,19969.4,19330.8,23403.3,26407.7,24770.7,24751.4,22222.3,23494.8,22154.6,21395.9,22884,20430.3,20312.5,22519.2,21567.5,21687,22397.3,22324.1,22423.7,22005.6,21813.9,21470.8,21665.7,21511.6,21502.5
1602,"1111602","Caminha",230.9,273.7,266.1,284.3,260.6,282.2,431.2,424.3,485.6,753,714.3,713.6,646.3,673.2,654,638.9,702.4,640,616,683.1,656.4,666.3,687.5,685.2,687.4,682.2,681.5,670.4,670.1,666.7,665.1
1603,"1111603","Melgaço",6707.1,6818.6,7523,7569.4,6882.5,6899.3,5968.8,5816.9,7057.4,6454.1,6042.5,6034.2,5420.5,5747.6,5370.6,5178.7,4255.1,3773.7,3810.9,2932.5,2799.2,2814.7,2895.6,2860.3,2873.1,2815.7,2801.8,2741.7,2758.8,2747.9,2756.4
1604,"1111604","Monção",5826.4,5952.1,6520.1,6586.7,6075.1,6087.2,6871.3,6711.6,8122.9,9974.5,9316.3,9310.5,8349.2,8862.2,8253.6,7934.7,7044.8,6165.2,6283.1,5513.8,5228.9,5238.5,5391.4,5285,5288.7,5150.8,5137,5007.3,5002.8,4984.6,4991.9
1605,"1111605","Paredes de Coura",1365.7,1461.7,1544.5,1588.4,1450.1,1477.3,2443.6,2413.2,2836.6,4345.9,4107.8,4107.8,3761,3963.8,3876.3,3745.1,5360,4918.2,4844.1,6594.8,6374.7,6438,6654.5,6784.7,6775.5,6708.4,6655.2,6599,6504.3,6396.3,6388
1606,"1111606","Ponte da Barca",7649.6,7714,8577.2,8595.7,7710.9,7722.9,6830.7,6539.3,8068.6,7590.5,7077.2,7074.6,6303,6694.1,6205.6,5959.9,5794.9,5035.9,5115.9,5067.2,4812.1,4821.3,4970,4889.9,4886.8,4764.2,4751.9,4635.7,4617.2,4593.7,4590.3
1607,"1111607","Ponte de Lima",8263.7,8900.4,9397.3,9625.7,8813.8,9122.7,9187.1,9024.7,10482.3,11760.9,11126.3,11149.2,10234.6,10700.6,10601,10230.4,10950.5,10261.5,9841.3,10459.1,10258,10501.8,10815,11107,11170.4,11185.6,11147.1,11136.5,11128.1,11000.2,10958.8
1608,"1111608","Valença",684.8,713.9,774.3,782.8,706.9,716.8,1212.2,1165.1,1413,2218.7,2073.5,2072.2,1849.2,1954,1822,1756.8,1759.3,1547.2,1547.9,1570.7,1504.5,1512.8,1556.9,1549.1,1546.2,1513.5,1510.6,1481.5,1475.9,1464.6,1458.4
1609,"1111609","Viana do Castelo",5140.5,6286.6,6077.1,6500.8,6057.3,6470.1,6798.6,6805.2,7404.1,9105.8,8604.1,8640,7835.8,7978.4,7972.3,7678.3,8284.7,8033.5,7238.3,7392.9,7355.3,7575.5,7809,8156.5,8175.2,8240.4,8226.6,8282.8,8400.4,8236.6,8089.3
1610,"1111610","Vila Nova de Cerveira",208.1,255.9,243.2,266.3,253.6,272.4,531.7,535,609.9,1020,965,967.8,898.4,949.1,918.1,895.9,712.8,661.1,645.3,459.9,450.3,462.3,472.2,480.1,487,488.4,487.4,486.7,492.9,489.8,492.4
301,"1120301","Amares",4557.5,4788,5140.2,5229.2,4851.1,4905.2,4342.1,4325.2,5106.6,4822.4,4547.2,4546.1,4165.1,4407.6,4228.8,4105.2,3743,3418.4,3448.3,3230.3,3095.3,3132.2,3205.7,3199.7,3241,3208.2,3163.3,3122.6,3146.3,3129.9,3191.8
302,"1120302","Barcelos",6200.3,7798.3,7357.4,7993.4,7411.3,8096.6,11265,11219.6,12296.4,17912.9,17192.1,17260,16445.2,17092.6,17346.9,17152.2,19762.8,19285.8,17601.5,19702.6,19843.5,20503.8,21067.8,22404.1,22634.1,22994.4,22876,23310.7,23593.6,23076.2,22809.7
303,"1120303","Braga",5808.6,6698,6732.8,7040.7,6505.3,6790,8930.8,8849.1,10020.5,13674.9,13089.3,13077.8,12208.4,12763.6,12818.2,12584.3,12850.1,12205.9,11506.3,11846.4,11639.2,11933.2,12245.5,12571.5,12708.3,12746.1,12654.1,12675.3,12828.6,12677.6,12692.3
306,"1120306","Esposende",1162.5,1504.9,1386.7,1525.7,1427.4,1578.7,1906.2,1921.6,2064,2760.8,2657.4,2663.5,2547.8,2644,2697,2671.5,2608.4,2557.5,2260.4,2128.8,2173.8,2253.7,2312,2464.4,2495.9,2540.6,2542.8,2611.4,2727.2,2658.8,2583.5
310,"1120310","Terras de Bouro",6401,6567.9,7201.7,7260.3,6541.9,6569.7,5970.9,5863.9,7077.3,6849.3,6432.6,6427.8,5814.8,6157.7,5831,5636.4,5149.9,4627.8,4682.5,4343.2,4147.1,4174,4289.6,4262,4284.3,4205.6,4167.7,4094.9,4095.7,4068.2,4103.7
313,"1120313","Vila Verde",11938.9,12245.7,13426.6,13546.7,12225.2,12338.1,12801.1,12382.6,15058,17085.5,15974.4,15974.4,14319.4,15172.9,14274.4,13690.8,12135.6,10720.2,10816.9,9352.7,8930.4,8981.1,9243.3,9165.7,9176.3,8995,8961,8785.2,8751.5,8690.2,8706.4
307,"1130307","Fafe",15007.6,15862.7,17000.9,17353.1,15686.4,15879.6,13384.1,13251.6,15757.4,13483.4,12756.2,12730.1,11672.6,12324.1,12004.3,11615.2,9411.2,8677.7,8721.2,6800.9,6524,6596.5,6708.2,6707.7,6802.8,6727.3,6613.7,6548.3,6608.6,6546.8,6724.2
308,"1130308","Guimarães",6696.8,7164.2,7621.3,7747.2,7133.9,7190.2,7334.6,7118.3,8449.2,9473.3,8890.7,8902.4,8029.2,8462.4,8113.4,7797.5,7575.1,6852.2,6788.4,6683.3,6431.3,6512,6698.9,6706.3,6757.5,6679.6,6627.3,6540,6581.5,6547.6,6582
309,"1130309","Póvoa de Lanhoso",6951.6,7328.5,7874,8001,7276.3,7378.5,6685.9,6602.3,7868.9,7577.9,7139.5,7134.9,6527.4,6927.4,6602.5,6406.2,5815.9,5264.7,5309.3,4920.9,4723.9,4771.2,4884,4878.4,4933.1,4870.9,4811,4749.9,4793,4759.8,4829.6
1314,"1131314","Santo Tirso",2701.1,3300.9,3221,3442.5,3173.4,3350.8,2932.1,2870.2,3208.9,2986.6,2816.8,2819.4,2543.4,2637.1,2575.3,2488,2432.5,2269.2,2089.4,1958.5,1944.2,1980.6,2033,2110.2,2114.7,2113.9,2118.7,2140.2,2201.3,2148.1,2089.5
1318,"1131318","Trofa",0,0,0,0,0,0,1579.1,1649.6,1709.4,3931.3,3792.6,3825.6,3772.9,3897.1,4114.1,4030.6,4852.6,4974.6,4487.4,4873,5015,5253.7,5402.8,5985.3,6020.8,6227.8,6180.4,6356.8,6237.5,6052.5,6008.7
311,"1130311","Vieira do Minho",8648.3,8831.5,9734.1,9762.3,8816.3,8800.3,8476.4,8209.4,10018.3,10398.5,9719.1,9712.8,8700.2,9237.6,8627.8,8294.1,8011,7035.4,7169.6,7135.8,6781.9,6809.6,6999.2,6873.5,6904.6,6748,6710.6,6551.3,6572.6,6557.4,6599.5
312,"1130312","Vila Nova de Famalicão",8714.7,10704.2,10303.4,11044.2,10249.5,10932.3,11632.5,11778.9,12838.7,14963.2,14420.2,14489.8,13991.3,14565.7,15071.3,14839,15778.9,15874.8,14548,14898.4,15161.3,15770.5,16354.2,17784.5,17939.3,18372.4,18149.1,18590.5,18497.2,18037.5,17902.7
314,"1130314","Vizela",0,0,0,0,0,0,179.8,178.1,207.4,502.6,471.2,473,412.3,423.4,407.8,386.6,393.6,368.4,349.4,347.9,334.9,337,346.8,348.6,351.8,346.1,342.1,343.5,352.1,347,348
107,"1140107","Espinho",74.6,103,94.1,94.9,99.4,93.1,72.2,69.6,71.6,44.9,43,42.1,37.5,37.5,35.6,35.9,119.5,119.7,104.8,183.1,192.6,206.5,218.1,228.7,237.2,245.7,251.3,258.6,274.7,278.4,265.3
1304,"1141304","Gondomar",1024,1303.9,1250.6,1354.8,1268.6,1312.8,1010.6,1053,1108.6,741,702.9,705.1,667.4,678.7,687.2,662.1,690.6,689.9,622.9,623.3,626.7,667.2,658.5,669,660.5,679.3,714.7,708.5,720.4,708.5,683.8
1306,"1141306","Maia",3455.8,4539.4,4234.3,4704.6,4296.1,4681.9,4524.6,4543.6,4811.8,5119.2,4866.5,4891.5,4570.4,4639.4,4770.9,4607.9,5872.6,5894.9,5164.2,5803,5942.5,6156.7,6351.3,6984.7,6939.7,7094.3,7082,7275,7173.3,6875.1,6696.1
1308,"1141308","Matosinhos",1199.2,1558.6,1464.5,1607.9,1473.8,1616.5,1665.7,1666,1761.8,2082.8,1991.4,1999.9,1845.2,1861.4,1929.6,1878,1900.8,1902.6,1665.6,1519.1,1546.2,1608.6,1640.4,1762.3,1779.9,1821.7,1823.6,1864.6,1896.2,1852.3,1821.5
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2,31.5,29.9,64.2,65.1,70.6,67.3,70,72.7,76,75.7,76.4,77.4,77.3,83.3
1313,"1141313","Póvoa de Varzim",2173,2921.1,2662.8,2970.5,2717.8,3027.6,3514.8,3528.7,3791.5,4772.9,4604.1,4631,4507.9,4715.7,4911,4824.8,5059,5073.4,4623.9,4530.4,4687.4,4895,5071.7,5606.4,5653.3,5824.8,5804.8,5995.7,5967.1,5806.9,5679.6
1315,"1141315","Valongo",1276.3,1705.4,1600.7,1807.6,1628.9,1768.8,1702.8,1719.3,1799.2,1912.1,1764.6,1782.4,1595.5,1590.7,1620.2,1458.8,1881.2,1831.6,1573.4,1737.8,1770.1,1846.4,1851.7,1957.8,1945.9,1979.6,2025.1,2059.1,2119.3,2043.4,1964.8
1316,"1141316","Vila do Conde",5140.4,6719.2,6196.9,6874.5,6370.1,7059.7,7366.7,7420.1,7781.6,8829.8,8645.6,8694.7,8586.2,8832.4,9818,9607.3,10580.4,10692.9,9433.2,9846.9,10171,10549.4,10919.1,11967.8,12128,12430.7,12377.7,12839.3,13128.1,12752.5,12394.1
1317,"1141317","Vila Nova de Gaia",2145.3,2736.7,2612.7,2834.3,2692.2,2806.7,2154.6,2184.4,2290.2,1651.2,1544.4,1563.9,1428.7,1421.2,1467.7,1376.2,1335.7,1358.9,1195.1,1009.1,1010.2,1048.2,1069.7,1134.7,1154.9,1175,1143.2,1165.9,1196.4,1165.3,1188.3
1301,"1151301","Amarante",5216.5,5921.7,6104.3,6303.5,5884.9,5907.5,4977.8,4849.2,5576.8,4768.1,4455.6,4454.2,3942,4093.7,3879.4,3710.2,3125.8,2851.3,2728.2,1979,1923,1959.1,2001.4,2014.6,2014.8,1996.5,2004.4,1982.4,1997.2,1974.5,1959.4
1302,"1151302","Baião",4765.1,5511.9,5552.2,5853.7,5357.3,5528.7,4149.2,4018.5,4664,3276.5,3109.8,3103.5,2778.4,2865.1,2838.7,2752,2436,2347.9,2253.6,1919.3,1862,1899.5,1939.2,1985.1,2003.9,2002.2,1964.9,1958.2,1934,1898.7,1953.2
304,"1150304","Cabeceiras de Basto",10080.2,10287.2,11319.7,11396.8,10288.8,10316.4,9717,9279.8,11399.4,11681.9,10903.8,10895.6,9688.6,10271.5,9527.5,9168.3,8963.6,7859.5,7956.8,7955.5,7561.5,7605.6,7803.8,7675,7724.8,7566.3,7500.7,7328.7,7342,7326.7,7427.1
106,"1150106","Castelo de Paiva",1554.1,1931.6,1885.2,1882.8,1895.6,1786.9,1759.6,1723.6,1857.3,1954.7,1851.3,1846.7,1610.2,1620.4,1601.9,1554.8,1557.2,1536.2,1402.8,1309.8,1296.1,1348.8,1367.9,1418.3,1446.6,1469.2,1440.8,1447.6,1443.6,1428.7,1484
305,"1150305","Celorico de Basto",8100.6,8493.8,9161.9,9304.6,8436.7,8494.9,7801.8,7674.4,9200.1,8965.1,8431.8,8417.7,7633.7,8085.5,7687,7429.5,6138.9,5532,5577.2,4396.7,4211.8,4250.5,4354.5,4338.3,4355.4,4285,4257.4,4190.7,4182.4,4144.8,4180.2
1804,"1151804","Cinfães",12176.8,12824.1,13752.6,14045.1,12749.9,12917.9,11194.1,10893.4,13088.1,11925.8,11228.2,11196.2,10120,10717.7,10098.7,9825,8661.6,7838.2,7795,6724.3,6470.9,6526.6,6696.6,6769.5,6802.2,6717.6,6625.6,6566,6544.7,6446.6,6526.1
1303,"1151303","Felgueiras",2713.5,3363.4,3253,3460.6,3278.2,3349.8,3281.8,3236,3638.1,3832.1,3620.8,3611.9,3253,3373.5,3251.7,3172.9,2957.1,2811.7,2685.8,2403.9,2350.5,2415.5,2468.5,2540.7,2569.8,2584.7,2544.6,2542.4,2526.8,2494.6,2550
1305,"1151305","Lousada",3440.2,4568.5,4280.1,4666.3,4468.3,4609.8,4557.9,4561.9,4765.7,5132.6,4837.5,4854.1,4355.7,4335.6,4417.4,4204.2,4135.8,4190.5,3638.4,3074.6,3115.5,3304,3322,3517.7,3562.9,3676.6,3661.7,3704.2,3753.5,3693.6,3738.5
1307,"1151307","Marco de Canaveses",3750.9,4254.4,4376,4509.1,4168.5,4200.6,3812,3690.2,4328.1,4128.9,3873.2,3867,3449.8,3622.5,3410,3294.7,2540.8,2299.2,2246.9,1420.1,1372.3,1388.8,1425,1443,1442.8,1428.2,1416.3,1398.5,1388.4,1366.6,1373.5
1705,"1151705","Mondim de Basto",6122.6,6333.6,6918.3,7007.3,6293.7,6379.4,5846.3,5654.1,6823.7,6701.6,6290,6276.8,5629.3,5944.7,5578.3,5403.2,4980,4502,4438.8,4004.1,3861.5,3917.1,4009.4,4043.7,4077.7,4045,3995.2,3958.8,3957,3913.4,3977.9
1309,"1151309","Paços de Ferreira",554.7,721.9,671.9,720.6,686.9,725.9,836.9,836.7,906.4,1144.8,1090.6,1090.5,1004.6,1032,1040.2,1019,1214.4,1137,1049.7,1250.8,1227,1247.8,1280.9,1302.1,1305.5,1297.6,1303.8,1298.6,1328.4,1307.8,1279.5
1310,"1151310","Paredes",4424.7,5820.2,5470.8,5904.6,5632.5,5794.3,4753.1,4868.9,5052.5,4099.8,3878.4,3883.1,3467.3,3437.6,3505.8,3335.9,3667.7,3732.2,3159.7,3247.5,3300.5,3434.8,3485.3,3673.8,3674.1,3725.5,3755.4,3825.9,4007.2,3874.3,3750.7
1311,"1151311","Penafiel",2861.2,3496.3,3427.2,3637.6,3397.4,3483.2,3223.2,3168.4,3551,3507.4,3296.2,3296,2946.2,3040.5,2915.8,2816.8,2321.2,2241.6,2060.5,1430.3,1421.6,1466.5,1552.5,1660.9,1664.7,1686.7,1638.6,1647.6,1657.7,1629.4,1618.9
1813,"1151813","Resende",3976.2,4288,4507.2,4650,4307.5,4399.6,3545.1,3477.7,4120.2,3404.8,3211.8,3203.8,2911.5,3085.3,2913.7,2840.6,2300.9,2094.3,2069.8,1570.5,1518.8,1526.8,1575.9,1602.7,1610.8,1591.1,1568,1566.1,1587.5,1555.6,1554.4
1709,"1151709","Ribeira de Pena",6673.6,6803.3,7496.3,7547.8,6769.6,6812.8,6752.2,6463.1,7934,8566.2,8006.2,8000.8,7140.1,7563.2,7100.9,6817.3,7009.5,6198.9,6267.3,6617.6,6308.9,6356.3,6524.3,6459.7,6492.6,6376.7,6325.4,6197.8,6168.7,6142.1,6218.7
104,"1160104","Arouca",5474.1,6206.7,6335.4,6564.8,6087.1,6251.8,7818.1,7578.4,8775.4,11888.4,11230.3,11231.8,10120.3,10555.4,10259.3,9948.5,9790.3,9157.3,8675.7,8327,8195.5,8365.9,8602.3,8916.5,8959.4,8971.4,8917.6,8953.3,8979.4,8808,8759.2
113,"1160113","Oliveira de Azeméis",1753.1,2222.9,2094.4,2274.9,2120.7,2299.3,2670.8,2675.8,2905.8,3735.3,3581.1,3590.1,3384.1,3500.7,3570.5,3506.4,3139.3,3079.3,2749.5,2222.7,2272.4,2360.5,2426,2611.9,2631,2684.9,2690.6,2761.7,2825,2748.5,2671.6
109,"1160109","Santa Maria da Feira",2468.7,3205,3010.9,3241.9,3072.1,3244.2,3113,3197.2,3320.9,3470.1,3340.8,3349.6,3159.3,3196.9,3373.9,3295.3,3231,3269.1,2868,2558.2,2601.5,2702.9,2766.8,2986.1,2987.3,3053.2,3057.7,3126.7,3148.7,3052.6,2985.2
116,"1160116","São João da Madeira",28.4,36.6,35.1,36.5,35.6,36.8,19.6,20,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",1498.3,1843.4,1755.1,1890.9,1753,1881.2,2122.2,2108,2357.3,2972.8,2830,2820,2588.5,2699.1,2642.4,2604.6,2588.8,2465.3,2348.8,2325.1,2268.3,2320.3,2356,2415,2461.9,2468.7,2413.7,2418.4,2423.2,2389.8,2475.1
1701,"1171701","Alijó",1038.8,1081.6,1174.3,1189.3,1075.5,1084.6,891.1,871,1046.6,872.1,819.1,818,738.4,782.9,735.5,710.3,652,629.9,625.2,503.3,502.9,517.2,543.1,610.9,592.3,603.8,589.8,595,508.7,479.4,490.7
1801,"1171801","Armamar",102.3,127.4,122.7,119.6,109.4,112.4,80.3,82.2,78.7,35,41.2,40.8,42.6,46.1,42.8,35.9,20.9,23.1,25.6,10.6,12.5,13,12.2,12.4,12.5,13.1,10.2,10.5,10.7,10.8,11.8
403,"1170403","Carrazeda de Ansiães",365.5,413.5,394.5,383.5,349.2,295.6,271.8,287.1,263.8,224.4,244.2,251.8,232.4,247.6,239.9,201.5,181.6,176.6,197.3,172.5,178.1,180,177,180.3,175,177.9,178.6,180.8,188.6,183.7,174.4
404,"1170404","Freixo de Espada à Cinta",53.4,63.3,58.5,62.6,57.6,49.5,44.9,50.1,48.4,30.1,40.5,37,35.6,33.3,35.8,33.1,62.9,76.4,90.6,149.9,157.2,152.6,145.3,144.7,142.1,145.9,142.4,144.2,141,142.9,150.1
1805,"1171805","Lamego",1405.6,1568.9,1507.7,1471.8,1333.4,1092,897.8,890.9,843.6,488.4,546.5,573.9,548.5,540.9,559.5,516.4,419.8,424.2,450.9,358.4,364,376,375.8,381.6,369,371.3,379.5,382.3,403,395.3,372.4
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",920.6,1047.8,1002,1007,894.3,877.8,1003.6,1078.1,986.1,1210.2,1196.4,1206.8,1167.2,1405.6,1204,1020.9,781.3,695,866.9,592.2,620.5,616.8,622.3,631.1,609,629.1,622.4,659.9,701.8,652.7,518.7
1812,"1171812","Penedono",385.7,447,436.4,397.6,397.3,402.2,307.1,321.8,309.4,267.5,280.6,284,257.6,278.6,275.8,257,265.4,269.8,296.7,318.5,327.8,337.5,347.1,355.1,346.8,352.1,355.9,369.3,400.5,381,338.8
1708,"1171708","Peso da Régua",9.3,12.4,12.2,9.5,10.6,12.5,7.1,7.7,8.1,5.1,6.4,6.2,6.1,6.1,6.2,6,3.3,4.1,4.3,2.8,3.2,3,3.1,3.1,3.2,3.2,3.3,3.3,3.5,3.5,3.6
1710,"1171710","Sabrosa",1178.7,1307.9,1270.2,1218,1120.9,953.8,897.9,893.1,852.7,715.8,771.3,815.5,831.6,917.4,857.5,754.4,536.4,541.5,640.8,439.9,456.3,456.2,450.3,437.6,418.8,427.6,428,438.6,441.3,438,384.9
1711,"1171711","Santa Marta de Penaguião",69.2,78,78.7,75.5,64.2,65.7,46.2,43.3,42.3,14,18.7,18.4,18.5,18.3,18.7,18.4,9.7,10.6,10.6,6.3,6.7,6.4,6.5,6.5,6.6,6.6,6.7,6.7,6.8,6.8,6.9
1815,"1171815","São João da Pesqueira",124.4,140.3,140.5,139.5,117.6,128.4,158.9,164.4,153.8,174.4,189.8,205.9,194.5,188.3,200.1,183.4,110.3,103.1,119.6,66.7,69.7,63.7,58.5,63.3,55.2,57.2,56.3,58.3,55.1,51.7,36.2
1818,"1171818","Sernancelhe",268.1,302.4,290.3,290.5,263.7,265.8,294.6,313.9,287.2,348.7,360.2,372.8,336.3,351.8,353.4,322.8,318,309,343.5,363.5,370.1,376,375.8,383.1,370.3,376,382.9,392.3,416.5,398.3,351.2
1819,"1171819","Tabuaço",143.1,187.4,188.2,155.8,155.7,177.1,140.8,174.7,148.4,179.5,173.4,172.1,148.5,187,154.7,100.6,104.8,73,95.6,69.8,74.9,71.1,65.9,65.8,60.6,62.6,59.6,60.6,57.5,57.2,58.5
1820,"1171820","Tarouca",855.9,965.5,920.6,910.6,820.3,689.6,733.2,734.8,696,690.6,748.1,790.5,754.4,767,772.2,712.5,605,601.1,651.4,556.8,564.5,584.9,589.8,603.6,582.4,587.3,603.5,613.5,658.2,634.4,574.9
409,"1170409","Torre de Moncorvo",129.3,144.3,139,130.5,126.3,133,83.8,85.5,81.2,35.3,40.2,39.8,37.4,38.4,39.5,36,67.4,67.7,73.2,109.8,110,114.6,113.8,112.7,108.8,109.3,112.4,112.7,116.9,117,114.1
410,"1170410","Vila Flor",151.5,170.6,162.3,162.6,144.7,124.2,106.1,111.8,109.6,87.1,101.2,100.5,70.3,70.1,72.5,71.2,103.5,112,124.7,172.6,178.4,181.4,177.8,181.1,175.8,179.5,181.1,183,189.2,187.1,183.5
914,"1170914","Vila Nova de Foz Côa",88.7,100.6,96.8,102,84.2,85.6,64.7,71.9,66.7,20.2,29.6,27.4,26.5,24.5,26.8,23.9,31.6,35.9,38.5,49.3,49.9,51.2,51.8,60.4,60.9,62.5,63.2,64,75.1,65.4,50.9
1714,"1171714","Vila Real",11264.6,12507.6,12051.7,11743.1,10605.2,8467.2,8577.3,8453.8,8050.8,6957.8,7902.7,8401,8029.3,7825.1,8088.8,7435.4,5814.5,5876.1,6253.5,4716.7,4806.7,4945.3,4935.1,5039.2,4871.9,4918.6,5016.5,5072.5,5383,5230.1,4861.8
401,"1180401","Alfândega da Fé",321.1,376.6,351.2,349.8,327.7,298.9,443.6,472.3,448.9,590.5,669.3,694.2,671.8,685.1,692.6,633.8,628.1,638.9,729,806.2,841,846.2,831.7,875.3,835.6,850.5,847.7,863.4,920.4,865.2,744.3
1702,"1181702","Boticas",9708.9,10755.8,10399.6,10077.9,9085.7,7136.5,8821.6,8561.1,8183.2,8914.8,10157.3,10902.9,10488.5,10122.1,10511.3,9689.3,9202.6,9282.4,9761.7,9440.6,9534.3,9879.6,9835.4,9852.1,9456.3,9484.6,9784.5,9803.7,10169.5,10166.1,9821.2
402,"1180402","Bragança",14323,16068.6,15365.8,15064.3,13700.5,11293.1,12542.2,12632.1,12023.2,11872.1,13426.2,14174.4,13882,14112.3,14085.8,12755.9,10838.8,11038.3,12086.8,10583.1,10915.9,11152.3,11042.6,11258.8,10842.4,10963.5,11035.4,11150.6,11683.9,11416.4,10722.8
1703,"1181703","Chaves",5083.3,5722.3,5488.5,5362.8,4864,4073.1,4419.3,4461.8,4223.3,4120.4,4612.2,4856.9,4671.4,4652.5,4770.7,4368.2,4228,4296.3,4622.9,4609.1,4684.3,4833.4,4859.9,4915.3,4763.8,4812.6,4926.1,5009.1,5325,5175.4,4774.3
405,"1180405","Macedo de Cavaleiros",5243.5,5901.3,5648,5515.7,5024.3,4213.2,4199.9,4347.9,4117.6,3619.4,4029.6,4182.3,4119.3,4396.7,4246.6,3758.3,4094.5,4223.2,4815,5594,5876,5928.3,5828.3,5966.3,5780.7,5890,5800.4,5888.2,6180.1,5970.1,5522.2
406,"1180406","Miranda do Douro",5620.3,6258.2,6015.6,5880.2,5325.6,4366.4,5817.5,5745.5,5473.6,6506.8,7289.8,7758,7491.4,7366,7603,7031.2,9163.8,9291.6,9819.7,12281.2,12376,12847.2,12829.2,12822.3,12329.6,12367.5,12788.5,12831.2,13353.6,13331.9,12821.9
407,"1180407","Mirandela",1618.3,1872.9,1776.2,1745.2,1589.5,1403.6,1193.6,1262.7,1176.3,863.6,916.3,938.5,900.8,988.7,972.6,878.1,734.6,754.4,858.9,775.7,814.8,829.3,837.4,950.9,951.2,979.6,971.4,1000.1,1181.2,1029.3,835.5
408,"1180408","Mogadouro",2992.2,3370.6,3212.4,3193.5,2889.9,2547.8,3907.4,4004,3752.7,5208.3,5578.1,5830.1,5557.5,5652.7,5764.3,5340.4,5199.7,5225.6,5623.3,5645.6,5722,5924.2,5997.5,5999.3,5809.1,5859,6015.9,6140.1,6496.7,6358,5864.6
1706,"1181706","Montalegre",27994.3,31345.7,30232.5,29307.3,26506.3,21577.9,28293.8,28079.3,26853.7,31180.9,35316.7,37516.6,36448.9,36187.2,36850.7,33725.4,33119.3,33835.9,36204.7,36806.1,37558.8,38713.4,38450.8,38512.1,37085,37320.8,38037,38213.4,39575.4,39507.7,38270.8
