"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1651.4,1692.3,1771.4,1998,2464.1,2292.9,1034.3,776.7,953.8,838.3,781.2,581.2,756,697.6,596.5,605.5,536.2,485.5,349.7,329.9,311,298.9,422.1,379.8,387.5,388.4,378.9,407.2,365.4,362.3,380.7
1602,"1111602","Caminha",428.4,439.2,459.4,516,633.3,585.7,262.5,195.5,236.9,205,186.1,133,161.8,156.4,141.1,150.6,139.3,132.2,99.3,98,96.2,96.6,141.6,127.2,129.9,130.4,127.2,136.6,122.7,121.8,128.1
1603,"1111603","Melgaço",466.1,477.8,500.3,560.1,682.8,628.4,279.1,205.9,246.3,209.5,185.2,125.4,138,128.6,109.7,112.8,100.7,91.7,66.5,63.4,59.8,58,81.8,74.2,75.1,75.5,73.7,79.1,71.5,70.6,73.7
1604,"1111604","Monção",1682,1724.3,1804.3,2016,2458.3,2256,1000.6,734.5,876.1,738.5,647.3,433.3,456.7,436,387.5,407.2,373.1,348.8,259.8,253.1,246.8,245,356.9,321.4,327.2,328.6,320,344.3,308.8,306.1,321.4
1605,"1111605","Paredes de Coura",526.4,539.8,564.6,639.6,793.4,744.4,338,256.7,319.6,285.9,273.3,209.9,291.3,268.8,230.1,234.6,207.2,188.3,135.7,127.7,121.4,116.4,164.5,148.3,151,151.5,147.4,159.1,142.5,141.1,148.8
1606,"1111606","Ponte da Barca",977.2,1001.5,1048.2,1175,1437,1325.1,591.1,437.4,526.4,449.9,403.6,280,322.3,298,256.7,261.2,232.8,211.7,153.3,145.2,137.5,133.5,189.2,170.4,173.5,174.4,169.9,182.5,163.6,162.3,170.8
1607,"1111607","Ponte de Lima",3011.1,3086.2,3230,3650.3,4508,4205,1903.1,1433.4,1768.3,1562.9,1469.8,1105.8,1472.5,1406,1246.9,1308.9,1198.3,1121,835.6,813.6,792,786.6,1144,1030.2,1050,1052.7,1027.1,1103.5,990.7,981.7,1031.6
1608,"1111608","Valença",578.5,592.9,620.3,704.8,877,824.4,376.7,288.1,360.9,325.4,315.1,247.2,351.5,337.1,299.8,317.3,291.3,273.3,205,200,195.5,194.2,283.2,255.3,260.3,261.2,254.9,273.7,245,242.7,255.8
1609,"1111609","Viana do Castelo",1622.2,1663.1,1740.4,1974.2,2448.4,2295.6,1045.5,794.3,990.2,886.8,850.4,657.2,915.6,870.7,769.1,805,734.9,685.5,508.8,494,480.5,474.7,689.1,620.3,632.4,634.2,618.5,664.8,596.5,591.1,620.7
1610,"1111610","Vila Nova de Cerveira",512,524.6,549.3,614.5,750.2,688.2,306.1,225.2,269.2,227.9,200.5,135.7,146.1,138,121.4,125.9,114.2,106.1,78.7,76.4,73.7,71.9,104.3,93.9,95.7,96.2,93.5,100.2,90.3,89,94.4
301,"1120301","Amares",791.1,810.9,848.6,961,1189.8,1112,504.8,382.1,474.2,422.1,400.5,306.1,417.6,396.5,351.5,367.2,335.3,313.3,231.9,226.1,218.9,217.6,315.1,283.2,289,289.9,282.7,303.9,272.8,270.1,283.6
302,"1120302","Barcelos",2250.2,2306.3,2414.2,2705,3307.8,3048,1358.8,1004.2,1207.8,1030.7,921,638.3,726.8,704.8,633.8,674.2,625.7,592.4,445.9,438.7,432.4,432.4,635.1,571.8,583,583.9,570,612.2,549.7,545.2,572.2
303,"1120303","Braga",1562.4,1601.5,1676.6,1917.1,2401.2,2277.1,1051.4,811.3,1031.1,948.4,940.8,762.8,1138.6,1073.4,939.9,975.8,883.7,818.5,603.2,582.1,561,551.5,795.6,716,730,732.2,714.2,767.3,688.6,682.3,717.4
306,"1120306","Esposende",614,629.3,658.5,742.6,915.6,851.3,383.9,288.1,353.8,310.1,288.6,214.4,277.3,262.1,230.1,238.2,216.7,200.9,148.3,142.9,137.5,135.7,196.4,176.2,180.2,180.7,176.2,189.7,169.9,168.6,177.1
310,"1120310","Terras de Bouro",556,569.5,596.5,672.4,828.4,770.9,347.5,260.7,320,280.5,261.2,192.8,249.9,235.1,207.7,215.3,196,181.1,133.5,129.5,124.1,122.7,177.1,159.6,162.3,162.7,158.7,170.4,152.8,151.9,159.1
313,"1120313","Vila Verde",2380.5,2439.8,2554,2884.8,3560.4,3319.5,1500.9,1130,1392.5,1229.4,1153.8,865.3,1146.7,1087.3,959.7,1001.5,912,848.6,629.3,610.4,591.5,583.9,846.4,761.9,776.7,779,760.1,816.7,732.2,725.9,763.2
307,"1130307","Fafe",1526.5,1564.7,1637.5,1860.4,2311.7,2172.8,992,756,945.7,851.8,822.1,642.3,908.4,845,729.5,748.4,668.8,610.4,444.5,423.4,404.1,392,558.7,503,512.9,514.2,501.6,538.9,483.7,479.2,503.9
308,"1130308","Guimarães",2163,2216.4,2320.3,2631.8,3263.3,3059.7,1393,1057.7,1317.9,1179.5,1130.5,873.4,1214.1,1140.4,994.7,1027.5,926.9,854.9,627.5,602.3,579.4,567.7,815.4,734,748.4,750.2,732.2,787.1,706.2,699.4,735.4
309,"1130309","Póvoa de Lanhoso",1251.8,1283.3,1343.1,1517.5,1873,1746.7,790.7,595.1,733.6,648.2,609.1,457.6,607.7,561,482.3,489.9,435.1,395.6,286.3,271,256.2,247.2,349.7,314.6,320.9,321.8,314.2,337.1,302.5,300.3,315.1
1314,"1131314","Santo Tirso",796.5,816.7,854.5,966.9,1194.7,1116.1,505.7,381.6,472,418.5,396,299.4,403.6,387,344.3,362.3,333.5,313.3,234.2,228.8,222.5,221.6,323.6,291.3,297.1,297.6,290.8,312.4,280,277.3,291.7
1318,"1131318","Trofa",0,0,0,5.8,15.3,23.8,16.2,17.1,27.9,34.2,44.5,46.7,93,94.8,89.9,99.8,96.2,93.5,73.7,74.2,75.1,76.9,115.1,103.8,105.6,106.1,103.4,111,99.3,98.4,103.4
311,"1130311","Vieira do Minho",971.4,995.6,1042.4,1170.9,1436.1,1329.1,595.1,442.3,536.2,463,421.6,300.7,363.2,337.1,291.7,298.5,266.5,244.5,177.5,169.5,160.5,156,222,200,204.1,204.1,200,214.4,192.4,190.1,200
312,"1130312","Vila Nova de Famalicão",1153.4,1182.2,1237.5,1406,1748.1,1644.2,751.6,572.7,716.9,646.8,626.1,490.4,696.3,659.4,580.3,605.5,550.2,512.4,378.9,366.8,355.5,350.2,507.9,457.1,466.1,467.5,455.8,489.9,439.6,436,458
314,"1130314","Vizela",0,0,0,7.2,19.8,30.6,20.2,21.6,36.9,44.1,57.1,60.7,120.5,118.2,107.4,114.6,107.4,101.6,77.8,76.4,76.4,76.4,112.8,101.6,103.8,104.3,101.1,108.8,97.5,97.1,101.6
107,"1140107","Espinho",22.9,23.8,24.7,28.3,35.1,32.8,15.3,11.7,14.8,13.5,13.5,10.3,15.3,15.3,13.9,16.2,15.3,14.4,9.9,10.3,10.8,10.8,15.7,14.4,14.4,14.8,14.4,15.7,13.9,13.5,14.4
1304,"1141304","Gondomar",490.8,502.5,526.4,596,736.7,688.2,312.4,235.5,291.7,259.4,245.9,186.5,252.6,244.5,220.7,234.6,217.6,206.3,155.1,153.3,150.6,151,221.6,199.6,203.2,203.6,199.1,213.5,191.5,190.1,199.1
1306,"1141306","Maia",328.6,336.7,352.4,394.7,482.3,444.5,198.2,146.5,176.2,150.6,134.4,93.5,106.1,110.1,102.9,115.5,111,108.8,85,86.3,87.7,89.9,134.4,121.4,123.6,123.6,120.9,129.5,116.4,115.1,121.4
1308,"1141308","Matosinhos",209.5,214.9,224.7,251.7,307,282.3,125.4,92.6,110.1,93.5,82.3,56.2,61.1,60.2,53.5,58,53.5,51.7,39.1,38.7,37.8,38.2,56.2,50.3,51.7,51.2,50.3,54.4,48.5,48.1,50.8
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.9,1.8,1.8,1.3,1.3,2.2,2.2,3.6,3.1,3.1,3.1,3.1,3.6,3.1,3.1,3.6
1313,"1141313","Póvoa de Varzim",235.5,241.8,253.1,283.2,346.1,318.2,141.6,104.3,125,106.1,94.4,64.7,71.9,70.6,64.3,69.7,66.1,63.4,47.6,47.2,47.2,47.2,70.6,63.8,64.7,64.7,63.4,67.9,60.7,60.7,63.4
1315,"1141315","Valongo",224.7,230.1,241.4,271.5,334.4,310.1,139.8,104.3,128.1,111.9,103.4,76,96.6,106.5,106.1,123.6,123.6,125,99.3,102.5,106.5,111,168.1,151.5,154.6,155.1,151,162.7,145.6,144.3,151.5
1316,"1141316","Vila do Conde",456.7,467.9,489.9,546.6,665.2,610,270.1,197.8,234.2,196,169.9,111.5,111.9,113.7,107.4,117.8,112.8,109.7,85,85.9,86.3,88.1,132.2,119.6,121.4,121.4,118.7,128.1,114.6,113.7,119.1
1317,"1141317","Vila Nova de Gaia",481.4,493.5,516.5,585.2,725.9,679.2,309.7,234.2,291.7,261.2,249.5,191.9,265.6,254.9,227.4,240.5,220.3,208.1,155.5,151.9,149.2,148.3,216.7,194.6,198.7,199.1,194.6,208.6,187.4,185.6,195.1
1301,"1151301","Amarante",1474.8,1511.6,1582.7,1809.2,2265.4,2146.8,990.7,764.6,971.4,892.7,884.2,716,1066.6,1024.8,913.8,963.7,887.3,834.3,623.9,610.9,597.4,595.6,868.9,781.7,797.4,799.6,779.9,837.9,752,745.3,783
1302,"1151302","Baião",850.9,872,912.9,1036.5,1287.3,1210.5,552.4,420.7,526.4,473.3,457.1,356.9,503.9,474.2,413.1,427.9,387,356.9,262.1,252.2,242.7,238.2,342.5,308.4,314.2,315.1,307.5,330.4,296.2,293.5,308.8
304,"1150304","Cabeceiras de Basto",1101.3,1129.1,1181.7,1334.1,1646,1535,693.6,521.9,642.8,566.4,531.3,397.8,525,494,432,446.8,404.1,373.1,274.6,264.3,254.9,249.9,359.6,324.1,329.9,331.3,322.7,347,311,308.8,324.5
106,"1150106","Castelo de Paiva",414.4,424.8,445,505.2,627.9,589.7,269.2,205,256.7,230.6,222.5,174,245.4,240.9,220.7,238.2,223.4,213.1,162.7,161.4,160.5,161.8,239.6,215.8,219.8,220.3,214.9,231,207.2,205.9,215.8
305,"1150305","Celorico de Basto",1041,1067.1,1117,1272.5,1588.1,1499.1,688.6,527.7,665.2,605.5,592.9,472,686.8,666.6,600.1,640.5,594.2,563.2,424.8,418.5,412.6,413.1,606.8,546.1,556.9,558.7,544.8,585.2,525,520.5,547.5
