"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",5.3,5.3,6.3,6.3,4.1,5.3,6.3,16,18.2,22.9,27.3,29.2,40.8,33.9,32.7,37.7,29.8,28.6,23.6,22,13.5,9.1,8.2,7.9,6.6,6.6,7.5,8.2,8.2,15.7,11.3
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,6,11,12.6,17,19.2,23.6,19.8,17.9,22.9,21.7,18.9,18.2,21.1,22.6,22.9,44.6,31.1
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",3.1,3.1,3.8,2.8,1.6,1.3,1.3,2.5,2.2,1.9,1.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",8.5,8.2,9.7,9.1,5.7,6.6,7.9,18.2,20.4,24.8,28.6,29.8,40.8,37.4,39.9,51.8,46.2,50,47.8,51.8,38.3,31.7,37.7,35.2,30.5,29.5,34.2,37.1,37.1,72.9,50.6
1607,"1111607","Ponte de Lima",30.2,29.8,35.8,29.5,16,16.7,17.3,36.1,35.2,37.4,37.7,34.6,40.8,37.4,39.9,51.8,46.2,50,47.8,51.8,38.3,31.7,37.7,35.2,30.5,29.5,34.2,37.1,37.1,72.9,50.6
1608,"1111608","Valença",0,0,0,0.3,0.3,0.3,0.6,1.9,2.2,2.8,3.8,4.1,6,6,6.6,8.5,8.2,9.4,9.4,10.7,7.9,6.9,8.2,7.9,6.6,6.6,7.5,8.2,8.2,15.7,11.3
1609,"1111609","Viana do Castelo",3.1,3.1,3.8,3.1,1.9,1.9,1.9,4.1,4.4,4.7,5,4.7,6,7.5,10.1,15.7,16.3,20.4,21.4,25.5,20.7,18.2,22.9,21.7,18.9,18.2,21.1,22.6,22.9,44.6,31.1
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",5.3,5.3,6.3,6,3.8,4.4,5,11.9,13.2,16,18.2,19.2,26.4,25.8,29.2,39.6,37.4,42.1,42.1,47.4,36.1,30.8,37.7,35.2,30.5,29.5,34.2,37.1,37.1,72.9,50.6
