"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",2.1,2.1,2.1,2.6,2.9,3.4,3.8,4.3,5,5.1,5.1,5.3,5.4,5.3,5.1,5,4.8,5.2,5.6,5.7,5.9,5.7,5.4,5.3,5.2,5.1,5.1,5.9,6.4,7.2,6.9
1602,"1111602","Caminha",2.1,2.1,2.1,2.1,2.1,2,2,1.8,1.8,1.6,1.4,1.2,1.1,1,0.9,0.7,0.5,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",5.4,5.4,5.4,5,4.5,4.1,3.6,3.1,2.6,1.8,1.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",18.3,18.3,18.3,17.2,15.8,14.6,13,11.9,10.5,8,5.7,3.9,2.1,2.1,1.8,1.7,1.5,1.5,1.6,1.5,1.4,1.3,1.1,1.1,1.1,1,1,1.2,1.3,1.5,1.4
1605,"1111605","Paredes de Coura",0,0,0,0.2,0.4,0.7,1,1.3,1.5,1.7,1.8,2.1,2.1,2.1,1.8,1.7,1.5,1.5,1.6,1.5,1.4,1.3,1.1,1.1,1.1,1,1,1.2,1.3,1.5,1.4
1606,"1111606","Ponte da Barca",1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,2.1,2.1,2.1,2.1,2.1,3.1,4.1,5,5.7,7.2,8.9,10.3,11.9,12.5,13,12.6,12.4,12.3,12.3,14.1,15.2,17.4,16.8
1607,"1111607","Ponte de Lima",2.1,2.1,2.1,8,14,20.4,27.1,34.9,43.4,47.3,50.4,54.6,58.4,53.3,48.4,43.6,38.8,38.4,37.5,34.9,31.8,26.5,21.6,21.2,20.6,20.5,20.5,23.5,25.4,29,27.9
1608,"1111608","Valença",5.4,5.4,5.4,5.2,5,4.8,4.5,4.3,4.2,3.6,3,2.6,2.1,2.5,2.9,3.1,3.4,4.1,5,5.5,6.2,6.4,6.5,6.4,6.2,6.2,6.2,7.1,7.7,8.7,8.4
1609,"1111609","Viana do Castelo",79.7,79.7,79.7,75.8,71.5,67,62.1,58.6,54.2,44.5,35.5,28.4,21.6,20.9,20.3,19.6,18.8,20.2,21.7,22.2,22.9,21.7,20.5,20.1,19.6,19.5,19.5,22.3,24.2,27.6,26.5
1610,"1111610","Vila Nova de Cerveira",0,0,0,0.1,0.2,0.3,0.4,0.7,0.7,0.9,1,1,1.1,1.1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.1,1.1,1.1,1,1,1.2,1.3,1.5,1.4
