"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",64.6,64.6,64.6,62.4,59.3,56.7,52.2,47.6,38.6,36.3,33.3,28,15.1,14,13.2,12.5,11.7,11,10.2,9.5,8.7,7.9,7.2,7.2,7.2,7.2,7.6,7.6,7.6,7.6,7.6
1602,"1111602","Caminha",11.7,11.7,11.7,11,10.6,9.5,8.7,7.6,6,5.3,4.5,3.4,1.5,1.5,1.5,1.1,1.1,1.1,1.1,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1603,"1111603","Melgaço",34,34,34,32.9,31.8,30.6,28,26.1,21.5,20.4,18.9,16.3,9.1,9.1,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.3,8.3,8.3,8.3,8.3,8.3,8.7,8.7,8.7,8.7
1604,"1111604","Monção",78.6,79,79,76,72.6,70.3,64.6,59.7,48.4,45.7,42.7,36.7,20.4,20,20,20,19.7,19.3,19.3,19.3,18.9,18.9,18.5,18.5,18.5,18.5,18.9,18.9,19.3,19.7,19.7
1605,"1111605","Paredes de Coura",11.7,11.7,11.7,11,10.2,9.5,8.3,7.2,5.3,4.5,3.8,2.6,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1606,"1111606","Ponte da Barca",44.6,44.6,44.6,42.3,39.7,37.4,33.3,29.9,23.1,20.8,17.8,13.6,6.4,6.4,6,6,5.7,5.7,5.3,5.3,4.9,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
1607,"1111607","Ponte de Lima",123.2,123.6,123.6,119.1,113.4,109.2,99.8,91.9,74.5,69.9,64.6,54.8,29.9,28.4,26.8,25.3,24.2,22.7,21.5,20.4,18.9,17.8,16.6,16.6,16.6,16.6,16.6,16.6,17,17.4,17.4
1608,"1111608","Valença",20,20,20,19.3,18.1,17.4,15.9,14,11.3,10.6,9.5,7.6,4.2,3.8,3.8,3.8,3.8,3.4,3.4,3.4,3,3,3,3,3,3,3,3,3,3,3
1609,"1111609","Viana do Castelo",84.7,84.7,84.7,80.1,74.8,70.3,62.7,55.9,43.1,38.2,32.9,24.9,11.7,11,10.2,9.5,9.1,8.3,7.9,7.2,6.8,6.4,5.7,5.7,5.7,5.7,6,6,6,6,6
1610,"1111610","Vila Nova de Cerveira",8.3,8.3,8.3,7.6,7.2,6.8,6,5.3,4.2,3.4,3,2.3,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
