"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",693.1,646.6,669.7,749.7,836.6,732.6,472.7,450.7,370.3,359.8,329.8,220,417.2,335.6,362,344.9,348.9,322.8,325.1,299.7,304.4,291.3,273.6,255.9,286.2,264.2,280.8,277.9,246.8,233.8,244.2
1602,"1111602","Caminha",254.6,239.8,247.7,274.6,301,256.9,162.4,152.7,122.8,113.6,100.3,63.3,115.8,91.7,96.4,91.5,90.8,82.4,80.5,73.3,73.1,67.2,62.3,58.3,65.8,59.5,63.7,62.7,55.5,52.9,55.6
1603,"1111603","Melgaço",1131.5,1055.9,1092.9,1187.6,1276.3,1070.1,659.2,594.3,452.2,403.4,331.4,191.3,291.4,224.3,232.4,207.6,199.2,171.7,162.6,138.2,127,109,90.1,84.2,93.7,87.5,92.6,91.5,80.2,76.5,79.8
1604,"1111604","Monção",806.1,755,779.3,862.3,946,811.7,512.9,479.8,381.5,359.8,316.2,201.3,359.3,283.2,302,281.5,278.8,252.4,247.7,221.4,219.2,204.6,185.1,173.3,194.1,178.4,191,188.1,168.1,158.8,164.4
1605,"1111605","Paredes de Coura",504.7,473.1,487.7,548,613.4,541.1,348.9,336.2,275.4,268.9,249.3,168.3,319.4,257,278.3,267.5,270.8,250.7,253.9,233.1,240,230,216.2,202.4,225.3,208.1,221.4,218.6,195.9,185.2,193.5
1606,"1111606","Ponte da Barca",334.5,312.4,322.6,367.4,416,370.9,242.8,238.1,199.1,198.8,188.5,129.4,253.5,203,221.3,209.4,213.5,195.8,196.6,181.5,184.4,177.7,165.5,155.5,172.7,160.2,170.8,167.8,151.1,142.6,147.5
1607,"1111607","Ponte de Lima",1212.9,1133.7,1174.2,1301.4,1433.1,1238.8,784.6,741.5,591.8,560.5,500.1,323.6,584.9,481.3,532.8,520.8,541.7,511.7,529.5,499.4,523.6,515.3,496.4,464.8,519.7,478.9,510.9,503.4,448.8,424.9,440.1
1608,"1111608","Valença",367.6,344.3,356.1,397.1,438.6,380,241.2,229,182.4,176.1,156.6,103.5,187.6,145.7,153.4,142.5,137,121.9,116.1,101.6,99.1,88.1,77,72.9,80.6,74.3,79.6,78,67.9,64.7,67.7
1609,"1111609","Viana do Castelo",2178.7,2037.9,2107.1,2303.5,2487.3,2105.2,1300.7,1190.3,919.3,833.2,702.2,418.5,682.7,550,596,570.1,579.9,535.8,541.8,499.4,511.4,491.4,462,434.1,483.5,445.9,474.7,467.8,419.5,394,411.1
1610,"1111610","Vila Nova de Cerveira",311.9,292,301.9,330.3,360.8,305.5,189.7,174.5,135.8,125,106.4,64.7,111.8,86.8,90.1,80.9,78.1,68.7,65,56.6,52.2,46.3,39.3,37.3,41.1,38,39.1,40.7,35.5,33.8,33.9
301,"1120301","Amares",354.1,330.3,343.2,383.5,426.2,370.9,239.6,227.2,184.2,179.9,162.6,107.9,201.6,150.6,150.2,130.2,117.9,96.2,82,63.3,48.7,32.9,16.4,14.6,16.4,16.5,15.9,16.9,13.9,13.2,14.5
302,"1120302","Barcelos",4251.9,3973.8,4110.9,4472.1,4807.7,4041.7,2484.1,2253.5,1717.6,1537.7,1267.7,734.9,1139.8,874.2,896.4,807.7,769.5,662.8,616.1,517.8,476.6,403.3,327.6,307.7,342.1,315.4,337.2,332.2,296.1,279.3,290.2
