"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,1.5,1.5,1.4,2.4,2.3,2.3,2.3,2.3,1.8,1.3,1.3,1.3,1.2,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.7,0.7,0.7,0.7
1602,"1111602","Caminha",24.7,12.4,14.4,11.4,20.3,16.4,20.4,13.8,12.7,10.4,9.8,10.1,8.4,8.5,6.4,6,4,4,3.5,1.4,1.3,1.2,1.1,1.1,1.2,1.1,1.4,1.4,1.3,0.7,0.7
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",1.9,0.9,1.4,1.2,2.1,1.6,4.5,3.1,2.8,4.8,5.3,4.7,3.8,3.9,2.9,3.4,2,2,1.8,1.4,1.3,1.2,1.1,1.1,1.2,1.1,1.4,1.4,1.3,0.7,0.7
1605,"1111605","Paredes de Coura",1.9,0.9,1.4,1.2,2.1,1.6,9.1,6.1,5.6,11.2,10.5,10.9,9.2,9.2,6.4,6.7,4.7,4.7,4.1,2.7,1.9,1.9,2.2,2.1,2.4,2.1,2.7,2,2,2,2
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",74.1,36.7,42.5,34.2,61,50,58.3,39.9,36.7,27.2,26.3,27.3,22.2,22.4,16.4,16.1,12.8,12.1,11.2,8.9,7.5,7.5,8.4,8.5,7.8,8,8.2,8.2,8,6.7,6.1
1608,"1111608","Valença",3.8,1.8,2.1,1.8,2.8,2.5,9.1,6.1,5.6,10.4,9.8,10.1,8.4,8.5,6.4,6,6.7,6,5.9,6.8,5.7,5.6,6.7,6.4,6,6.4,6.8,6.1,6,5.3,4.7
1609,"1111609","Viana do Castelo",50.3,24.8,28.8,23.4,41.4,34.4,37.1,25.3,23.3,14.4,14.3,14,11.5,11.6,8.8,8.7,6.1,5.4,5.3,2.7,1.9,1.9,2.2,2.1,2.4,2.1,2.7,2,2,2,2
1610,"1111610","Vila Nova de Cerveira",19,9.2,11,9,15.4,13.1,12.1,8.4,7.8,2.4,2.3,2.3,2.3,2.3,1.8,1.3,0.7,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",0.9,0.5,0.7,0.6,0.7,0.8,1.5,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.6,0.7,2,2,1.8,4.8,3.8,3.7,3.9,4.2,4.2,3.7,4.1,4.1,4,3.3,3.4
302,"1120302","Barcelos",90.2,44.5,51.4,41.5,73.6,60.7,59.1,39.9,36.7,16,15.8,16.4,13,13.1,10,10.1,6.1,5.4,5.3,1.4,1.3,1.2,1.1,1.1,1.2,1.1,1.4,1.4,1.3,0.7,0.7
303,"1120303","Braga",11.4,5.5,6.2,5.4,9.1,7.4,12.1,8.4,7.8,8.8,8.3,8.6,6.9,6.9,5.3,5.4,2.7,2.7,2.4,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",42.7,21.1,24.7,19.8,35.1,28.7,23.5,16.1,14.8,0.8,0.8,0.8,0.8,0.8,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",14.2,7.3,8.2,6.6,11.9,9.8,22,15.3,14.1,20.8,19.6,20.3,16.9,17,12.3,12.1,8.1,8.1,7.1,3.4,2.5,2.5,2.8,3.2,3,2.7,2.7,2.7,2.7,2.7,2
307,"1130307","Fafe",0.9,0.5,0.7,0.6,0.7,0.8,3.8,2.3,2.1,4,3.8,3.9,3.8,3.9,2.3,2.7,2,2,1.8,1.4,1.3,1.2,1.1,1.1,1.2,1.1,1.4,1.4,1.3,0.7,0.7
308,"1130308","Guimarães",3.8,1.8,2.1,1.8,2.8,2.5,3.8,2.3,2.1,2.4,2.3,2.3,2.3,2.3,1.8,1.3,2.7,2.7,2.4,4.1,3.1,3.1,3.3,3.7,3.6,3.2,3.4,3.4,3.3,2.7,2.7
309,"1130309","Póvoa de Lanhoso",0.9,0.5,0.7,0.6,0.7,0.8,0.8,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.7,0.7,0.7,0.7
1314,"1131314","Santo Tirso",22.8,11,13,10.2,18.2,14.8,14.4,10,9.2,3.2,3,3.1,3.1,3.1,2.3,2,2,1.3,1.2,1.4,1.3,1.2,1.1,1.1,1.2,1.1,1.4,1.4,1.3,0.7,0.7
1318,"1131318","Trofa",0,0,0,0,0,0,3.8,2.3,2.1,4.8,5.3,4.7,3.8,3.9,2.9,3.4,2,1.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0.9,0.5,0.7,0.6,0.7,0.8,0.8,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.7,0.7,0.7,0.7
312,"1130312","Vila Nova de Famalicão",18,8.7,10.3,8.4,14.7,12.3,12.1,8.4,7.8,3.2,3,3.1,3.1,3.1,2.3,2,1.3,1.3,1.2,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.7,0.7,0.7,0.7
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",24.7,12.4,14.4,11.4,20.3,16.4,18.2,12.3,11.3,8,7.5,7.8,6.1,6.2,4.7,4.7,4,4,3.5,3.4,2.5,2.5,2.8,3.2,3,2.7,2.7,2.7,2.7,2.7,2
1306,"1141306","Maia",5.7,2.8,3.4,2.4,4.9,4.1,3,2.3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
