"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",402.1,436.6,304.7,292.3,272.6,235.9,229.1,192.5,172.1,173.1,151.9,155.4,80.4,78.9,54.3,61.3,46.2,48.6,43.4,31.3,27.2,25.4,18.8,18.7,18.1,16.9,18.9,15.2,14.8,14.3,12.9
1602,"1111602","Caminha",76.9,83.8,58,56,52.4,45.5,39.3,32.8,29.6,19.3,16.8,16.7,8.7,8.6,6,7.1,6.1,6,5.2,6,4.9,4.7,3.5,3.5,3.5,3.5,3.6,2.8,2.7,2.7,2.6
1603,"1111603","Melgaço",297.4,322.2,225.1,216.3,201.2,173.7,168.9,141.9,127.3,127.3,111.6,113.8,59.1,58.3,40.4,45.6,32.6,33.7,30.4,17.9,15.3,14.1,10.5,10.4,9.8,9.3,10.2,8.3,8.7,7.5,7.1
1604,"1111604","Monção",133.4,145.1,101.2,96.9,90.3,78.1,95.3,79.8,71.6,122.3,106.5,109.2,56.8,55.8,38.4,43.2,37.9,39.6,35.6,41.8,35.5,33.5,24.4,24.3,23.7,22.1,24,20.1,19.5,18.4,16.8
1605,"1111605","Paredes de Coura",107.5,116.5,81.6,77.7,72.2,63,56,47,42,30,26.3,26.8,14.2,13.7,9.3,11,7.6,7.5,7.1,3.7,3.5,3.3,2.1,2.1,2.1,2.3,2.2,2.1,2,2,1.9
1606,"1111606","Ponte da Barca",197.4,213.9,149.4,143.6,133.3,115.3,135.4,114.4,102.5,162.4,142.4,146,75.7,73.8,51,58.1,37.9,39.6,35.6,11.9,10.5,9.4,7,6.9,7,6.4,6.5,5.5,5.4,5.4,4.5
1607,"1111607","Ponte de Lima",366.9,397.8,277.2,266.4,248.5,214.7,224.9,188.9,169.3,211.8,185,189.5,97.8,96.1,66.9,75.4,59.1,62.1,55.1,47.8,41.1,38.2,27.9,27.7,26.5,25,27.6,22.8,22.8,21.1,19.4
1608,"1111608","Valença",58.4,63.3,44.2,42.6,39.6,34.1,32.6,27.5,24.8,24.3,21.3,22.1,11,11.2,8,8.6,7.6,7.5,7.1,8.2,7,6.7,4.9,4.9,4.2,4.1,4.4,4.2,4,3.4,3.2
1609,"1111609","Viana do Castelo",237.2,256.8,179.9,172,160.8,138.8,137.9,116.2,103.9,113.7,99.8,101.8,52.8,51.5,35.8,40.1,33.3,34.4,31.1,29.8,25.8,24.1,17.4,17.3,16.7,15.7,17.4,14.5,14.1,12.9,12.3
1610,"1111610","Vila Nova de Cerveira",43.6,47,32.4,31.7,29.2,25,21.7,17.7,15.8,7.9,7.3,7.4,3.9,3.4,2.7,3.1,2.3,2.2,1.9,2.2,2.1,1.3,1.4,1.4,1.4,1.2,1.5,0.7,0.7,0.7,0.6
