"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",7588.4,7588.4,7588.4,6581.8,5554.9,4539.4,9523.8,10290.4,11077.4,16410.8,16612.8,16782.9,16947.5,16472.3,15984.7,15491.3,8285,9022,9744.5,2018.7,1237,1903.1,2530.7,2537.4,2591.9,2729.5,2635.9,2499.9,2256.3,2086.5,1940.9
1602,"1111602","Caminha",3029.4,3029.4,3029.4,2830.2,2639.8,2460.7,4047.1,4372.4,4666.2,6271.8,6339.8,6411.2,6449.9,6278.5,6100.4,5922.3,3199.7,3439.2,3679.7,701.5,530.1,687,865.1,855.8,862.2,840.5,833.3,782.6,723.9,665.4,614.9
1603,"1111603","Melgaço",2006.6,2006.6,2006.6,1635,1237.5,834.5,1573.2,1709.5,1831.4,2834.4,2878,2965.5,3055.6,2950.8,2814.5,2704.2,1364.8,1536.2,1700.8,320.3,115.9,224.9,321.4,383.9,408.5,535.2,510.3,481.1,411.3,388.7,360.8
1604,"1111604","Monção",8336,8336,8336,7063.6,5791.4,4492.9,10833.6,11676.1,12497.4,19186.6,19435.7,19183,18915.8,18587.2,18250.8,17901.9,9534.1,10172.5,10843.5,2483.5,1230.6,1924.9,2598.1,2920.2,3103,3826.6,3751,3500.6,3020.6,2778.5,2585
1605,"1111605","Paredes de Coura",3950.3,3950.3,3950.3,3621,3309,2970.9,8238.1,8882,9541.3,14501.8,14701.5,14756.1,14817.3,14449.7,14056.4,13676.3,8944.9,9414.7,9898.9,4657.1,4229.3,4539.3,4825.7,4893.9,5176.2,5301.4,5386.5,5084.1,4579.5,4219.3,3778.4
1606,"1111606","Ponte da Barca",2464.5,2464.5,2464.5,1965.4,1463.3,949.9,4488,4856.9,5210.1,8785.3,8902.4,8939.4,8971.6,8749.7,8521.4,8259,4322.8,4618.4,4952.4,644.6,417.5,635.7,868.6,845.8,845.7,840.6,809.8,771.6,709.1,660.1,619.1
1607,"1111607","Ponte de Lima",23423.7,23423.7,23423.7,21373.6,19323.4,17258.8,23829.5,25699.7,27541.1,35467.5,35851.3,36533.4,37200.8,35946.4,34706.4,33481.2,26323.4,28106.4,29869.4,21377.4,19480.4,20917.1,22342.9,22548.7,23764.9,24126.9,24452,23161.7,20908.4,19277,17272.5
1608,"1111608","Valença",3989.7,3989.7,3989.7,3740.1,3516.3,3278,8667.9,9349.5,10045.7,15039.1,15249.2,14921.1,14598.1,14401.7,14179.6,13983.6,7883.5,8269.2,8669.7,2263.5,1681.5,2198.5,2676.1,2665.1,2768.6,2761.5,2723.3,2546.7,2331.3,2202.3,1999.1
1609,"1111609","Viana do Castelo",22473.4,22473.4,22473.4,21240.5,19990.2,18771.7,16670.4,17890.3,19105.4,18728.4,18780.5,19778.3,20794.2,19746,18730.6,17735.3,16500.5,17868.1,19224.4,17393.3,15794,16819.1,17814,18168.3,19250.5,19865.8,20153.2,19063.3,17142.4,15767.6,14121.2
1610,"1111610","Vila Nova de Cerveira",5980.8,5980.8,5980.8,5964.7,5948.6,5932.4,6711.2,7248.6,7777.2,8537.8,8659.7,8572.6,8473.2,8297.5,8138.9,7984.5,5304.8,5513.5,5735.5,2810.9,2583.8,2766.1,2910.3,2942.4,3111.6,3145.1,3191.3,3034.7,2738.1,2534,2263.8
301,"1120301","Amares",7581.8,7581.8,7581.8,6991,6403.4,5827,6719.4,7216.5,7730.2,9107.6,9234.8,9467.4,9694.4,9358.5,9029.1,8678.5,6446.4,6981.7,7517.2,5157.2,4383.9,4868.8,5379.6,5543.1,5885.7,6185.8,6247.2,5877.9,5262.8,4870.5,4377.6
302,"1120302","Barcelos",116688.3,116688.3,116688.3,115980.5,115287.2,114585,59766.4,64180,68566.5,21983,21977.5,30453.7,38915.5,34077.1,29246.5,24396.8,91646.1,98191.9,104723.3,169900.5,161609.2,165165.5,168701.8,172017.8,183522.6,188427.4,192544.2,182271,163825.7,150569.4,133902.2
303,"1120303","Braga",25919.4,25919.4,25919.4,25480.9,25036.9,24609.9,13185.6,14176.5,15145.2,5599.5,5700,8204.4,10685.4,9283,7880.8,6452.7,15660.8,17612.1,19525.1,28045.1,25923,27419.5,28910.1,29296.8,31070.1,31651.7,32178.2,30458.5,27479,25327.7,22620.5
306,"1120306","Esposende",15298.2,15298.2,15298.2,14350.8,13374.2,12426.7,7591.1,7980.8,8414.2,4829.7,4815.8,6270.8,7695.7,6838.4,5998.1,5133.8,13584.5,14690.4,15808.7,23700.7,22503.2,23113.8,23700.9,24095.2,25661.7,26242.7,26794.2,25375.6,22829.9,21006.5,18695.1
310,"1120310","Terras de Bouro",1923.9,1923.9,1923.9,1583.8,1223.7,866.6,3686.5,3971.4,4255.2,7080,7182.7,7244.4,7301.2,7113.5,6898.9,6679.5,3452.4,3728.4,4011.2,579.8,301.5,490,666,717.2,739.4,865.2,830.4,777.9,691.2,642.7,597.1
313,"1120313","Vila Verde",19645.2,19645.2,19645.2,18253,16834.9,15431.4,18580.2,20058.5,21518.9,25597,25964.4,26651.1,27349,26380.7,25413.5,24437.4,20126.9,21909.6,23680.8,19082.8,16330.3,18172.8,20036.5,20385.3,21629.3,22249.7,22366.5,21101.1,18997.2,17627.7,15835.5
307,"1130307","Fafe",10207.8,10207.8,10207.8,8953.4,7684.3,6395.2,9748.6,10519.9,11295.4,15397.7,15595,16305.4,17013.9,16285.8,15545.1,14816.9,9101.3,10146,11187.5,4764.8,3802.9,4621.9,5414,5454.7,5621.8,5741.2,5707.5,5407.2,4892.4,4523.9,4128.1
