"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",43.6,42.7,43.3,43.8,44.8,45.8,55,54.6,53.4,59.4,66.2,95.4,110,110,109.4,111,110.7,110.2,108.4,107.2,107.2,105.6,109.8,106.4,106.2,105.4,105.4,104.1,104.2,105.6,105.8
1602,"1111602","Caminha",0,0,0,109,111.9,108.6,108.8,110,106,105.6,106.5,106.4,110,110,109.4,111,110.8,110.2,108.4,107.2,107.3,105.6,109.8,106.4,106.2,105.4,105.4,104,104.2,105.6,105.8
1603,"1111603","Melgaço",108.6,103.2,108,109.3,112,108.7,108.9,110,106,105.6,106.5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",108.6,103.2,108,109.2,112,108.7,108.8,110,106,105.5,106.5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",31.3,30.2,30.8,31.7,34.3,36,69.3,75.8,80.9,105.6,106.4,106.4,110,110,109.4,111,110.8,93.3,74.8,66.9,57.3,55,68.2,63.7,59.8,55.8,51.7,42.3,32.8,23.3,23.1
1607,"1111607","Ponte de Lima",30.1,28.7,29.3,27.9,29,29,31.9,30.1,29.1,28,28.9,46,85.4,79,73.7,69,73.9,61.8,56.5,64,58.9,59.9,78.7,73.9,69.1,64.5,59.8,49.3,38.5,28,28.1
1608,"1111608","Valença",108.6,103.2,108,109.2,112,108.6,108.9,110,106,105.5,106.5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",45,44.2,43.5,42.2,42,41.3,38.7,37.6,36.9,32.6,33.7,47.3,82.5,80.1,78,76.4,76.6,68.2,66.1,72.3,65.3,76.2,109.8,106.4,101.1,95.8,90.4,79.6,68.1,57,56.4
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",3.4,3.4,3.3,3.3,3.3,3.3,6.6,5.8,5,7,6.8,8.2,12.4,12.5,12.6,12.8,14.3,12.8,12.5,15.5,14.2,14.7,19.9,19.5,18.7,18.3,17.9,17.7,17,16.4,16.4
302,"1120302","Barcelos",28,27.3,27,25,23.8,22.1,24,21.8,20.1,19.2,18.4,28.7,50.6,52.6,54.9,57.6,57.4,53.6,55.1,61.4,63.5,74.6,109.8,106.4,100.4,93.8,87.2,71.9,56.9,42.1,41.8
303,"1120303","Braga",25.5,24.9,24.6,22.4,21,19.3,18,16.2,14.8,12.3,11.7,18,31.1,32.1,33.3,34.8,33.4,30.9,31.5,33.5,34.5,39.6,58.7,55.2,51.6,48.3,44.8,37,29.1,21.4,21.5
306,"1120306","Esposende",108.6,103.2,108,109.2,101.4,84.8,64.7,55.6,48.3,36.9,32.8,51,87.1,95,105.9,111,107.1,110.2,108.4,107.2,107.2,105.6,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",6.4,6.1,6.5,6.5,7,7.4,8.7,9.2,9.8,11.2,13.4,22.7,49.5,50.9,52.9,57.9,76.5,73.9,77.3,104.9,107.2,105.6,109.8,106.4,106.2,105.4,105.4,104,104.2,75.4,75.9
313,"1120313","Vila Verde",8.7,8.3,8.5,8.3,8.7,8.8,8.8,8.4,8.3,7.9,8.3,12.5,22.7,22.8,23.4,24.4,29.7,27.6,28.4,36.3,37.4,42.9,64.1,60.3,56.4,52.9,49.1,41.2,32.9,25,25.2
307,"1130307","Fafe",22.7,22.1,22.1,22.5,23.8,24.9,43.9,45.2,48,59.4,67.2,106.4,110,110,109.4,111,110.8,110.2,108.4,107.3,107.2,105.6,109.8,106.4,106.2,105.4,105.4,104,104.2,105.6,105.8
308,"1130308","Guimarães",108.6,103.2,108,109.2,112,108.6,108.8,110,99.7,91.3,86.5,93.9,110,110,109.4,111,110.8,110.2,108.4,107.2,106.2,105.6,109.8,106.4,106.2,105.4,105.4,104,104.2,105.6,105.8
309,"1130309","Póvoa de Lanhoso",19.3,18.7,18.9,18,18.5,18.2,15.1,14.2,13.7,11.3,11.6,15.8,27,27.2,27.7,28.4,30,27.8,28,32.1,32.7,37.1,55.2,51.9,48.3,45.4,42.5,36.4,29.3,22.5,22.5
1314,"1131314","Santo Tirso",92.3,90.2,89,81.5,75.8,69.8,43.6,39.1,35.8,9.9,9.5,12.7,20.5,19.9,19.6,19.4,15.5,13.7,13.3,11.4,10.6,11.4,15.7,14.8,13.8,13,12.3,10.8,8.9,7.2,7.2
1318,"1131318","Trofa",0,0,0,0,0,0,108.8,110,105.7,105.6,106.4,106.4,110,110,109.4,111,110.7,110.2,108.4,107.1,107.2,105.6,109.8,106.4,106.2,105.4,105.4,104,104.2,105.6,105.8
311,"1130311","Vieira do Minho",23.6,22.4,23.6,22.7,23.3,23.3,24.7,23.7,22.8,21.1,22.4,32.1,56.2,56.8,56.9,59.4,54.7,50.1,50,49.7,49.9,54.2,78,72.4,68.7,65.6,61.6,52.7,43.1,33.7,33.9
312,"1130312","Vila Nova de Famalicão",82.1,81.1,79.8,61.7,50.6,41.3,35,28.9,24.4,19.5,17.2,24.7,40.2,41.7,43.7,46.3,44.6,42.9,45.8,58,59.3,68.4,105.2,99.3,89.6,85.9,80.4,75.1,62.1,52.1,54.7
314,"1130314","Vizela",0,0,0,0,0,0,40.2,25.6,21.3,29.8,23.5,31.7,46.6,43.1,37.3,33.3,25.9,21.3,19,16.5,14.7,15.1,19.4,18.2,17.1,16.1,15,12.7,10.4,7.9,7.9
107,"1140107","Espinho",0,0,0,84,41.5,27.3,21.5,13.5,10.8,8.5,6.5,10.4,16.3,18.6,19.4,22.5,17.9,19,20.6,20.7,31.5,71,0,0,0,0,0,0,0,0,0
