"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",11.6,11.8,11.9,11.7,12.5,13.5,15.8,16.6,17.6,21.5,24,34.7,50.1,53.1,55.7,67.5,69,65,61.5,66.5,67,67.5,67.5,69,71,70.5,70,71,63.3,52.7,53.6
1602,"1111602","Caminha",27.7,28.1,27.8,26.5,27.9,29.2,43.3,45.9,51,69,68.5,68.5,71,71,71,69,69,68.5,65.5,66.5,67,67.5,67.5,69,71,70.5,70,71,70.5,70,69
1603,"1111603","Melgaço",31.7,32.2,32.1,31.1,33.2,35.5,35.5,36.3,38.5,51.7,57.2,68.5,71,71,71,69,69,68.5,65.5,66.5,67,67.5,67.5,69,71,70.5,70,71,70.5,70,69
1604,"1111604","Monção",10.5,10.6,10.5,10.3,11,11.9,15.2,15.5,16.4,26.8,28.7,45.1,68.6,71,71,69,69,68.5,65.5,62.3,63.7,67.5,67.5,69,71,70.5,70,64.1,54.6,44.2,44.8
1605,"1111605","Paredes de Coura",20.5,20.6,20.6,20.2,21.5,23.2,21.4,21.4,22.4,19.2,20.6,32.4,49.3,52.3,55,65.6,69,68.5,65.5,66.5,67,67.5,67.5,69,71,70.5,70,71,70.5,70,69
1606,"1111606","Ponte da Barca",7.8,7.8,7.9,7.8,8.5,9.2,18.1,19.2,21,35.9,38.3,68.5,71,71,71,69,69,68.5,65.5,66.5,67,67.5,67.5,69,71,70.5,70,71,70.5,70,69
1607,"1111607","Ponte de Lima",12.6,12.5,12.7,12,13.1,14,15,15,16.2,16.8,17.7,29.2,45.1,47.7,50,59.3,69,64.1,61.2,66.5,67,67.5,67.5,69,71,70.5,70,67.7,55.6,42.2,43.2
1608,"1111608","Valença",33.2,34,33.2,34,37.6,41.8,50.2,46.5,43.8,47.9,50.2,59.4,71,71,71,69,69,68.5,65.5,49.2,48.8,52,64.4,68,62.6,59.7,57.2,52.5,48,43.7,45.3
1609,"1111609","Viana do Castelo",32.3,32.9,32.4,30.9,32.3,33.8,29.3,30,32.3,27.8,29.2,41.6,59.8,61.3,62.3,69,69,67.5,63.8,65.4,62.9,67.5,67.5,69,71,70.5,70,71,66.9,58.6,59.4
1610,"1111610","Vila Nova de Cerveira",14,14.4,14.1,13.7,14.6,15.5,13,13,13.5,13.6,14.6,22.6,33.9,35.8,37.4,44.4,44,41.2,39.3,39.2,40.4,44.3,55.8,57.8,53.5,50.6,48.5,41.7,36,29.7,30.3
301,"1120301","Amares",32.3,32.8,32.4,32.3,35.5,38.8,67,67.5,68.5,69,68.5,68.5,71,71,71,69,69,68.5,65.5,66.5,67,67.5,67.5,69,71,70.5,70,71,70.5,70,69
302,"1120302","Barcelos",18.7,19,18.7,18,19,20,25,25.8,28,42.2,44.3,68.5,71,71,71,69,69,68.5,65.5,66.5,67,67.5,67.5,69,71,70.5,70,71,70.5,70,69
303,"1120303","Braga",16.6,16.8,16.7,15.8,16.6,17.3,14.6,15,16.2,12.2,12.8,22,34.8,37,39.1,46.4,45.8,42.1,40,40.5,42.5,46.4,58.3,61,55.6,51.6,48.2,40.2,33.2,25.5,26
306,"1120306","Esposende",37.1,37.6,37.2,35.1,36.4,37.7,33.5,35,38.6,38.7,40.4,68.5,71,71,71,69,69,68.5,65.5,66.5,67,67.5,67.5,69,71,70.5,70,71,70.5,63.2,64.2
