"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,61,61,61,61,61,61,60.5,57.5,60.4,56,53.8,46.5
1602,"1111602","Caminha",61,61,61,61,61,61,61,61,61,61,61,18.1,2.1,0,0,0,61,61,0,61,61,61,61,61,61,60.5,61.5,60.4,56,53.8,46.5
1603,"1111603","Melgaço",61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,61,61,61,61,61,47.6,39,31.3,30.8,28.1,27.2,24.7
1604,"1111604","Monção",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,61,21.2,10.4,9.3,5.4,4.2,2.5,2.3,1.6,1.5,1.9
1605,"1111605","Paredes de Coura",61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,61,61,61,61,34.9,0,0,0,0,32.5,53.8,46.5
1606,"1111606","Ponte da Barca",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,61,61,61,60.5,61.5,60.4,56,53.8,46.5
1607,"1111607","Ponte de Lima",61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
1608,"1111608","Valença",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,1.8
1609,"1111609","Viana do Castelo",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
301,"1120301","Amares",16.5,14.5,13.4,15.4,19.9,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,56,53.8,46.5
303,"1120303","Braga",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,56,53.8,46.5
310,"1120310","Terras de Bouro",21.7,26.7,24.7,32.3,45.3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,42,61,61,40.6,32.7,25.3,19.9,14.3,15.3,15.6,15.8,16.8
313,"1120313","Vila Verde",61,61,61,61,61,61,61,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"1130307","Fafe",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",13.5,6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,48.1,0,0,0,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,9.7,0,0,0,0,56,53.8,46.5
311,"1130311","Vieira do Minho",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,6.6,61,40.1,0,0,0,0,0,0,18.8,53.4,46.5
314,"1130314","Vizela",0,0,0,0,0,0,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60.5,61.5,60.4,56,53.8,46.5
1304,"1141304","Gondomar",29,39.5,30.8,36.7,31.4,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,"1141306","Maia",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,23.4,10.7,0,0,0,0,0,0,6.4,29.4,46.5
1308,"1141308","Matosinhos",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,13.7,61,48.7,0,0,0,0,0,0,20.3,47.5,46.5
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60.5,61.5,60.4,56,53.8,46.5
1315,"1141315","Valongo",35.4,33.9,29.5,33.1,20.4,2.6,61,61,61,61,61,61,35.7,30,29.6,43.4,61,61,60.9,61,61,61,61,61,61,60.5,61.5,60.4,56,53.8,46.5
1316,"1141316","Vila do Conde",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60.5,40.3,60.4,56,53.8,46.5
1317,"1141317","Vila Nova de Gaia",61,61,59.9,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,"1151301","Amarante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,"1151302","Baião",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",11.9,13.3,11.5,9.4,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"1150305","Celorico de Basto",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,"1151804","Cinfães",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,"1151303","Felgueiras",48.3,57.1,45.2,51.9,52.6,42.7,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,"1151305","Lousada",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",9.9,15.8,10.7,10.3,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,"1151311","Penafiel",61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,61,61,61,0,0,0,0,0,0,47.5,53.8,46.5
1813,"1151813","Resende",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,58.8,49.3,34.6,29.3,19.2,26.4,37.7,41.7,46.5
1709,"1151709","Ribeira de Pena",61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"1160104","Arouca",61,61,61,61,61,61,61,61,61,61,61,61,26.7,7.6,0,0,61,61,0,56.1,61,61,12.7,0,0,0,0,0,33.8,53.4,46.5
113,"1160113","Oliveira de Azeméis",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,50.1,25.8,6.2,0,19.1,56,53.8,46.5
109,"1160109","Santa Maria da Feira",61,61,61,61,61,61,61,61,61,61,61,61,32.7,30.5,35.5,61,61,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,39.1,22.8,14.1,10.7,0.8,14.1,41.4,53.8,46.5
