"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",12280.8,13073,9202,8136.3,8328,7211.3,6356.6,5984,5106.8,4743,3878,4535.6,2368,2424,1611.6,1820.4,1424.5,1439.3,1140.8,863.6,571.6,372.3,272,272,261.8,235.6,260.1,452.2,438.6,401.2,341
1602,"1111602","Caminha",2352.1,2505.8,1763,1557.7,1596,1380.1,1098.9,1032,880.6,260.1,211.4,248.2,129.5,132,88.4,99.9,88.8,90.7,71.3,81.6,74.8,69.7,51,51,49.3,45,49.3,42.5,40.8,37.4,32.5
1603,"1111603","Melgaço",9068.7,9652.6,6794,6008.8,6148,5324.3,4687.9,4412,3767.2,3481.6,2847.6,1666,869.5,890,591.6,669.7,497.6,503.2,398.4,243.1,226.1,209.1,153,153,146.2,133.3,146.2,127.5,124.1,112.2,96.1
1604,"1111604","Monção",4076.4,4338.4,3053,2701,2764,2393.9,2652.9,2496,2131.8,3335.4,2727.2,3189.2,1665,1704,857.6,640.1,586.5,863.1,712.3,1135.6,1050.6,979.2,358.7,355.3,343.4,310,683.4,595,574.6,527,446.4
1605,"1111605","Paredes de Coura",3272.3,3481.6,2451,2168.2,2216,1920.3,1554,1464,1247.8,816,666.4,778.6,407,416,275.4,314.5,116.5,116.5,93,54.4,49.3,45.9,34,34,32.3,29.4,32.3,28.9,27.2,25.5,21.7
1606,"1111606","Ponte da Barca",6024.3,6412.4,4515,3992.3,4084,3537.2,3770.3,3552,3032.8,4443.8,3634.4,3699.2,1110,1136,754.8,854.7,586.5,593.9,469.6,161.5,149.6,139.4,102,102,98.6,88.3,96.9,85,81.6,74.8,63.5
1607,"1111607","Ponte de Lima",11188.6,11910.2,8385,7414.8,7588,6571.2,6241.9,5876,5015,5780,4723.6,5528.4,2886,2956,1965.2,2220,1816.7,1835.2,1453.9,1295.4,601.8,559.3,409.7,406.3,391,353.4,389.3,680,659.6,601.8,511.5
1608,"1111608","Valença",1780.2,1893.8,1333,1180.3,1208,1043.4,913.9,860,734.4,666.4,546,639.2,333,170,113.9,127.7,116.5,233.1,186,217.6,200.6,187,136,136,129.2,117.8,129.2,112.2,108.8,102,83.7
1609,"1111609","Viana do Castelo",7232.6,7697.6,5418,4791.5,4904,4243.9,3840.6,3616,3087.2,3111,2545.2,2975,1554,1592,1057.4,1195.1,1013.8,1024.9,812.2,809.2,751.4,350.2,255,255,244.8,221.7,243.1,425,411.4,377.4,319.3
1610,"1111610","Vila Nova de Cerveira",1320.1,1404.2,989,873.2,896,773.3,595.7,560,476,221,182,214.2,111,112,74.8,85.1,70.3,70.3,55.8,54.4,51,47.6,34,34,34,31,34,27.2,27.2,23.8,21.7
