"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",503.2,574.9,462.1,554.3,523.7,513.2,473.1,462.6,451.6,451,451,428.4,473.7,530.1,541.1,530.1,477.4,445.2,390.9,339.3,349.8,328.8,318.8,390.9,390.9,390.9,370.4,390.9,421.5,390.9,359.9
1602,"1111602","Caminha",197.1,225,180.7,217.1,205,200.7,140.7,137.5,134.4,92.7,92.7,88,97.5,109.1,111.2,109.1,67.4,63.2,55.3,15.8,16.3,15.3,14.8,17.9,17.9,17.9,16.8,17.9,19.5,17.9,16.8
1603,"1111603","Melgaço",62.2,70.6,56.9,68.5,64.3,63.2,44.3,43.2,42.2,29,29,27.4,30.6,34.2,34.8,34.2,33.7,31.6,27.9,27.4,28.4,26.9,25.8,31.6,31.6,31.6,30,31.6,34.2,31.6,29
1604,"1111604","Monção",223.9,255.6,205.5,246.6,232.9,228.1,134.4,131.2,128,57.4,57.4,54.2,60,67.4,68.5,67.4,57.9,54.2,47.4,39,40,37.4,36.4,44.8,44.8,44.8,42.2,44.8,48,44.8,41.1
1605,"1111605","Paredes de Coura",131.2,150.2,120.7,144.9,137,133.8,123.8,121.2,118,118.6,118.6,112.7,124.4,139.1,142.2,139.1,171.8,160.2,140.7,171.2,176,166,160.7,197.1,197.1,197.1,186.5,197.1,212.3,197.1,181.2
1606,"1111606","Ponte da Barca",145.9,166.5,133.8,160.7,151.7,148.6,132.8,129.6,126.5,122.2,122.2,116.4,128.6,143.8,147,143.8,116.4,108.5,95.3,69,71.1,66.9,64.8,79.6,79.6,79.6,75.3,79.6,85.9,79.6,73.2
1607,"1111607","Ponte de Lima",692.3,791.4,636,762.9,720.8,706.6,611.7,597.5,583.8,545.9,545.9,518.5,573.3,641.8,654.9,641.8,564.3,525.8,461.5,386.7,398.3,374.6,363,445.2,445.2,445.2,421.5,445.2,480,445.2,409.9
1608,"1111608","Valença",76.9,88,70.6,84.8,80.1,78.5,60.6,59,57.9,46.9,46.9,44.3,49,54.8,55.9,54.8,57.9,54.2,47.4,50.6,52.2,49,47.4,57.9,57.9,57.9,54.8,57.9,62.7,57.9,53.8
1609,"1111609","Viana do Castelo",1038.5,1186.6,953.7,1144.4,1080.7,1059.6,745,728.2,711.3,494.8,494.8,470,519.5,581.1,593.8,581.1,499,464.7,408.3,328.3,338.2,318.2,308.2,377.8,377.8,377.8,357.8,377.8,407.8,377.8,347.7
1610,"1111610","Vila Nova de Cerveira",120.7,137.5,110.6,132.8,125.4,122.8,113.3,110.6,108,108,108,102.2,113.3,127,129.6,127,95.3,88.5,78,47.4,49,46.4,44.8,54.8,54.8,54.8,52.2,54.8,59,54.8,50.6
301,"1120301","Amares",148.6,169.7,136.4,163.9,154.9,151.7,82.7,80.6,79,25.8,25.8,24.2,26.9,30,30.6,30,44.3,41.1,35.8,49.5,50.6,48,46.4,56.9,56.9,56.9,53.8,56.9,61.1,56.9,52.2
