"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",74.2,74.2,80.9,87.7,69.1,71.7,96.1,102.8,102.8,147.5,123.9,123.9,104.6,99.5,90.2,66.6,111.3,95.2,83.5,102,102,108.8,102,95.2,88.5,88.5,102,95.2,95.2,95.2,81.8
1602,"1111602","Caminha",42.2,42.2,46.4,50.6,39.6,40.5,54.8,58.2,58.2,83.5,70,70,59,56.5,50.6,37.9,59.8,50.6,44.7,51.4,51.4,54.8,51.4,48.1,44.7,44.7,51.4,48.1,48.1,48.1,41.3
1603,"1111603","Melgaço",35.4,35.4,38.8,42.2,32.9,34.5,51.4,54.8,54.8,86,71.7,71.7,60.7,58.2,52.3,38.8,39.6,33.7,29.5,12.7,12.7,13.4,12.7,11.8,11,11,12.7,11.8,11.8,11.8,10.1
1604,"1111604","Monção",107.9,107.9,118,128.2,100.4,104.6,177.8,189.7,189.7,317,266.4,266.4,225.1,215,194.7,143.3,134.9,114.6,101.1,24.5,24.5,26.1,24.5,22.8,21.1,21.1,24.5,22.8,22.8,22.8,19.4
1605,"1111605","Paredes de Coura",28.7,28.7,31.2,33.7,27,27.8,33.7,36.2,36.2,47.2,39.6,39.6,33.7,32,29.5,21.9,42.2,35.4,31.2,43.9,43.9,46.4,43.9,40.5,37.9,37.9,43.9,40.5,40.5,40.5,35.4
1606,"1111606","Ponte da Barca",26.1,26.1,28.7,31.2,24.5,25.3,21.9,23.6,23.6,18.6,16.1,16.1,13.4,12.7,11.8,8.4,13.4,11,10.1,11,11,11.8,11,10.1,9.2,9.2,11,10.1,10.1,10.1,8.4
1607,"1111607","Ponte de Lima",220,220,241.1,262.1,205.7,212.5,336.4,359.1,359.1,575,482.2,482.2,408.1,389.5,352.4,259.6,408.1,346.5,306,346.5,346.5,369.2,346.5,323.7,300.1,300.1,346.5,323.7,323.7,323.7,277.4
1608,"1111608","Valença",44.7,44.7,48.9,53.1,42.2,42.9,56.5,59.8,59.8,84.3,70.9,70.9,59.8,57.3,51.4,37.9,66.6,56.5,49.8,63.2,63.2,67.4,63.2,59,54.8,54.8,63.2,59,59,59,50.6
1609,"1111609","Viana do Castelo",738.5,738.5,810.1,881.8,691.3,714.9,948.4,1013.3,1013.3,1439.1,1206.4,1206.4,1020.9,974.5,881.8,650,886,752.8,664.3,617.9,617.9,659.3,617.9,576.7,535.3,535.3,617.9,576.7,576.7,576.7,494
1610,"1111610","Vila Nova de Cerveira",47.2,47.2,52.3,57.3,44.7,46.4,48.9,51.4,51.4,58.2,48.9,48.9,41.3,39.6,35.4,26.1,43.9,37.1,32.9,39.6,39.6,42.2,39.6,37.1,34.5,34.5,39.6,37.1,37.1,37.1,32
