"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",340.2,572.4,411.1,491.8,456.2,482.1,683.4,569,611.1,883.4,860.8,816.7,684.4,617.6,596.1,663,795.3,742.4,503.5,622.9,622.9,588.6,588.6,622.9,622.9,588.6,554.3,588.6,657.4,588.6,554.3
1602,"1111602","Caminha",47.5,80,57.4,67.9,63.9,67,143.9,120,129.8,224.9,219.5,207.6,173.9,156.8,151.3,168.5,127.6,118.9,80,31.5,31.5,29.1,29.1,31.5,31.5,29.1,27.1,29.1,32.4,29.1,27.1
1603,"1111603","Melgaço",89.3,150.7,108.8,130.4,120.7,128,105.5,88.4,94.7,79.7,77.5,73.2,61.4,55.9,53.8,59.3,58.1,54.8,36.7,34.5,34.5,32.4,32.4,34.5,34.5,32.4,30.1,32.4,36.7,32.4,30.1
1604,"1111604","Monção",231,388.1,279.1,333.6,309.5,327.1,209.2,174.4,187.3,72.9,70.9,67.6,56.7,51,49.2,54.5,104.6,98,66.4,117.7,117.7,111.4,111.4,117.7,117.7,111.4,104.6,111.4,124.2,111.4,104.6
1605,"1111605","Paredes de Coura",74.6,125.2,89.6,106.8,99.5,104.8,145.8,122.1,130.8,186.8,182.6,172.6,144.6,130.8,126.4,140.3,203.9,190,129.6,192.1,192.1,181.3,181.3,192.1,192.1,181.3,170.4,181.3,203,181.3,170.4
1606,"1111606","Ponte da Barca",122.5,205.8,148.1,176.9,164.3,173.9,192.9,161,172.7,207.9,202.6,192.1,161,145,140.8,155.6,178.1,166.3,113,131.2,131.2,123.6,123.6,131.2,131.2,123.6,116.3,123.6,138.7,123.6,116.3
1607,"1111607","Ponte de Lima",404.9,682.7,490.7,586.2,543.9,576.4,783.9,653.7,702.3,990,966.1,916.1,767.4,693.5,668.8,742.4,660,616.5,418.1,306.2,306.2,288.8,288.8,306.2,306.2,288.8,271.6,288.8,322.4,288.8,271.6
1608,"1111608","Valença",44.9,75.6,54.3,64.9,59.6,63.9,124.9,103.5,110.8,187.8,182.4,172.6,144.9,131.2,125.8,140.8,125.8,117.3,79.9,59.6,59.6,56.6,56.6,59.6,59.6,56.6,53.3,56.6,63,56.6,53.3
1609,"1111609","Viana do Castelo",911,1534.2,1102.6,1317.9,1222.8,1293.9,1462.8,1219.3,1310.3,1605.4,1565.5,1485.4,1244.3,1124.2,1084.1,1204.1,1149.8,1073.3,727.9,630.6,630.6,596.2,596.2,630.6,630.6,596.2,560.4,596.2,666.6,596.2,560.4
1610,"1111610","Vila Nova de Cerveira",103.8,173.9,125,149.3,138.7,146.1,127.1,106,114.4,102.8,99.7,95.3,79.4,72.1,69,77.3,61.3,57.2,38,19,19,18.2,18.2,19,19,18.2,16.9,18.2,20,18.2,16.9
301,"1120301","Amares",196.2,330,237.4,283.5,262.9,278.1,154.1,128.2,137.9,13,11.8,11.8,9.8,8.6,8.6,9.8,20.3,19.4,13,23.7,23.7,22.8,22.8,23.7,23.7,22.8,21.5,22.8,25.9,22.8,21.5
302,"1120302","Barcelos",3538,5957.9,4282.6,5120.2,4748.6,5026.9,6164.8,5137.5,5522.2,7235.5,7054.5,6692.5,5606.6,5064.8,4883.9,5425.8,5696.7,5316.4,3607.4,3713.5,3713.5,3506.5,3506.5,3713.5,3713.5,3506.5,3300.9,3506.5,3919.6,3506.5,3300.9
303,"1120303","Braga",785.8,1322.5,950.7,1136.2,1054.2,1115.6,1419.6,1182.4,1270.7,1710.7,1668.5,1582.3,1325.9,1197.6,1154.4,1282.7,1132.7,1057.3,716.8,514.3,514.3,486.2,486.2,514.3,514.3,486.2,457,486.2,543.3,486.2,457
306,"1120306","Esposende",722.8,1217.3,875,1045.7,969.7,1027.2,1130.4,941.4,1013.1,1210.8,1180.3,1119.6,938,847.8,817.5,907.6,1059.9,989.1,671.6,802,802,757.6,757.6,802,802,757.6,713.1,757.6,846.8,757.6,713.1
310,"1120310","Terras de Bouro",160.8,269.9,193.9,231.6,215.4,227.1,130.7,108.2,116.8,19.2,19.2,18.3,15.1,14,12.9,15.1,35.4,33.1,22.6,44.1,44.1,41.7,41.7,44.1,44.1,41.7,39.9,41.7,47.1,41.7,39.9
313,"1120313","Vila Verde",589.4,993.5,713.8,853.1,790.6,838.1,731.9,609.7,656,594.8,579.9,549.6,460.8,415.7,400.7,445.7,475.8,443.8,301.2,317.3,317.3,300.1,300.1,317.3,317.3,300.1,282.8,300.1,335.4,300.1,282.8
307,"1130307","Fafe",1008.6,1699.2,1221.8,1460.4,1354.4,1433.6,836.1,697,749.3,154.2,150.9,143.4,120.1,108.2,104.9,115.6,159.5,148.7,101.6,143.4,143.4,136,136,143.4,143.4,136,128.4,136,151.9,136,128.4
308,"1130308","Guimarães",893.8,1505.2,1082,1293.6,1199.5,1270,1075.4,895.7,963.4,830.7,809.4,768.6,643.7,581.5,560.2,623.1,528.3,493,334.6,214,214,202,202,214,214,202,190.2,202,225.5,202,190.2
309,"1130309","Póvoa de Lanhoso",341.8,575.5,413.8,495.1,459.3,485.6,271,225.3,242.3,25.4,25.4,24.3,19.9,18.1,16.9,19,55,51.9,34.9,73.1,73.1,68.9,68.9,73.1,73.1,68.9,64.5,68.9,77.2,68.9,64.5
1314,"1131314","Santo Tirso",1462.1,2462.8,1769.9,2115.8,1962.4,2077.7,1554.5,1295.7,1392.4,933.3,910.7,863.6,723.3,653.8,629.7,700.5,784.2,731.9,497.2,563.4,563.4,531.8,531.8,563.4,563.4,531.8,500.5,531.8,593.9,531.8,500.5
1318,"1131318","Trofa",0,0,0,0,0,0,336.5,279.8,300.5,695.5,678.2,643.6,539,486.7,469.3,521.4,473.7,442,300.5,231.8,231.8,218.9,218.9,231.8,231.8,218.9,205.6,218.9,244.9,218.9,205.6
311,"1130311","Vieira do Minho",418.3,705.3,507,606,562.3,595.2,350,292.3,313.6,71.3,69.4,66.1,55.5,49.9,48.1,53.3,102.4,96,65,115.2,115.2,109.1,109.1,115.2,115.2,109.1,102.4,109.1,121.6,109.1,102.4
312,"1130312","Vila Nova de Famalicão",1884.2,3173.7,2281,2727.1,2529,2677.5,2314.3,1928.6,2072.7,1847.4,1800.7,1708.7,1431.3,1292.6,1247.3,1385,1508.3,1407.5,955.8,1039.3,1039.3,981.6,981.6,1039.3,1039.3,981.6,924.3,981.6,1096.5,981.6,924.3
314,"1130314","Vizela",0,0,0,0,0,0,56.2,47.6,50.6,116.7,114.5,108.1,90.8,82.3,78.9,87.5,90.8,85.5,57.4,58.3,58.3,55,55,58.3,58.3,55,51.9,55,61.7,55,51.9
107,"1140107","Espinho",24,41.5,29.4,35,32.8,35,28.5,23.1,25.1,19.6,19.6,18.7,15.4,14.4,13.2,15.4,11.9,11,7.7,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
1304,"1141304","Gondomar",824.2,1388.6,998,1194,1106.9,1172.2,721.9,601.1,647.1,206.6,201.1,191.4,159.8,144.7,139.2,154.3,180.4,168.6,114.3,137,137,129.3,129.3,137,137,129.3,121.9,129.3,144.7,129.3,121.9
