"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",178.1,141,193.9,123.4,193.9,209.4,203.3,172.8,172.8,167,150,150,131.5,96.6,96.6,80,113.5,112.2,111.2,164.2,164.2,162.6,162.6,162.6,128.6,127.4,127.4,159.2,127.4,126,187
1602,"1111602","Caminha",391.8,313.3,427.1,273.2,427.1,462.4,276.5,228.6,228.6,21,17.1,17.1,17,13,13,8.4,25.1,24.9,24.7,53.1,53.1,52.5,52.5,52.5,40.3,39.7,39.7,51.4,39.7,39.3,62.3
1603,"1111603","Melgaço",369.9,290.8,401.5,255.6,401.5,432.2,354.3,293.7,293.7,205.3,184.2,184.2,160.9,117.3,117.3,100.5,113.5,112.2,111.2,131.4,131.4,129.9,129.9,129.9,104.5,103.5,103.5,127.4,103.5,102.4,148.1
1604,"1111604","Monção",245.2,193.9,264.4,167.5,264.4,287.9,164.2,138.3,138.3,0,0,0,0,0,0,0,33.5,33.2,32.9,90.4,90.4,89.5,89.5,89.5,72.4,71.6,71.6,87.6,71.6,70.8,101.3
1605,"1111605","Paredes de Coura",138.4,109.9,149.9,96.9,149.9,161.1,117,99.8,99.8,47.4,42.8,42.8,37.7,29.6,29.6,25.1,50.3,49.8,49.2,85.9,85.9,85,85,85,68.1,67.3,67.3,83.2,67.3,66.5,97
1606,"1111606","Ponte da Barca",293.8,233.2,321.3,202.7,321.3,348.9,245.9,203.3,203.3,89.5,81.6,81.6,71.7,54.1,54.1,46.4,54.1,53.7,53.1,65.7,65.7,65,65,65,52,51.4,51.4,63.6,51.4,50.8,74.3
1607,"1111607","Ponte de Lima",3351.4,2652.5,3648.5,2322.5,3648.5,3938.5,3425.2,2854.9,2854.9,2283,2052.1,2052.1,1808.3,1340.8,1340.8,1119.1,1106.1,1094.4,1083.7,1059.2,1059.2,1047.8,1047.8,1047.8,832.7,823.8,823.8,1026.3,823.8,814.8,1207.6
1608,"1111608","Valença",49.3,39.3,52.9,35.3,52.9,56.4,263.2,216,216,448.5,401.9,401.9,355.7,264.3,264.3,217.9,385.5,381.4,377.7,640.3,640.3,633.6,633.6,633.6,502.4,496.9,496.9,620.6,496.9,491.6,728.7
1609,"1111609","Viana do Castelo",1050.5,828.3,1141.5,726.7,1141.5,1234.7,889.9,743,743,363.1,324.9,324.9,287.9,214,214,175.9,163.7,162,160.5,139.5,139.5,138,138,138,108.9,107.7,107.7,135.2,107.7,106.5,159.6
1610,"1111610","Vila Nova de Cerveira",71.2,52.9,74.6,48.9,74.6,78.5,55.8,43.2,43.2,17.1,13.1,13.1,13.1,8.4,8.4,8.4,20.6,20.4,20.2,41,41,40.7,40.7,40.7,32.2,31.8,31.8,39.7,31.8,31.4,46.8
301,"1120301","Amares",827.9,652.2,898.8,572.8,898.8,972.9,1870,1559.1,1559.1,2573.7,2317.2,2317.2,2040.7,1516.7,1516.7,1260.8,1529,1512.8,1498.1,1913,1913,1892.6,1892.6,1892.6,1499.7,1483.6,1483.6,1853.8,1483.6,1467.4,2181.5
302,"1120302","Barcelos",929.9,736.2,1013.3,643.3,1013.3,1095,937.1,781.5,781.5,607,547.1,547.1,482.7,360.2,360.2,297.8,238.5,236,233.8,139.5,139.5,138,138,138,108.9,107.7,107.7,135.2,107.7,106.5,159.6
303,"1120303","Braga",975.1,771.4,1061.7,673.8,1061.7,1147.4,1088.7,907.2,907.2,846.4,761,761,668.9,494.4,494.4,415.1,331.3,327.8,324.7,193.3,193.3,191.2,191.2,191.2,152.8,151.2,151.2,187.3,151.2,149.6,218.1
306,"1120306","Esposende",489.7,387.8,532.8,339,532.8,575.7,470.6,393.4,393.4,277.6,248,248,220.3,163.7,163.7,134.1,104.4,103.3,102.3,57.5,57.5,56.8,56.8,56.8,44.6,44,44,55.7,44,43.6,65.9
310,"1120310","Terras de Bouro",605.3,475.9,656.1,418.9,656.1,711.2,687.1,574.1,574.1,551.1,495.9,495.9,436.4,322.3,322.3,268.2,226.2,223.8,221.7,147.8,147.8,146.3,146.3,146.3,116.3,115.1,115.1,143.2,115.1,113.8,167.8
313,"1120313","Vila Verde",2510.4,1987.6,2731.9,1740.7,2731.9,2948.2,3568,2971.8,2971.8,3672.6,3304.4,3304.4,2909,2158.1,2158.1,1797.1,1696.5,1678.7,1662.3,1502.6,1502.6,1486.5,1486.5,1486.5,1177.9,1165.2,1165.2,1456,1165.2,1152.6,1713.9
307,"1130307","Fafe",382.8,299.6,414.3,264.4,414.3,449.5,418.7,349.6,349.6,321.1,290.7,290.7,254.1,188.2,188.2,159.2,209.6,207.3,205.3,291.9,291.9,288.7,288.7,288.7,228.9,226.5,226.5,282.7,226.5,224,330.8
308,"1130308","Guimarães",1424.4,1128,1551,987.1,1551,1674.7,1551.2,1295.9,1295.9,1158.9,1043.2,1043.2,918.4,683.2,683.2,569.8,486,481,476.2,344.7,344.7,341.3,341.3,341.3,269.7,266.8,266.8,334.2,266.8,264,393.2
309,"1130309","Póvoa de Lanhoso",1362,1079.2,1484.7,942.9,1484.7,1604.9,1045.4,872.5,872.5,248,222.3,222.3,194.8,142.4,142.4,121.2,276.5,273.7,271,517.3,517.3,511.8,511.8,511.8,405.9,401.6,401.6,501.2,401.6,397.2,588.4
