"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",-3960.3,-6520.8,-4629.6,-5475.6,-5021.9,-5182.6,-7258.5,-5973.9,-6336.2,-8932.2,-8593.7,-8048.7,-6656.7,-5849.8,-5569.5,-6108,-7225.8,-6556.7,-4382.7,-5342.4,-5262.6,-4821.1,-4745.8,-4943.7,-4863.9,-4444.5,-4113.5,-4293.8,-4712,-4067.7,-3758.8
1602,"1111602","Caminha",-551.4,-907.1,-642.4,-754.8,-698.8,-717.3,-1520.3,-1253.5,-1338.6,-2263,-2180.6,-2036.1,-1685.1,-1477.7,-1407.5,-1546.9,-1153.8,-1045.3,-693,-267.5,-263.6,-238,-234.2,-247.6,-243.6,-219.3,-199.7,-212,-231.4,-200.8,-182.5
1603,"1111603","Melgaço",-1040.2,-1716.1,-1224.1,-1449.8,-1326.5,-1376.7,-1120.2,-926,-981.6,-805.1,-773.4,-721,-596.6,-530,-502.7,-545.4,-528,-484.7,-318.3,-295.3,-290.8,-264.5,-260.3,-273.3,-268.8,-243.7,-223.7,-235.5,-262.2,-223.1,-204.4
1604,"1111604","Monção",-2656.9,-4363.4,-3102.6,-3666.4,-3363.7,-3470.6,-2194.7,-1806.9,-1918.7,-729,-698.2,-657.5,-544.3,-479,-452.3,-495.8,-938.7,-855.2,-571.3,-996.5,-981.7,-899,-884.9,-922.2,-907.2,-828.8,-766.8,-800.6,-879.1,-758.5,-700.7
1605,"1111605","Paredes de Coura",-864.7,-1421.8,-1005.9,-1186.2,-1089.7,-1122.2,-1543.2,-1276.1,-1349.8,-1882.2,-1815.4,-1696.7,-1402.5,-1233.2,-1176.2,-1289,-1848,-1672.5,-1123.8,-1642.4,-1617.9,-1480.6,-1457.5,-1519.8,-1495.3,-1364.9,-1262,-1318.7,-1449.9,-1249.3,-1153.3
1606,"1111606","Ponte da Barca",-1441.3,-2365.5,-1684.6,-1988.9,-1824,-1885.6,-2069,-1705.3,-1807.2,-2121.6,-2041,-1908.8,-1580.4,-1385.9,-1327,-1447.7,-1632.9,-1482.4,-992.7,-1134.9,-1118,-1022.3,-1006.5,-1050.3,-1033.3,-942.5,-870.6,-910.6,-1002.6,-862.6,-795.6
1607,"1111607","Ponte de Lima",-4674.7,-7709.7,-5477.9,-6470.1,-5933.9,-6142.8,-8253,-6798.4,-7217.5,-9922.4,-9560.4,-8950,-7399.9,-6512.1,-6192.9,-6782.3,-5944.9,-5397.4,-3605.3,-2602,-2563.1,-2344.4,-2307.8,-2407.8,-2368.9,-2161.2,-1996.9,-2087.9,-2290.4,-1978,-1824.6
1608,"1111608","Valença",-526.4,-870.2,-618.1,-730.8,-663.3,-694.1,-1337.4,-1095.5,-1160.1,-1914.8,-1837,-1717.9,-1423.4,-1253.5,-1186.3,-1308.9,-1153.8,-1045.3,-702.4,-516.6,-509,-467.2,-459.9,-478.1,-470.4,-430.7,-399.3,-416,-455,-394.2,-365
1609,"1111609","Viana do Castelo",-10552.4,-17380.6,-12349.6,-14593.7,-13383.6,-13835.8,-15454.3,-12727.2,-13509.1,-16145.6,-15543.7,-14559.7,-12036.6,-10588.6,-10073.5,-11036.2,-10394,-9426.6,-6302.5,-5379.4,-5299,-4856.5,-4780.5,-4978,-4897.6,-4477,-4137.5,-4325.3,-4750.6,-4097.6,-3780.8
1610,"1111610","Vila Nova de Cerveira",-1228.2,-2010.2,-1430,-1689.4,-1551.6,-1596.5,-1371.6,-1129.2,-1204.7,-1055.4,-1009.7,-954.4,-785,-693,-653.5,-723.8,-567.2,-513.1,-337.1,-166,-163.6,-149.9,-147.5,-153.6,-151.2,-138.2,-127.8,-133.5,-146.6,-126.4,-116.7
301,"1120301","Amares",-2281,-3750.6,-2666.3,-3151.2,-2889.9,-2984.7,-1634.5,-1343.8,-1427.9,-130.6,-118.1,-116.6,-94.2,-81.5,-80.4,-89.2,-185.8,-171,-112.4,-203,-199.9,-185.1,-182.3,-187.8,-184.8,-170.7,-159.8,-164.9,-185.1,-156.2,-146
302,"1120302","Barcelos",-40918.7,-67389.3,-47895.6,-56613,-51899.9,-53665.9,-65029.1,-53539.9,-56847.1,-72644.3,-69930.8,-65492.3,-54154.1,-47633.4,-45310.7,-49647.8,-51402.6,-46619.2,-31175.3,-31621.1,-31149,-28521.6,-28076,-29261,-28789,-26293.1,-24329.9,-25401.8,-27894.4,-24064.7,-22232.2
303,"1120303","Braga",-9136.3,-15039.4,-10689.3,-12628.6,-11583.3,-11973.3,-15054.2,-12388.4,-13152.1,-17266.2,-16628.7,-15567.1,-12873.9,-11322.3,-10767.2,-11799.7,-10276.6,-9321.9,-6227.6,-4401.3,-4335.6,-3975,-3912.9,-4072.8,-4007.1,-3664.4,-3386.6,-3540.2,-3886.9,-3353.9,-3094.7
306,"1120306","Esposende",-8334.2,-13727.9,-9756,-11526.3,-10564.7,-10932.2,-11887.8,-9779.7,-10396.7,-12120.1,-11665.8,-10922.5,-9032.6,-7949,-7560.2,-8279.6,-9533.5,-8647.3,-5787.3,-6809.6,-6708,-6143.3,-6047.3,-6301.3,-6199.7,-5663.3,-5239.8,-5471.3,-6007.7,-5183.3,-4788.1
310,"1120310","Terras de Bouro",-1879.8,-3088.8,-2193.6,-2588,-2380.6,-2452.5,-1394.6,-1140.6,-1216,-195.8,-193.3,-180.3,-146.5,-132.5,-120.7,-138.8,-322.7,-294.5,-196.7,-378.3,-372.7,-343.7,-338.3,-350,-344.5,-316.9,-295.5,-306.1,-339.4,-290,-270
313,"1120313","Vila Verde",-6892.8,-11362.3,-8071.5,-9537.3,-8740.8,-9046.5,-7807.2,-6425.8,-6827,-6038.3,-5811.4,-5440,-4500.7,-3954.2,-3760,-4125,-4341.4,-3934.1,-2631.5,-2731.2,-2690.4,-2467.8,-2429.3,-2527.3,-2486.6,-2275,-2108.6,-2197.9,-2413.9,-2082.1,-1926.9
307,"1130307","Fafe",-11805.6,-19452,-13828.1,-16342.9,-14982.5,-15490.2,-8927.4,-7351.8,-7808.6,-1566.7,-1514.6,-1421,-1172.2,-1029.4,-985.2,-1070.9,-1456.9,-1320.8,-889.6,-1236.3,-1218,-1119.3,-1101.8,-1144.1,-1125.6,-1031.8,-958.4,-996.9,-1095.1,-944.5,-875.8
308,"1130308","Guimarães",-10477.3,-17257.9,-12264.8,-14497.8,-13288.8,-13743.3,-11499.3,-9463.5,-10050.8,-8453.6,-8131.7,-7624.5,-6300.9,-5544.1,-5267.9,-5780.9,-4830.4,-4380.6,-2931.2,-1845.4,-1817.8,-1665.8,-1639.8,-1707.6,-1680.1,-1535.6,-1421.8,-1483.6,-1627.3,-1405.5,-1299.2
309,"1130309","Póvoa de Lanhoso",-4048.1,-6667.9,-4738.6,-5607.4,-5140.3,-5309.9,-2926.3,-2405.4,-2554.6,-261.1,-257.8,-243.9,-198.9,-173.4,-160.9,-178.5,-508.5,-465.6,-309.1,-636.7,-627.2,-573,-564,-589.1,-579.7,-528.1,-487.3,-510.2,-563,-483.4,-445.2
1314,"1131314","Santo Tirso",-16843.7,-27750,-19718.1,-23304.2,-21366.4,-22095.7,-16334.4,-13449.9,-14278.7,-9334.8,-8991,-8419.8,-6960.3,-6124.9,-5820.8,-6385.7,-7049.9,-6395.1,-4279.7,-4779.6,-4708.2,-4310,-4242.6,-4422.8,-4351.5,-3973.2,-3674.3,-3838.6,-4210.8,-3636.4,-3357.5
1318,"1131318","Trofa",0,0,0,0,0,0,-3532.1,-2902.3,-3078.9,-6952.2,-6692.2,-6267.2,-5180.9,-4555.4,-4333,-4749.7,-4253.3,-3858,-2584.7,-1965.4,-1936.1,-1771.5,-1743.9,-1818.7,-1789.4,-1633.1,-1509.6,-1577.8,-1735.2,-1494.8,-1379.4
311,"1130311","Vieira do Minho",-4912.7,-8101.8,-5756.7,-6805.5,-6241.7,-6455.2,-3749.2,-3094.2,-3279.7,-729,-698.2,-657.5,-544.3,-479,-452.3,-495.8,-938.7,-855.2,-571.3,-996.5,-981.7,-899,-884.9,-922.2,-907.2,-828.8,-766.8,-800.6,-879.1,-758.5,-700.7
312,"1130312","Vila Nova de Famalicão",-21794,-35901,-25511.2,-30157.7,-27643.6,-28585.6,-24415.9,-20101.5,-21339.9,-18550,-17853.3,-16723,-13826.4,-12157.9,-11571.5,-12672.2,-13610.9,-12343.7,-8259.7,-8848.7,-8716.6,-7985.3,-7860.5,-8188.2,-8056.2,-7361.5,-6813.3,-7111.9,-7804.5,-6737.5,-6225.9
314,"1130314","Vizela",0,0,0,0,0,0,-594.4,-496.9,-524.3,-1175,-1138.7,-1060.4,-879.2,-774.5,-733.9,-803.3,-821.3,-750.7,-496.3,-498.3,-490.8,-449.5,-442.5,-461.1,-453.6,-414.4,-383.4,-400.4,-439.6,-379.3,-350.3
107,"1140107","Espinho",-275.7,-465.7,-327.2,-383.4,-355.3,-370.2,-297.2,-237.2,-256.5,-195.8,-193.3,-180.3,-146.5,-132.5,-120.7,-138.8,-107.5,-95,-65.5,-36.8,-36.3,-35.3,-34.6,-34.1,-33.6,-32.5,-31.9,-31.4,-30.8,-29.7,-29.1
