"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",-5467.2,-6117.1,-6270.2,-6247.4,-6346.7,-6232,-6092.6,-6242.1,-6055,-5799.1,-5543.7,-5726.1,-5653.2,-5689.6,-5325,-5288.5,-5570.1,-6338.4,-6376.6,-6828,-6300.1,-5852.9,-5487,-5730.9,-5039.7,-4959,-4674.5,-4065.4,-3210.7,-2804.8,-2398.2
1602,"1111602","Caminha",-1375.2,-1539,-1577.3,-1571.5,-1596.4,-1567.7,-1447.5,-1482.8,-1438.5,-1287.9,-1231.7,-1271.8,-1255.6,-1264,-1182.6,-1174.9,-1277.1,-1452.9,-1461.9,-1615.5,-1490.5,-1384.8,-1298,-1356,-1192.3,-1173.1,-1105.5,-961.6,-759.4,-663.6,-567.4
1603,"1111603","Melgaço",-4785.6,-5354.2,-5488.2,-5468.2,-5555.1,-5454.7,-5119.8,-5245.4,-5088.7,-4648.7,-4444.2,-4590.1,-4532.1,-4560.8,-4268.5,-4239.2,-3858.3,-4390.4,-4417.3,-3963.5,-3656.8,-3397.3,-3185.1,-3326.7,-2925.6,-2878.3,-2713.3,-2360.2,-1863.7,-1628.1,-1391.9
1604,"1111604","Monção",-8661.8,-9692.1,-9934.2,-9897.8,-10054.9,-9873.2,-9918.7,-10162,-9857.7,-9721.9,-9293.8,-9599.9,-9477.4,-9538.4,-8927.3,-8865.7,-8307.3,-9453.4,-9510.3,-8881.9,-8194.9,-7613.1,-7137.1,-7454.6,-6556,-6450.2,-6080.1,-5288.2,-4177,-3647.8,-3119.3
1605,"1111605","Paredes de Coura",-2886.7,-3229.9,-3311.2,-3298.7,-3351.3,-3290.9,-4380.8,-4488.5,-4354,-5397.9,-5160,-5329.7,-5262.2,-5295.6,-4956.6,-4922.6,-4790.5,-5451.1,-5484,-5374.6,-4958.5,-4606.8,-4318.7,-4510.6,-3967.1,-3903.1,-3678.9,-3199.9,-2527.3,-2207.4,-1887.5
1606,"1111606","Ponte da Barca",-1436.2,-1606.5,-1646.7,-1640.8,-1666.9,-1637,-1388.4,-1422.4,-1379.9,-1097.8,-1049.9,-1084,-1070.3,-1077.4,-1008,-1001.5,-951.9,-1082.8,-1089.4,-1036.8,-956,-888.5,-832.9,-869.9,-765.3,-752.8,-709.8,-616.9,-487.3,-425.7,-364.1
1607,"1111607","Ponte de Lima",-2432.3,-2721.1,-2789.2,-2779.4,-2823.3,-2772.5,-3440.3,-3524.7,-3419.4,-4045.4,-3867.2,-3994,-3943.2,-3968.8,-3714.2,-3689.1,-4262.5,-4850.8,-4880.1,-5701.6,-5260.4,-4887.2,-4581.7,-4785.6,-4208.7,-4140.5,-3903.1,-3394.6,-2681,-2342,-2002.4
1608,"1111608","Valença",-3875.1,-4335.4,-4443.6,-4427.8,-4498.1,-4416.7,-3933.1,-4029.8,-3909.1,-3338.1,-3191.1,-3296.3,-3253.8,-3275.3,-3064.8,-3043.9,-2742.6,-3120.4,-3139.6,-2776.1,-2561.4,-2379.7,-2230.8,-2330,-2049,-2016.2,-1900.2,-1652.7,-1305.3,-1140.2,-975.2
1609,"1111609","Viana do Castelo",-1708.3,-1911.5,-1958.8,-1951.6,-1982.7,-1946.8,-1869,-1915,-1857.7,-1743.5,-1666.4,-1721.4,-1699.3,-1710,-1600.6,-1589.8,-1741.7,-1981.4,-1993.4,-2219.4,-2047.8,-1902.5,-1783.5,-1863,-1638.3,-1611.9,-1519.3,-1321.6,-1043.9,-911.8,-779.6
1610,"1111610","Vila Nova de Cerveira",-1051.1,-1176.1,-1205.4,-1200.7,-1219.8,-1198.2,-1269.9,-1301,-1262.2,-1312.4,-1255,-1296.3,-1279.5,-1287.9,-1205.4,-1197,-1213.1,-1379.9,-1388.4,-1426.6,-1316,-1222.8,-1146.2,-1197,-1052.9,-1035.5,-976.4,-849.1,-670.9,-585.9,-501
301,"1120301","Amares",-693.5,-776,-795.8,-792.8,-805.4,-790.4,-739,-756.9,-734.3,-667.3,-638,-658.9,-650.5,-654.8,-612.9,-608.6,-792.8,-902.3,-907.6,-1163.5,-1073.9,-997.3,-935.1,-977,-859.2,-844.9,-796.4,-692.8,-547.1,-477.8,-409
302,"1120302","Barcelos",-770.8,-862.8,-884.3,-881.1,-895,-878.9,-1032.6,-1057.7,-1026,-1165.9,-1114.5,-1151.5,-1136.6,-1143.8,-1070.9,-1063,-1354.9,-1541.4,-1550.9,-1956.9,-1805.7,-1677.1,-1572.5,-1642.4,-1444.5,-1421.2,-1339.3,-1165.3,-920.1,-803.6,-687
303,"1120303","Braga",-409,-457.4,-468.8,-467.3,-474.8,-466.4,-858.6,-879.5,-853.3,-1241.9,-1187.4,-1226.3,-1210.8,-1218.5,-1140.8,-1132.4,-1201.8,-1367.4,-1375.8,-1484.6,-1369.8,-1272.4,-1192.8,-1246,-1095.4,-1078,-1016.4,-884,-698.4,-609.9,-521.4
306,"1120306","Esposende",-184.8,-206.9,-211.6,-210.8,-214,-210.5,-226.6,-232,-224.9,-237.4,-227.2,-234.4,-231.4,-233.1,-218.3,-216.5,-248.7,-282.8,-284.6,-331.3,-305.5,-284,-266.1,-278,-244.5,-240.4,-226.6,-197.2,-155.5,-135.7,-116
310,"1120310","Terras de Bouro",-2022.2,-2262.4,-2319.3,-2310.4,-2347.4,-2304.9,-1651.4,-1692,-1641.3,-936.3,-895.6,-925,-913,-919,-859.8,-854.4,-631.4,-718.6,-722.9,-435.3,-401.8,-373.1,-349.8,-365.4,-321.1,-316.3,-297.8,-259.4,-204.5,-178.8,-153.1
313,"1120313","Vila Verde",-2222.4,-2486.7,-2548.9,-2539.6,-2579.9,-2533.3,-2915.4,-2987.2,-2898.1,-3238.8,-3095.9,-3197.6,-3156.9,-3177.3,-2973.9,-2953.7,-3516.3,-4001.2,-4025.7,-4823.3,-4449.6,-4133.9,-3875.6,-4047.8,-3559.9,-3502.6,-3301.6,-2871.8,-2267.8,-1980.9,-1693.9
