"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,2600,6513,4771,4771,5642,5200,6942,6942,8242,9113,5564,7527,7202,5421,5421,5668,5174,5668,6162,6409,5668,5915,5915,5668,6656
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,455,442,780,780,806,741,806,884,923,806,845,845,806,949
1603,"1111603","Melgaço",0,0,0,0,0,0,1313,3289,2418,2418,2847,2626,3510,3510,4173,4602,2093,2834,2704,1092,1092,1144,1040,1144,1235,1287,1144,1183,1183,1144,1339
1604,"1111604","Monção",0,0,0,0,0,0,3978,9932,7280,7280,8606,7943,10595,10595,12584,13910,5590,7553,7228,1638,1638,1703,1560,1703,1859,1937,1703,1781,1781,1703,2002
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,741,1859,1365,1365,1612,1495,1989,1989,2366,2613,1612,2184,2080,1599,1599,1664,1521,1664,1807,1885,1664,1742,1742,1664,1950
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,507,1274,936,936,1105,1027,1365,1365,1625,1794,767,1040,1001,325,325,338,312,338,377,390,338,351,351,338,403
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,819,2054,1508,1508,1781,1651,2197,2197,2613,2886,4290,5798,5551,7475,7475,7813,7137,7813,8502,8840,7813,8164,8164,7813,9178
1608,"1111608","Valença",0,0,0,0,0,0,182,468,338,338,403,364,494,494,585,650,338,455,442,260,260,273,247,273,299,312,273,286,286,273,312
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,858,2132,1560,1560,1846,1703,2275,2275,2704,2990,2860,3874,3705,4160,4160,4342,3965,4342,4719,4914,4342,4537,4537,4342,5096
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,416,1053,767,767,910,832,1118,1118,1326,1469,1131,1534,1469,1417,1417,1482,1352,1482,1612,1677,1482,1547,1547,1482,1742
301,"1120301","Amares",0,0,0,0,0,0,1781,4446,3263,3263,3861,3562,4745,4745,5629,6227,3861,5226,4992,3822,3822,4004,3653,4004,4342,4524,4004,4173,4173,4004,4693
