"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",5526.3,6697.6,6936.8,5577,7012.2,4826.2,4663.1,4800.2,4399.2,7360.6,6591,6760,3970.8,3130.4,3203.2,2164.5,3169.4,6645.6,5096,6760,6895.2,7165.6,9722.7,12369.5,12594.4,13044.2,10622.9,10803,10983,11163.1,11523.2
1602,"1111602","Caminha",321.1,382.2,395.8,312,403,278.9,331.5,341.2,327.6,790.4,709.8,728,426.4,335.4,343.2,234,239.2,499.2,382.2,422.5,430.9,447.9,596.7,750.8,764.4,791.7,651.9,663,674,685.1,707.2
1603,"1111603","Melgaço",1115.4,1346.8,1394.9,1131,1410.5,965.2,817.7,841.8,772.2,839.8,760.5,780,453,363.4,371.8,234,269.1,561.6,414.1,455,464.1,482.3,631.8,786.5,800.8,829.4,690.3,702,713.7,725.4,748.8
1604,"1111604","Monção",2991.3,3621.8,3751.1,3022.5,3788.2,2616.9,2121.6,2184,2012.4,1827.8,1647.8,1690,986,782.6,800.8,526.5,478.4,998.4,764.4,650,663,689,912.6,1144,1164.8,1206.4,997.1,1014,1030.9,1047.8,1081.6
1605,"1111605","Paredes de Coura",473.2,564.2,584.3,468,584.4,407.6,397.8,409.5,374.4,691.6,608.4,624,373.1,279.5,286,204.8,418.6,873.6,668.9,1040,1060.8,1102.4,1474.2,1859,1892.8,1960.4,1610.7,1638,1665.3,1692.6,1747.2
1606,"1111606","Ponte da Barca",1656.2,2002,2073.5,1677,2095.6,1437.2,1127.1,1160.2,1053,691.6,608.4,624,373.1,279.5,286,204.8,299,592.8,445.9,585,596.7,620.1,842.4,1072.5,1092,1131,920.4,936,951.6,967.2,998.4
1607,"1111607","Ponte de Lima",1994.2,2420.6,2507,2008.5,2538.9,1737.5,2033.2,2093,1895.4,4495.4,4030.7,4134,2425.1,1900.6,1944.8,1345.5,1465.1,3057.6,2356.9,2567.5,2618.8,2721.6,3685.5,4683.2,4768.4,4938.7,4026.8,4095,4163.2,4231.5,4368
1608,"1111608","Valença",625.3,764.4,791.7,643.5,806,557.7,464.1,477.7,421.2,444.6,405.6,416,239.8,195.7,200.2,117,269.1,561.6,414.1,650,663,689,912.6,1144,1164.8,1206.4,997.1,1014,1030.9,1047.8,1081.6
1609,"1111609","Viana do Castelo",6438.9,7807.8,8086.6,6513,8160.8,5619.9,6099.6,6279,5733,12103,10849.8,11128,6529.2,5142.8,5262.4,3568.5,3438.5,7144.8,5478.2,5200,5304,5512,7511.4,9545.2,9718.8,10065.9,8206.9,8346,8485.1,8624.2,8902.4
1610,"1111610","Vila Nova de Cerveira",202.8,236.6,245,195,241.8,171.6,176.8,182,163.8,296.4,253.5,260,159.9,111.8,114.4,87.8,89.7,187.2,127.4,130,132.6,137.8,175.5,214.5,218.4,226.2,191.8,195,198.2,201.5,208
301,"1120301","Amares",1554.8,1892.8,1960.4,1579.5,1974.7,1372.8,1082.9,1114.8,1029.6,790.4,709.8,728,426.4,335.4,343.2,234,239.2,499.2,382.2,422.5,430.9,447.9,596.7,750.8,764.4,791.7,651.9,663,674,685.1,707.2
302,"1120302","Barcelos",7926.1,9609.6,9952.8,8014.5,10054.9,6928.4,6917.3,7120.8,6505.2,11707.8,10494.9,10764,6316,4975.1,5090.8,3451.5,5471.7,11388,8726.9,12025,12265.5,12746.5,17339.4,22057.8,22458.8,23260.9,18944.9,19266,19587.1,19908.2,20550.4
303,"1120303","Braga",4748.9,5751.2,5956.6,4797,6004.7,4139.9,3469.7,3571.8,3276,3359.2,3016.7,3094,1812.2,1425.5,1458.6,994.5,1794,3775.2,2898.3,4225,4309.5,4478.5,6107.4,7757.8,7898.8,8180.9,6672.9,6786,6899.1,7012.2,7238.4
306,"1120306","Esposende",1622.4,1965.6,2035.8,1638,2055.3,1415.7,1392.3,1433.2,1310.4,2272.4,2028,2080,1225.9,950.3,972.4,672.8,1106.3,2308.8,1783.6,2502.5,2552.6,2652.7,3615.3,4611.8,4695.6,4863.3,3950,4017,4083.9,4150.9,4284.8
310,"1120310","Terras de Bouro",1301.3,1583.4,1639.9,1326,1652.3,1136.9,1171.3,1205.8,1099.8,2124.2,1901.2,1950,1145.9,894.4,915.2,643.5,478.4,998.4,764.4,520,530.4,551.2,737.1,929.5,946.4,980.2,805.3,819,832.6,846.3,873.6
313,"1120313","Vila Verde",3295.5,3985.8,4128.1,3315,4171.1,2874.3,2850.9,2934.8,2691,4791.8,4309.5,4420,2585,2040.3,2087.8,1404,1106.3,2308.8,1751.8,1235,1259.7,1309.1,1755,2216.5,2256.8,2337.4,1917.5,1950,1982.5,2015,2080
307,"1130307","Fafe",2957.5,3585.4,3713.4,2983.5,3747.9,2574,2276.3,2343.2,2152.8,2717,2433.6,2496,1465.8,1146,1172.6,819,538.2,1123.2,859.9,455,464.1,482.3,631.8,786.5,800.8,829.4,690.3,702,713.7,725.4,748.8
308,"1130308","Guimarães",15412.8,18673.2,19340.1,15561,19525.3,13449.2,10851.1,11170.2,10225.8,8645,7757.1,7956,4663.8,3661.4,3746.6,2544.8,2631.2,5522.4,4236.1,4355,4442.1,4616.3,6282.9,8008,8153.6,8444.8,6864.6,6981,7097.3,7213.7,7446.4
309,"1130309","Póvoa de Lanhoso",2247.7,2730,2827.5,2281.5,2861.3,1973.4,1436.5,1478.8,1333.8,395.2,354.9,364,213.2,167.7,171.6,117,239.2,499.2,382.2,552.5,563.5,585.6,807.3,1036.8,1055.6,1093.3,882,897,911.9,926.9,956.8
1314,"1131314","Santo Tirso",9497.8,11502.4,11913.2,9594,12029.5,8279.7,6674.2,6870.5,6271.2,5236.4,4689.8,4810,2824.9,2208.1,2259.4,1550.2,1196,2464.8,1879.1,1267.5,1292.8,1343.5,1825.2,2323.8,2366,2450.5,1994.2,2028,2061.8,2095.6,2163.2
1318,"1131318","Trofa",0,0,0,0,0,0,198.9,204.8,187.2,1086.8,963.3,988,586.3,447.2,457.6,321.8,508.3,1060.8,828.1,1137.5,1160.2,1205.8,1649.7,2109.2,2147.6,2224.3,1802.4,1833,1863.5,1894.1,1955.2
311,"1130311","Vieira do Minho",8534.5,10337.6,10706.8,8619,10800.4,7443.2,5635.5,5801.2,5311.8,2766.4,2484.3,2548,1492.4,1173.9,1201.2,819,867.1,1809.6,1369.5,1430,1458.6,1515.8,2070.9,2645.5,2693.6,2789.8,2262.7,2301,2339.3,2377.7,2454.4
312,"1130312","Vila Nova de Famalicão",8162.7,9882.6,10235.5,8229,10337,7121.4,6099.6,6279,5756.4,6570.2,5881.2,6032,3544.4,2795,2860,1930.5,3617.9,7519.2,5764.8,8515,8685.3,9025.9,12285,15622.8,15906.8,16474.9,13422.5,13650,13877.5,14105,14560
314,"1130314","Vizela",0,0,0,0,0,0,508.3,523.2,491.4,2815.8,2535,2600,1519,1201.8,1229.8,819,508.3,1060.8,828.1,292.5,298.4,310.1,421.2,536.2,546,565.5,460.2,468,475.8,483.6,499.2
107,"1140107","Espinho",642.2,782.6,810.5,643.5,826.1,557.7,397.8,409.5,374.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",6269.9,7589.4,7860.4,6318,7939.1,5469.8,4066.4,4186,3837.6,1630.2,1470.3,1508,879.4,698.8,715,468,299,655.2,509.6,227.5,232.1,241.2,315.9,393.3,400.4,414.7,345.1,351,356.8,362.7,374.4
1306,"1141306","Maia",3853.2,4677.4,4844.4,3900,4896.4,3367.7,3027.7,3116.8,2854.8,3853.2,3447.6,3536,2078.7,1621.1,1658.8,1140.8,1106.3,2308.8,1783.6,1690,1723.8,1791.4,2457,3146,3203.2,3317.6,2684.5,2730,2775.5,2821,2912
