"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",5.4,8.6,11.8,7.5,11.8,19.4,19,16.2,16.2,21,18.9,18.9,16.7,15.5,15.5,12.8,18.2,21.9,21.9,32.3,32.3,37.7,37.7,37.7,30.2,34.5,34.5,43.1,34.5,34.5,58.2
1602,"1111602","Caminha",11.8,19.1,26.1,16.7,26.1,42.9,25.9,21.4,21.4,2.7,2.1,2.1,2.1,2,2,1.3,4.1,4.8,4.8,10.5,10.5,12.2,12.2,12.2,9.5,10.8,10.8,14,10.8,10.8,19.4
1603,"1111603","Melgaço",11.2,17.8,24.5,15.6,24.5,40,33.1,27.5,27.5,25.9,23.2,23.2,20.5,18.9,18.9,16.2,18.2,21.9,21.9,25.9,25.9,30.2,30.2,30.2,24.5,28,28,34.5,28,28,46
1604,"1111604","Monção",7.4,11.8,16.2,10.2,16.2,26.7,15.3,12.9,12.9,0,0,0,0,0,0,0,5.4,6.5,6.5,17.8,17.8,20.7,20.7,20.7,17,19.4,19.4,23.7,19.4,19.4,31.5
1605,"1111605","Paredes de Coura",4.2,6.7,9.2,6,9.2,14.9,10.9,9.3,9.3,6,5.4,5.4,4.8,4.7,4.7,4.1,8.1,9.7,9.7,17,17,19.8,19.8,19.8,16,18.3,18.3,22.6,18.3,18.3,30.3
1606,"1111606","Ponte da Barca",8.9,14.3,19.7,12.4,19.7,32.3,23,19,19,11.3,10.3,10.3,9.2,8.7,8.7,7.4,8.7,10.5,10.5,12.9,12.9,15.1,15.1,15.1,12.2,14,14,17.2,14,14,23.1
1607,"1111607","Ponte de Lima",101.4,162.2,223,142,223,364.9,320.4,267.1,267.1,287.7,258.6,258.6,230.1,215.5,215.5,179.8,177.8,213.4,213.4,208.5,208.5,243.3,243.3,243.3,195.2,223.1,223.1,278,223.1,223.1,375.8
1608,"1111608","Valença",1.5,2.4,3.3,2.1,3.3,5.2,24.7,20.2,20.2,56.6,50.6,50.6,45.2,42.4,42.4,35,62,74.4,74.4,126.1,126.1,147.1,147.1,147.1,117.8,134.7,134.7,168.1,134.7,134.7,226.7
1609,"1111609","Viana do Castelo",31.8,50.6,69.8,44.4,69.8,114.4,83.3,69.5,69.5,45.8,41,41,36.6,34.4,34.4,28.3,26.3,31.5,31.5,27.5,27.5,32.1,32.1,32.1,25.5,29.1,29.1,36.6,29.1,29.1,49.7
1610,"1111610","Vila Nova de Cerveira",2.1,3.3,4.6,2.9,4.6,7.3,5.2,4.1,4.1,2.1,1.6,1.6,1.6,1.3,1.3,1.3,3.4,4,4,8.1,8.1,9.5,9.5,9.5,7.5,8.6,8.6,10.8,8.6,8.6,14.5
301,"1120301","Amares",25.1,39.8,54.9,35,54.9,90.1,175,145.9,145.9,324.3,292,292,259.7,243.8,243.8,202.7,245.8,295,295,376.6,376.6,439.4,439.4,439.4,351.7,401.9,401.9,502.2,401.9,401.9,678.9
302,"1120302","Barcelos",28.2,45,62,39.3,62,101.5,87.7,73.1,73.1,76.5,69,69,61.4,57.9,57.9,47.8,38.4,46,46,27.5,27.5,32.1,32.1,32.1,25.5,29.1,29.1,36.6,29.1,29.1,49.7
303,"1120303","Braga",29.5,47.2,64.9,41.2,64.9,106.3,101.8,84.8,84.8,106.7,95.9,95.9,85.1,79.5,79.5,66.7,53.2,63.8,63.8,38,38,44.3,44.3,44.3,35.8,41,41,50.7,41,41,67.9
306,"1120306","Esposende",14.8,23.7,32.6,20.7,32.6,53.3,44,36.8,36.8,35,31.3,31.3,28,26.3,26.3,21.6,16.8,20.2,20.2,11.3,11.3,13.2,13.2,13.2,10.4,11.9,11.9,15.1,11.9,11.9,20.6
310,"1120310","Terras de Bouro",18.3,29.1,40.2,25.6,40.2,65.9,64.2,53.7,53.7,69.5,62.5,62.5,55.5,51.8,51.8,43.1,36.4,43.7,43.7,29.1,29.1,34,34,34,27.3,31.2,31.2,38.8,31.2,31.2,52.2
313,"1120313","Vila Verde",76,121.5,167,106.4,167,273.2,333.8,278,278,462.9,416.5,416.5,370.1,346.9,346.9,288.9,272.8,327.3,327.3,295.8,295.8,345.1,345.1,345.1,276.3,315.7,315.7,394.4,315.7,315.7,533.4
307,"1130307","Fafe",11.6,18.3,25.3,16.2,25.3,41.6,39.2,32.7,32.7,40.4,36.6,36.6,32.3,30.3,30.3,25.6,33.6,40.4,40.4,57.4,57.4,66.9,66.9,66.9,53.7,61.4,61.4,76.6,61.4,61.4,103
308,"1130308","Guimarães",43.1,69,94.9,60.3,94.9,155.2,145.1,121.2,121.2,146,131.4,131.4,116.9,109.8,109.8,91.6,78.1,93.7,93.7,67.9,67.9,79.2,79.2,79.2,63.2,72.2,72.2,90.5,72.2,72.2,122.4
309,"1130309","Póvoa de Lanhoso",41.2,66,90.8,57.6,90.8,148.7,97.8,81.6,81.6,31.3,28,28,24.8,22.9,22.9,19.5,44.5,53.3,53.3,101.8,101.8,118.8,118.8,118.8,95.2,108.8,108.8,135.8,108.8,108.8,183.1
1314,"1131314","Santo Tirso",39.4,63,86.8,55.2,86.8,141.9,109.9,91.3,91.3,72.7,65.7,65.7,58.2,54.5,54.5,45.8,49.2,59,59,65.5,65.5,76.3,76.3,76.3,61.2,70,70,87.3,70,70,117.6
1318,"1131318","Trofa",0,0,0,0,0,0,18.6,15.3,15.3,49.1,44.2,44.2,39.3,37.1,37.1,31,18.9,22.6,22.6,0.8,0.8,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,1.1,1.2
311,"1130311","Vieira do Minho",24,38.5,52.8,33.6,52.8,86.5,63.8,53.3,53.3,37.2,33.4,33.4,29.6,27.6,27.6,22.9,23.6,28.3,28.3,29.1,29.1,34,34,34,27.3,31.2,31.2,38.8,31.2,31.2,52.2
312,"1130312","Vila Nova de Famalicão",19.3,30.7,42.3,26.9,42.3,69.1,69.9,58.2,58.2,78.7,71.1,71.1,63,59.3,59.3,49.2,243.8,292.6,292.6,666,666,776.9,776.9,776.9,621.4,710.1,710.1,888,710.1,710.1,1197.8
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,1.1,1.2
