"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",426.1,458.9,432.2,491.7,692.2,687.9,536.7,552.5,526.7,418,429,440,451,435.2,781.7,646,647.7,739.2,722.3,594,605.9,629.6,671.2,807.7,760.8,787.9,765.8,778.8,587.1,525.1,542.1
1602,"1111602","Caminha",5.7,6.2,5.7,6.6,9.2,9.1,12.3,12.7,11.9,15,15.4,15.8,16.2,15.6,28.1,23.3,26.3,29.6,29.1,26.4,26.9,28,29.7,35.7,33.3,34.5,33.7,34.3,26.2,23.2,23.9
1603,"1111603","Melgaço",331.8,357.3,336.5,382.8,538.8,535.4,239.4,246.4,235.6,0,0,0,0,0,0,0,22.8,26.4,24.2,38.5,39.3,40.8,44.6,54.5,49.3,51,51.9,52.8,40.3,34.1,35.2
1604,"1111604","Monção",267.7,288.3,271.5,308.9,435.5,432.7,199.3,205.2,196,10.5,10.7,11,11.3,10.9,19.4,16.3,48.1,54.9,53.9,70.4,71.8,74.6,79.6,95.6,89.9,93.1,90.9,92.4,69.8,62.1,64.1
1605,"1111605","Paredes de Coura",45.8,49.3,46.2,52.8,75,74.4,190.7,196.4,186.1,288.4,296,303.6,311.2,300.4,539.7,445.5,931,1063.9,1037.6,1245.8,1270.7,1320.5,1410.8,1697,1595.4,1652.4,1612.8,1640.1,1231.3,1104.8,1140.5
1606,"1111606","Ponte da Barca",27.7,29.9,28.1,32,45,44.6,28,28.9,27.7,14.6,15,15.4,15.8,15.1,27.1,22.8,82.5,94,91.6,123.8,126.2,131.2,140.2,168.8,158.9,164.6,160.3,163,122.1,109.8,113.3
1607,"1111607","Ponte de Lima",633.5,682.2,642.8,731,1031.5,1023.7,972.4,1001,956.3,944.7,969.5,994.4,1019.3,986.2,1766.6,1462.7,1626.8,1858.6,1816.4,1628,1660.6,1725.7,1841.4,2217.3,2082.1,2156.4,2102.8,2138.4,1607,1442.4,1489
1608,"1111608","Valença",4,4.3,4.1,4.6,6.8,6.5,7.5,7.7,7.5,8.4,8.6,8.8,9,8.5,15.5,12.9,39.5,44.9,44.2,57.8,58.9,61.2,65.3,78.7,73.9,76.6,74.6,75.9,57,51.1,52.8
1609,"1111609","Viana do Castelo",456.2,491.3,462.6,526.4,741.7,736.9,622.7,641,611.8,537.1,551.3,565.4,579.5,560.5,1004.3,831.6,1072.7,1225,1196.6,1182.5,1206.2,1253.4,1336.5,1609.3,1512.3,1566.3,1525.2,1551,1167.5,1046.9,1080.6
1610,"1111610","Vila Nova de Cerveira",21.7,23.4,22,25.1,35.5,35.2,23.6,24.3,23,14.2,14.6,15,15.3,14.7,26.6,21.8,17.7,20.6,19.9,13.2,13.5,14,14.8,18.2,16.6,17.2,16.9,17.2,12.7,11.6,12
