"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",17196,17196,19244,19244,17196,17196,17600,16784,20876,23324,21688,21688,19232,20460,18824,18004,19368,16600,17064,19112,18052,18052,18580,18052,18052,17520,17520,16988,16988,16988,16988
1602,"1111602","Caminha",25.6,25.6,28.8,28.8,25.6,25.6,86.4,83.2,104,195.2,182.4,182.4,161.6,171.2,158.4,152,187.2,160,164.8,209.6,196.8,196.8,203.2,196.8,196.8,192,192,185.6,185.6,185.6,185.6
1603,"1111603","Melgaço",3758.4,3758.4,4207.2,4207.2,3758.4,3758.4,3288,3134.4,3900,3614.4,3362.4,3362.4,2980.8,3170.4,2918.4,2791.2,2308.8,1980,2035.2,1572,1485.6,1485.6,1528.8,1485.6,1485.6,1442.4,1442.4,1396.8,1396.8,1396.8,1396.8
1604,"1111604","Monção",5256,5256,5880,5880,5256,5256,6280,5988,7448,9516,8848,8848,7848,8348,7680,7348,6628,5680,5840,5240,4948,4948,5092,4948,4948,4800,4800,4656,4656,4656,4656
1605,"1111605","Paredes de Coura",424,424,475.2,475.2,424,424,745.6,710.4,883.2,1398.4,1300.8,1300.8,1153.6,1227.2,1129.6,1080,1558.4,1336,1372.8,1944,1835.2,1835.2,1889.6,1835.2,1835.2,1782.4,1782.4,1728,1728,1728,1728
1606,"1111606","Ponte da Barca",4464,4464,4996.8,4996.8,4464,4464,3945.6,3763.2,4680,4401.6,4092,4092,3628.8,3859.2,3552,3398.4,3276,2808,2884.8,2846.4,2688,2688,2767.2,2688,2688,2608.8,2608.8,2529.6,2529.6,2529.6,2529.6
1607,"1111607","Ponte de Lima",5912,5912,6616,6616,5912,5912,5896,5624,6996,7612,7076,7076,6276,6676,6144,5876,6296,5396,5548,6188,5844,5844,6016,5844,5844,5672,5672,5500,5500,5500,5500
1608,"1111608","Valença",232,232,259.2,259.2,232,232,422.4,401.6,499.2,803.2,747.2,747.2,662.4,704,648,620.8,611.2,523.2,537.6,544,515.2,515.2,529.6,515.2,515.2,499.2,499.2,484.8,484.8,484.8,484.8
1609,"1111609","Viana do Castelo",818.4,818.4,916.8,916.8,818.4,818.4,1094.4,1044,1300.8,1792.8,1668,1668,1478.4,1572,1447.2,1384.8,1644,1408.8,1449.6,1783.2,1682.4,1682.4,1732.8,1682.4,1682.4,1634.4,1634.4,1584,1584,1584,1584
1610,"1111610","Vila Nova de Cerveira",56,56,64,64,56,56,316,304,376,760,708,708,628,668,616,588,460,396,408,280,264,264,272,264,264,256,256,248,248,248,248
