"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",6878.4,6878.4,7697.6,7697.6,6878.4,6878.4,7040,6713.6,8350.4,9329.6,8675.2,8675.2,7692.8,8184,7529.6,7201.6,7747.2,6640,6825.6,7644.8,7220.8,7220.8,7432,7220.8,7220.8,7008,7008,6795.2,6795.2,6795.2,6795.2
1602,"1111602","Caminha",25.6,25.6,28.8,28.8,25.6,25.6,86.4,83.2,104,195.2,182.4,182.4,161.6,171.2,158.4,152,187.2,160,164.8,209.6,196.8,196.8,203.2,196.8,196.8,192,192,185.6,185.6,185.6,185.6
1603,"1111603","Melgaço",2505.6,2505.6,2804.8,2804.8,2505.6,2505.6,2192,2089.6,2600,2409.6,2241.6,2241.6,1987.2,2113.6,1945.6,1860.8,1539.2,1320,1356.8,1048,990.4,990.4,1019.2,990.4,990.4,961.6,961.6,931.2,931.2,931.2,931.2
1604,"1111604","Monção",2102.4,2102.4,2352,2352,2102.4,2102.4,2512,2395.2,2979.2,3806.4,3539.2,3539.2,3139.2,3339.2,3072,2939.2,2651.2,2272,2336,2096,1979.2,1979.2,2036.8,1979.2,1979.2,1920,1920,1862.4,1862.4,1862.4,1862.4
1605,"1111605","Paredes de Coura",424,424,475.2,475.2,424,424,745.6,710.4,883.2,1398.4,1300.8,1300.8,1153.6,1227.2,1129.6,1080,1558.4,1336,1372.8,1944,1835.2,1835.2,1889.6,1835.2,1835.2,1782.4,1782.4,1728,1728,1728,1728
1606,"1111606","Ponte da Barca",2976,2976,3331.2,3331.2,2976,2976,2630.4,2508.8,3120,2934.4,2728,2728,2419.2,2572.8,2368,2265.6,2184,1872,1923.2,1897.6,1792,1792,1844.8,1792,1792,1739.2,1739.2,1686.4,1686.4,1686.4,1686.4
1607,"1111607","Ponte de Lima",2364.8,2364.8,2646.4,2646.4,2364.8,2364.8,2358.4,2249.6,2798.4,3044.8,2830.4,2830.4,2510.4,2670.4,2457.6,2350.4,2518.4,2158.4,2219.2,2475.2,2337.6,2337.6,2406.4,2337.6,2337.6,2268.8,2268.8,2200,2200,2200,2200
1608,"1111608","Valença",232,232,259.2,259.2,232,232,422.4,401.6,499.2,803.2,747.2,747.2,662.4,704,648,620.8,611.2,523.2,537.6,544,515.2,515.2,529.6,515.2,515.2,499.2,499.2,484.8,484.8,484.8,484.8
1609,"1111609","Viana do Castelo",545.6,545.6,611.2,611.2,545.6,545.6,729.6,696,867.2,1195.2,1112,1112,985.6,1048,964.8,923.2,1096,939.2,966.4,1188.8,1121.6,1121.6,1155.2,1121.6,1121.6,1089.6,1089.6,1056,1056,1056,1056
1610,"1111610","Vila Nova de Cerveira",22.4,22.4,25.6,25.6,22.4,22.4,126.4,121.6,150.4,304,283.2,283.2,251.2,267.2,246.4,235.2,184,158.4,163.2,112,105.6,105.6,108.8,105.6,105.6,102.4,102.4,99.2,99.2,99.2,99.2
