"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",3480,4187.8,4455,4137.2,3300.6,4291.6,3542.4,4037,4280.2,4200,4043.6,4289.2,4677,4752.6,4863.2,5133.4,5947.2,6023.2,5564.8,6527.6,6878,7618,8227.2,8142.4,8531.8,8836.4,9243.2,9399.8,9819.2,10247.6,9750.6
1602,"1111602","Caminha",1397.2,1682.2,1786.4,1658,1320.2,1723.2,1155,1322,1405.4,963.2,929.4,983.6,1070.6,1090,1115.4,1175,1084.4,1095,1018.6,963.2,1021.4,1128.6,1218.2,1199,1263.4,1308.6,1376,1399.2,1453.6,1524.6,1444
1603,"1111603","Melgaço",639.4,766.6,816,760.4,605.2,786.4,431,496.8,520.2,173.4,158.2,172.4,187.2,196.2,200.8,205.4,466.4,474.6,434.8,697.2,736.8,806.2,876,864.4,908.6,941,987.2,1003.8,1051.6,1100.2,1038.4
1604,"1111604","Monção",1331.4,1604.2,1705.6,1581.8,1265.2,1639.6,1077.4,1224.4,1305,828.4,800.8,851.8,925,937.4,959.2,1015.2,851.2,864,795,671.8,711,779.2,848.8,836.6,880.2,911.6,957.2,973.4,1020.6,1053,1006
1605,"1111605","Paredes de Coura",586.6,702.8,749.8,699.6,558,719.4,922.2,1047,1113.4,1618.4,1552.2,1642.8,1798,1831.2,1873.8,1973.6,2437.2,2470,2285.6,2801.2,2947.6,3264.8,3531.8,3499.6,3662.6,3793.4,3963.4,4030.6,4221.6,4400.8,4185.8
1606,"1111606","Ponte da Barca",1199.6,1448,1536.4,1429.8,1139.6,1480.8,991.2,1126.8,1204.6,809.2,781,831.6,904.2,915.6,937,992.4,1014.4,1034.2,956.4,1014,1060.2,1182.2,1273,1254.8,1320.2,1367.4,1435.8,1460.2,1515.4,1587.4,1508.8
1607,"1111607","Ponte de Lima",8139.8,9802.4,10417.2,9673.6,7709.2,10030.2,7593.4,8659.6,9190,7928,7632.4,8091.6,8824,8971.2,9179.8,9685,10530,10659.2,9862.6,10989.2,11584,12817.4,13853.2,13705.6,14366.4,14879.4,15569.8,15833.6,16546,17273,16418.8
1608,"1111608","Valença",790.8,951.2,1014.4,943,754.4,978.8,732.6,834,885.2,751.4,721.8,760.4,831.6,850.2,870,912.6,711.2,718,658.4,494.4,517.2,564.2,616,613.4,638.8,661.6,688,699.6,742.2,770.2,730
1609,"1111609","Viana do Castelo",9583.2,11534.2,12262.2,11384.8,9076.6,11803.8,8705.2,9919.4,10540.6,8689,8354,8862.4,9666,9832.2,10060.8,10609,9107.2,9223.4,8533.6,7389.6,7783,8612.2,9308.4,9216,9653.2,9998,10454.6,10631.8,11118.2,11599.2,11032.2
1610,"1111610","Vila Nova de Cerveira",837,1008,1073.2,996.2,793.8,1037.2,1284.2,1464,1560.6,2225.2,2135.6,2271.4,2473.6,2518,2576.6,2715,2040.6,2056.4,1913,1331,1396.2,1545,1670,1645.2,1732,1793.8,1884.4,1916.4,1994.8,2074.6,1979.4
301,"1120301","Amares",1562,1881,1999.6,1855.6,1477.4,1924,1413.6,1614.8,1715.8,1396.8,1344.6,1429.8,1559,1580.6,1617.4,1711,1411,1423.6,1316.8,1077.4,1137.8,1249.6,1355.2,1338.4,1405.4,1455.6,1525.6,1551.4,1623.6,1697.4,1606.2
302,"1120302","Barcelos",33904,40806.4,43373.8,40268.4,32094,41760.6,45853.2,52259,55495.2,72690.6,69937.2,74123.4,80871.8,82255.2,84168.2,88761.8,88833.6,89885,83149.6,85999.8,90641.6,100282.6,108362.2,107217.8,112375.6,116389,121775.8,123839.8,129398.6,135072,128429.2
303,"1120303","Braga",6525.2,7857.6,8351.2,7757.2,6176.8,8039.2,7515.8,8562,9089.6,10317,9926,10525.2,11484.8,11674.4,11946,12605.2,12372.2,12520.8,11576.8,11749.8,12385.6,13690.8,14797.8,14639.6,15346,15894,16631.6,16913.6,17674.8,18451.8,17538.2
306,"1120306","Esposende",7645.6,9206,9784.8,9080.4,7237.6,9419.6,8196.6,9342.8,9920,10413.2,10024.8,10616.6,11588.8,11783.4,12057.4,12719.4,11824.2,11973.2,11067.6,10596.2,11170.2,12347.2,13346.8,13203.6,13841.2,14335.4,15001.4,15255.6,15942.8,16644.2,15818.4
310,"1120310","Terras de Bouro",632.8,759.6,808.6,752.8,597.2,778,646.4,745.2,784.8,780.2,751.4,801,873,883,903.4,958.2,921.2,937,869.6,862,905,994.2,1081.4,1073.6,1121.6,1161.6,1211.6,1232,1299,1351.6,1281.8
313,"1120313","Vila Verde",6755.8,8134.4,8645.4,8023.2,6396.8,8323.6,5611,6388.2,6789.8,4643.2,4468.6,4735.4,5165.6,5254,5376.2,5669.6,5282.4,5353.8,4943.8,4753.2,5003.4,5535.4,5982.2,5911.6,6203.6,6425.2,6730.4,6844.4,7144.2,7449.8,7089.8
