"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",448.2,812.8,604.4,748,717.2,806.6,1178,1010.2,1115.6,1702.2,1702.2,1656.4,1422.8,1346.6,1330,1512.4,1854.8,1807,1251.2,1579.6,1611.2,1581.8,1611.6,1737.4,1769,1731,1657.8,1790.6,2033.6,1850.4,1798.2
1602,"1111602","Caminha",62.4,113,83.8,103.2,99.8,111.6,246.8,212,235.6,431.2,432,419,360.2,340.2,336,383,296.2,288,197.8,79.2,80.6,78,79.6,87,88.6,85.4,80.4,88.4,99.8,91.4,87.2
1603,"1111603","Melgaço",117.8,213.8,159.8,198,189.4,214.2,181.8,156.6,172.8,153.4,153.2,148.4,127.6,122,120,135,135.6,133.6,90.8,87.2,89,86.8,88.4,96,97.8,95,90.2,98.2,113.2,101.4,97.8
1604,"1111604","Monção",300.8,543.8,405,500.8,480.4,540.2,356.2,305.6,337.8,139,138.4,135.4,116.4,110.2,108,122.8,241,235.6,163,294.6,300.6,295,300.6,324,330,322.8,309,334,379.4,345,335.2
1605,"1111605","Paredes de Coura",97.8,177.2,131.4,162,155.6,174.6,250.4,215.8,237.6,358.6,359.6,349.2,299.8,283.8,280.8,319.2,474.4,461,320.8,485.6,495.2,485.8,495,534.2,543.8,531.6,508.6,550,625.6,568.2,551.8
1606,"1111606","Ponte da Barca",163.2,294.8,220,271.8,260.4,293.4,335.8,288.4,318.2,404.2,404.2,392.8,337.8,319,316.8,358.4,419.2,408.6,283.4,335.6,342.2,335.4,341.8,369.2,375.8,367,350.8,379.8,432.6,392.4,380.6
1607,"1111607","Ponte de Lima",529.2,961,715.2,883.8,847.4,956,1339.4,1149.6,1270.8,1890.8,1893.8,1842,1581.6,1499.2,1478.8,1679.4,1526,1487.6,1029.2,769.2,784.6,769.2,783.6,846.2,861.6,841.8,804.8,870.8,988.4,899.8,873
1608,"1111608","Valença",59.6,108.4,80.6,99.8,94.8,108,217,185.2,204.2,364.8,363.8,353.6,304.2,288.6,283.2,324,296.2,288,200.6,152.8,155.8,153.2,156.2,168,171.2,167.8,161,173.6,196.4,179.2,174.6
1609,"1111609","Viana do Castelo",1194.4,2166.2,1612.2,1993.6,1911.2,2153.4,2508,2152.2,2378.6,3076.8,3079,2996.4,2572.6,2437.6,2405.4,2732.6,2667.8,2598,1799.2,1590.4,1622.2,1593.4,1623.4,1749.4,1781.2,1743.6,1667.4,1803.8,2050.2,1863.8,1808.8
1610,"1111610","Vila Nova de Cerveira",139,250.6,186.8,230.8,221.6,248.4,222.6,191,212.2,201.2,200,196.4,167.8,159.6,156,179.2,145.6,141.4,96.2,49.2,50,49.2,50,54,55,53.8,51.6,55.6,63.2,57.6,55.8
