"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",5382,5382,7182.6,7182.6,7182.6,7182.6,11674,14578,14578,21334.8,24897,24897,24897,24897,24897,28459.2,27336.4,27336.4,23929,23174,23174,26484.4,29795,26484.4,26484.4,26484.4,26484.4,23174,19863.4,16552.8,16552.8
1602,"1111602","Caminha",445.2,445.2,600.2,600.2,600.2,600.2,1490.8,1858.6,1858.6,3000.8,3504.2,3504.2,3504.2,3504.2,3504.2,4007.6,2439.4,2439.4,2129.6,1064.8,1064.8,1219.6,1374.6,1219.6,1219.6,1219.6,1219.6,1064.8,910,755,755
1603,"1111603","Melgaço",1897.2,1897.2,2536.2,2536.2,2536.2,2536.2,3814,4762.6,4762.6,6814.8,7957,7957,7957,7957,7957,9099.2,9796.2,9796.2,8557.2,9041.2,9041.2,10318.8,11616,10318.8,10318.8,10318.8,10318.8,9041.2,7744,6446.8,6446.8
1604,"1111604","Monção",1471.4,1471.4,1974.8,1974.8,1974.8,1974.8,2574.8,3213.8,3213.8,4375.4,5091.6,5091.6,5091.6,5091.6,5091.6,5827.4,7782.8,7782.8,6814.8,8170,8170,9331.6,10493.2,9331.6,9331.6,9331.6,9331.6,8170,6989,5827.4,5827.4
1605,"1111605","Paredes de Coura",1258.4,1258.4,1684.4,1684.4,1684.4,1684.4,1606.8,2013.4,2013.4,2362,2749.2,2749.2,2749.2,2749.2,2749.2,3136.4,4239.8,4239.8,3717.2,4452.8,4452.8,5091.6,5730.6,5091.6,5091.6,5091.6,5091.6,4452.8,3814,3175,3175
1606,"1111606","Ponte da Barca",1703.6,1703.6,2284.4,2284.4,2284.4,2284.4,2846,3562.2,3562.2,4762.6,5556.4,5556.4,5556.4,5556.4,5556.4,6350,7182.6,7182.6,6292,6853.4,6853.4,7821.4,8808.8,7821.4,7821.4,7821.4,7821.4,6853.4,5866,4898,4898
1607,"1111607","Ponte de Lima",2168.4,2168.4,2884.6,2884.6,2884.6,2884.6,3213.8,4007.6,4007.6,5091.6,5943.6,5943.6,5943.6,5943.6,5943.6,6795.4,5498.2,5498.2,4820.6,3949.4,3949.4,4510.8,5072.4,4510.8,4510.8,4510.8,4510.8,3949.4,3388,2826.6,2826.6
1608,"1111608","Valença",484,484,638.8,638.8,638.8,638.8,948.6,1181,1181,1684.4,1974.8,1974.8,1974.8,1974.8,1974.8,2265.2,3271.8,3271.8,2865.2,3562.2,3562.2,4065.6,4569,4065.6,4065.6,4065.6,4065.6,3562.2,3039.6,2536.2,2536.2
1609,"1111609","Viana do Castelo",1548.8,1548.8,2071.6,2071.6,2071.6,2071.6,2613.6,3252.4,3252.4,4375.4,5091.6,5091.6,5091.6,5091.6,5091.6,5827.4,7550.4,7550.4,6601.8,7763.4,7763.4,8886.2,9989.8,8886.2,8886.2,8886.2,8886.2,7763.4,6659.8,5556.4,5556.4
1610,"1111610","Vila Nova de Cerveira",387.2,387.2,503.4,503.4,503.4,503.4,580.8,735.6,735.6,968,1122.8,1122.8,1122.8,1122.8,1122.8,1277.8,2362,2362,2071.6,2807.2,2807.2,3194.4,3601,3194.4,3194.4,3194.4,3194.4,2807.2,2400.6,1994,1994
