"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",177.2,218.2,181.6,225.4,220,229.4,218,219.4,220.2,232.2,238.4,232.2,263.2,308.8,322.6,323.2,297.6,289.6,259.6,230,241.8,236.2,233.2,291.4,296.6,307.2,296.2,317.8,348.4,328.4,312.2
1602,"1111602","Caminha",138.8,170.8,142,176.4,172.2,179.6,129.6,130.4,131,95.6,98,95.4,108.4,127.2,132.6,133,84,82.2,73.4,21.4,22.6,22,21.6,26.8,27.2,28.2,27,29.2,32.2,30.2,29.2
1603,"1111603","Melgaço",22,26.8,22.4,27.8,27,28.2,20.4,20.4,20.6,15,15.4,14.8,17,20,20.8,20.8,21,20.6,18.6,18.6,19.6,19.4,18.8,23.6,24,24.8,24,25.8,28.4,26.6,25.2
1604,"1111604","Monção",157.8,194,161.6,200.4,195.6,204,123.8,124.4,125,59.2,60.8,58.8,66.8,78.6,81.6,82.2,72.2,70.6,63,52.8,55.4,53.8,53.2,66.8,68,70.4,67.4,72.8,79.2,75.2,71.2
1605,"1111605","Paredes de Coura",46.2,57,47.4,59,57.6,59.8,57,57.4,57.6,61,62.6,61.2,69,81,84.8,84.8,107,104.2,93.4,116,121.6,119.2,117.6,146.8,149.6,154.8,149.2,160.2,175.6,165.6,157.2
1606,"1111606","Ponte da Barca",102.8,126.4,105.2,130.6,127.4,132.8,122.4,123,123.4,125.8,129.2,126.2,142.8,167.6,175.4,175.4,145.2,141.2,126.6,93.6,98.4,96.2,94.8,118.6,120.8,125,120.4,129.4,142,133.6,127
1607,"1111607","Ponte de Lima",244,300.2,250,310.2,302.8,316,281.8,283.4,284.8,281,288.4,281,318.6,374,390.4,391.4,351.8,342,306.4,262,275.2,269,265.6,331.8,337.8,350,337,362,396.8,374,355.6
1608,"1111608","Valença",54.2,66.8,55.4,69,67.2,70.2,55.8,56,56.6,48.2,49.6,48,54.4,63.8,66.6,66.8,72.2,70.6,63,68.6,72,70.4,69.4,86.4,88,91.2,87.6,94.2,103.6,97.4,93.2
1609,"1111609","Viana do Castelo",365.8,450.2,374.8,465.2,454,473.8,343.2,345.4,347,254.8,261.4,254.8,288.6,338.6,354,354.4,311,302.2,271.2,222.4,233.8,228.6,225.6,281.6,286.6,297,286,307.2,337.2,317.4,301.6
1610,"1111610","Vila Nova de Cerveira",85,104.4,87,108,105.4,109.8,104.4,105,105.4,111.2,114.2,110.8,125.8,148,154.6,154.8,118.8,115.2,103.6,64.2,67.8,66.6,65.6,81.6,83.2,86.2,83.4,89.2,97.6,92,87.8
301,"1120301","Amares",52.4,64.4,53.6,66.6,65,67.8,38.2,38.2,38.6,13.2,13.6,13.2,15,17.6,18.2,18.4,27.6,26.8,23.8,33.6,35,34.4,34,42.4,43.2,44.8,43,46.2,50.6,47.8,45.2
302,"1120302","Barcelos",2423,2982,2482.2,3081,3007.2,3138,3599.6,3621,3638.2,4478.4,4596.2,4478.2,5073.8,5954.4,6222.8,6231.2,6191.8,6021,5396.2,5300,5569.8,5447.8,5377,6713.6,6835.6,7079.8,6822.8,7324,8034,7568,7195.2
303,"1120303","Braga",261.8,322,268.2,332.8,325,339,382.2,384.4,386,469.4,481.8,469.6,532,624.2,652.2,653.2,507.4,493.6,442.2,283.4,297.8,291.4,287.6,359,365.4,378.6,364.8,391.6,429.8,404.6,384.8
306,"1120306","Esposende",569.2,700.6,583,723.6,706.6,737,711.8,715.8,719.2,770,790.2,770,872.4,1023.6,1070,1071.2,921.6,895.8,803.2,636.2,668.6,654,645.4,805.8,820.4,849.8,819,879,964.2,908.4,863.6
310,"1120310","Terras de Bouro",50.4,62,51.6,64,62.4,65.2,39.8,40.2,40.4,19.6,20,19.8,22.2,26,27.4,27.4,30.6,29.8,26.6,30,31.6,31,30.4,38,38.8,40.2,38.8,41.6,45.2,43,40.6
313,"1120313","Vila Verde",529.4,651.8,542.4,673.4,657,685.6,501.6,504.4,506.8,378.2,388.2,378.2,428.6,502.8,526,526.2,448,435.2,390.4,303.4,319,311.8,307.6,384,391,405,390,419,460,433,411.2
307,"1130307","Fafe",171.4,211,175.6,218,212.8,222,115.4,116.2,116.6,23.8,24.6,23.8,27,31.6,33,33,45,43.8,39.2,51.8,54.2,53,52.4,65.6,66.8,69.2,66.6,71.6,78.4,74,70.4
