"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1772.8,2181.2,1816,2253.4,2200.2,2295,2180,2194.2,2202.8,2322.4,2383.6,2322,2631.8,3088.6,3226.4,3232.2,2975.6,2896,2596,2299,2417.8,2361.4,2332.6,2913.8,2966.8,3072.8,2961.4,3178.8,3484.4,3284.6,3121
1602,"1111602","Caminha",694.4,853.6,710.2,882.4,861,897.8,648.2,652.2,655.4,477.6,490,477,541.6,635.6,662.8,665.2,420.4,411.2,367.4,107.2,112.8,109.8,108,133.6,136,140.8,134.8,145.6,161.2,150.6,146.2
1603,"1111603","Melgaço",219,268,223.6,278.4,270,282.8,204,205,205.6,149.2,153.2,148.6,169.8,199.6,207.4,208.8,210.2,205.6,185.4,185.6,196.6,193,189,235.6,240,248.4,240.2,257,283.2,265.6,251.4
1604,"1111604","Monção",789,969.6,807.6,1002.4,978.4,1020.2,619,622.2,624.6,295.8,303.6,294.2,333.8,393,408.4,411.2,361.2,353,314.8,264.2,276.8,268.6,266,333.8,339.8,352,337,364.2,396.4,376.2,356.4
1605,"1111605","Paredes de Coura",462.2,569.8,474.2,589,575.4,598.4,570.4,574.8,575.8,610.4,626.6,611.2,690.8,810.6,848.2,848.2,1070.8,1041.8,934.2,1160.2,1216.2,1192,1176,1468.8,1495.4,1548.8,1491.2,1602.2,1755.2,1655.6,1572
1606,"1111606","Ponte da Barca",514.2,631.8,526,653.4,637.4,664.4,611.8,614.8,617,629.4,646,631.2,714.2,838.2,876.4,877.2,725.8,706,633.2,467.6,491.6,480.6,474.2,593,603.8,625.4,602.4,646.8,710,668.4,635.2
1607,"1111607","Ponte de Lima",2439.4,3002.8,2499.2,3101.6,3028,3159.6,2818.4,2833.8,2848,2810.8,2884.8,2810.4,3185,3739.6,3905,3913.4,3517.6,3420.4,3064.8,2620.4,2752.8,2690.6,2656.4,3318.4,3378.6,3499.4,3370,3620,3967.8,3740.6,3555.2
1608,"1111608","Valença",271,333.8,277.4,344.8,336.4,351,279.2,279.8,282.8,241.4,247.8,240,272.2,319.4,333,334.2,361.2,353,314.8,342.8,360.4,352,347,432,439.8,455.6,438.2,471.2,518.4,487,466.2
1609,"1111609","Viana do Castelo",3659,4502.2,3747.8,4652.4,4539.6,4738.4,3432.6,3453.6,3470,2547.8,2614.8,2547.6,2886.4,3386.4,3540.6,3544,3110.4,3022.8,2711.4,2224,2337.8,2285.6,2255.6,2815.6,2866.8,2969.2,2860.4,3071.6,3371,3174,3016
1610,"1111610","Vila Nova de Cerveira",425.2,521.8,434.8,539.8,526.8,549,522,524.8,527,556.2,570.8,554,629.4,740,772.8,774.4,594.4,575.8,517.8,321.4,338.6,333,327.8,408.4,415.8,430.6,417,445.6,487.8,460.4,438.6
301,"1120301","Amares",523.6,643.8,536.2,666.2,650.8,678.6,381.2,382.4,385.6,133,136.4,131.4,149.4,175,182.2,183.2,275.8,267.4,238,335.6,349.6,344.4,339.4,424.2,431.8,447.2,429.6,462.6,505.2,478.2,452.4
302,"1120302","Barcelos",12114.8,14910,12411.2,15405.2,15035.6,15690,17998.2,18105.2,18190.8,22392,22981.4,22391,25368.8,29771.8,31114.4,31156.4,30958.8,30104.6,26981.2,26500.2,27849.4,27238.6,26885.2,33568,34178.4,35399,34113.6,36619.6,40169.8,37840.2,35976.4
303,"1120303","Braga",2617.6,3220.8,2681.4,3328.6,3249.2,3390.6,3821,3843.4,3860.8,4693.8,4817.4,4695.2,5319,6241.8,6522,6532,5074.4,4935.2,4422.2,2834.6,2978.6,2913.8,2876.2,3589.2,3654.6,3785,3648.2,3915.6,4298.8,4046.2,3847.6
306,"1120306","Esposende",2845.8,3502.6,2915.4,3617.8,3532.6,3685.2,3558.8,3578.6,3596,3850,3951.4,3849.8,4361.8,5118,5350.2,5356,4608,4479.4,4016.4,3180.8,3342.8,3269.6,3227.2,4029.2,4102.4,4248.8,4094.6,4395.4,4821.4,4542,4318.2
310,"1120310","Terras de Bouro",503,619.8,515.6,640.4,624.2,652.6,398.2,402.4,403.6,195.4,200.4,197,222.4,261,273.4,273.2,305.4,298.2,266,299.8,316.8,310.4,304.6,381,387.8,401.8,387.6,415.6,453,429.4,406.8
313,"1120313","Vila Verde",2647.2,3258.8,2712.4,3367.2,3284.6,3428.2,2507.8,2521.6,2534.4,1891.2,1940.8,1890.6,2142.8,2514.4,2629.6,2631.4,2240,2176.2,1952.2,1517.2,1595,1559.2,1538.4,1920.4,1955.2,2025,1950.4,2094.8,2299.6,2164.8,2056.4
307,"1130307","Fafe",1713.4,2109.2,1755.8,2180.6,2127,2219.6,1153.2,1162,1167,238.8,245,237,269.4,316.2,329.8,331,450,438.6,391.8,517.6,542.6,529.8,524.4,655.8,667.8,691.6,665.6,715.4,784,739.2,703.8
308,"1130308","Guimarães",3408.4,4194.4,3491,4333.2,4229.8,4413.2,3427.8,3448.6,3464.8,2859.8,2935,2861.8,3240.6,3804,3974.2,3981,3320.6,3228.4,2893.4,2167,2275.8,2225.2,2197.8,2745,2794.8,2894.8,2788.8,2994.6,3284,3094.4,2942.8
309,"1130309","Póvoa de Lanhoso",982,1209.6,1006.4,1248.8,1219.6,1272.4,793.8,799.6,802,415.2,426,417,471.4,552.6,578,578.4,617.4,599.8,538.8,574.8,604.4,590.4,582.2,726.4,739.8,766.2,737.2,792.6,871,819,776.8
1314,"1131314","Santo Tirso",2998,3688.6,3070.8,3810.6,3720.8,3883,2617,2631.4,2645,1674,1718.2,1673.6,1897,2226,2328,2329.4,2295.8,2234.6,2001.2,1945.6,2046.4,1998,1974,2466.2,2511,2600.6,2506.4,2690.4,2948.6,2780,2641.2
1318,"1131318","Trofa",0,0,0,0,0,0,1366.8,1377,1382.8,2878.8,2954.4,2878.8,3261.2,3828.6,3999.2,4006.6,4171.2,4054.4,3635,3773.6,3965.6,3878.8,3828.6,4779.2,4866,5039.8,4857.2,5213.6,5718.6,5387.4,5122.6
311,"1130311","Vieira do Minho",779.6,959.6,799.2,991.8,967.2,1010.8,653,657.2,660.6,377.2,387,377,427.4,500.4,524.6,523.8,565,551.8,493.4,532,560.8,545,539.8,675.4,687.8,712.2,686.6,736.8,805.8,761.4,722
312,"1130312","Vila Nova de Famalicão",5172,6365.4,5298.6,6576,6418.8,6698.6,6688,6727.4,6760.2,7464,7660.4,7465.6,8457.2,9926,10373.6,10387.6,10119.2,9839.6,8820,8446.6,8877.8,8684.8,8571,10701,10895.6,11284.8,10877,11674,12804.8,12063,11469.8
314,"1130314","Vizela",0,0,0,0,0,0,80.2,80,79.6,168.2,172.6,168.4,190.2,224.2,232.4,234.6,200.4,195.4,175,135.6,145.6,140,138.8,172.8,176,182.2,177,188.4,209,194.8,187.4
107,"1140107","Espinho",0,0,0,0,0,0,31.6,30,30.8,13.6,14,11.4,14.6,18.4,18.8,19.2,108.4,106.2,94.4,189.2,200.2,196.8,192.8,239.6,244,252.6,244.4,261.4,287.4,270,256
1304,"1141304","Gondomar",313.8,385.8,321,398.4,389.6,405.2,286.4,289.8,290.4,203.6,208.8,205.6,231.2,270.2,282.8,282.8,243,236.4,213.4,167.8,174.8,170.2,169.6,212,216,223.6,214.8,231.4,252.6,239,228.4
1306,"1141306","Maia",1873.2,2307,1919.4,2382,2324,2426.8,2199.4,2214.2,2223.4,2235.6,2294.6,2236.2,2532.2,2972,3104,3110.2,3409.2,3317.6,2973.8,3259.4,3426.6,3352.8,3308.2,4131.2,4206.4,4356.6,4195.8,4506.8,4943.4,4657,4428
1308,"1141308","Matosinhos",1735.8,2137.2,1778.6,2208.4,2153.6,2247.8,2194.6,2209.2,2218.2,2401.2,2464.4,2399,2719.6,3193,3336.4,3341.6,3261.4,3173.6,2844.4,2731,2873,2807.8,2772.2,3459.8,3522.6,3648.4,3517.6,3774.2,4142,3900,3710.6
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",3978.2,4896,4075,5057.2,4935.8,5150.6,6256,6295,6323.2,8082.6,8295.4,8082.4,9156.8,10745.8,11231.2,11245.6,11597.2,11275.4,10107.4,10374.4,10902.4,10663.8,10525.8,13143.6,13382.6,13860.6,13354,14338.6,15727.4,14816.4,14083.6
1315,"1141315","Valongo",352.8,435.8,362.4,449.8,438.2,457.2,415.2,419.8,421.6,423.2,434.4,422.6,480.2,565,587.4,591.2,676.6,658,591.2,678.4,710,696.4,686.4,856,871.6,902.8,872,934,1023.6,965,918.4
1316,"1141316","Vila do Conde",10312.4,12693,10564.2,13113.4,12797.8,13355,14264.6,14349.2,14417.4,16838.2,17281.2,16839,19077.8,22391,23398.6,23432.4,24797.2,24110.4,21610.8,22837.2,24000.4,23473.4,23168.4,28926.2,29452.2,30504,29395.6,31556,34616.8,32607.8,31004.8
1317,"1141317","Vila Nova de Gaia",731.4,899.6,749.6,929.6,907.6,947.2,551,552.2,555.2,222.4,228.4,222.8,251.8,294.8,307.8,308.4,223.4,219.4,196,103.6,109.2,106,104.2,129.6,132,136.6,130.6,141.4,156.8,146,137
1301,"1151301","Amarante",880,1081.6,900.8,1118.2,1091.2,1138,747.8,754.8,755.8,453.2,465,451.2,512.4,601.8,628.4,629.8,614.2,596.4,535.2,514,539,526,520.4,651.8,663.8,687.4,661.4,711.2,779.6,734.8,694.6
1302,"1151302","Baião",514.2,631.8,526,653.4,637.4,664.4,410.2,414.8,416.4,209,214.4,208.4,237.2,279.4,292.2,292.4,216.8,209,189,107.2,112.8,109.8,108,133.6,136,140.8,134.8,145.6,161.2,150.6,146.2
304,"1150304","Cabeceiras de Basto",1527.8,1881.2,1565.4,1942.8,1897,1979.2,1490.6,1499.4,1506.2,1185.6,1216.8,1185.2,1343.6,1578,1649.4,1651.4,1024.8,997.4,895.6,224.8,236.8,230.8,227.4,282.8,287.8,298.2,286.4,308.4,339.8,318.8,306.2
106,"1150106","Castelo de Paiva",614.4,755.8,629.4,781.8,761.4,796.4,446.6,449.8,452.4,154.6,158.8,154.2,175.6,205.8,216.8,215.2,157.6,150.8,136.4,71.4,76.4,75.6,73.2,90.4,92,95.2,92.6,98.6,108.8,101.8,100.6
305,"1150305","Celorico de Basto",2146,2643,2199,2728.8,2665,2780.4,1488.2,1499.4,1506.2,390.8,401,391.2,442,518.8,543.6,543,581.4,565.4,503.8,539,568,556.2,547.6,683.4,695.8,720.6,695,745.4,818.8,770.2,731.2
1804,"1151804","Cinfães",1617,1991.2,1656.4,2056.4,2007.6,2094.6,1366.8,1377,1382.8,811.2,832.6,811.2,919.2,1077.6,1127.8,1127.8,1008.4,980.2,878.2,742.6,779.2,760.6,751.8,938.6,955.6,989.8,952,1023.8,1123.8,1058,1005.4
1303,"1151303","Felgueiras",1175.2,1445.4,1203,1493,1456.4,1522.2,1029.2,1034.6,1038.4,664.8,682.2,662.6,752.4,884.2,923.6,925.4,880.2,853.4,766.2,710.4,746.4,730.4,721,899.4,915.6,948.4,914.2,981,1075.8,1013.8,964.2
1305,"1151305","Lousada",813.2,999.6,832.4,1032.4,1009.4,1053.2,985.6,989.6,994.8,1033.8,1061,1033.8,1171,1375.4,1435.8,1439.4,1083.8,1052.2,944.6,557,586.2,575.2,566.8,706.8,719.8,745.4,720.4,771.2,845,796.8,758.6
1307,"1151307","Marco de Canaveses",783.4,965.6,803.4,998.2,974,1015.6,704,709.8,712,480.2,492.8,479.8,544.4,638.6,669.2,668.4,453.2,442.2,395.4,164.2,171.2,166.4,165.8,208.2,212,219.4,210.6,227,248.2,234.6,219.4
1705,"1151705","Mondim de Basto",525.4,647.8,538.4,668.4,653,681,616.6,622.2,624.6,626.8,643.2,628.4,711.4,835.2,873.4,874,653.6,634,570.2,332,346,340.6,335.4,420.2,427.8,443.2,425.4,458.4,500.8,473.6,447.8
1309,"1151309","Paços de Ferreira",1015.4,1249.6,1039.4,1289.4,1259.4,1314.8,898.2,902.2,907.4,591.4,607,591.2,670.4,786,823.2,822.6,883.6,860.2,769.8,828.2,870.2,851.4,840.6,1048.6,1067.6,1105.8,1065.8,1143.8,1254.4,1182,1124.2
1310,"1151310","Paredes",1325.4,1631.4,1358.4,1685.8,1644.6,1717.6,1104.6,1109.6,1115.6,626.8,643.2,628.4,711.4,835.2,873.4,874,785,760.8,682.2,582,611.8,598,590,738.2,751.8,778.6,749.8,805.4,879.8,832.2,790.6
1311,"1151311","Penafiel",1514.8,1863.2,1550.8,1925.6,1879.2,1960.4,1311,1319.4,1326.4,824.8,846.6,825.4,933.8,1096,1146.6,1147,949.2,925.4,829.2,610.4,644.6,628.2,620.8,773.6,787.6,815.8,787.8,844,927.8,872,831.6
1813,"1151813","Resende",508.6,627.8,521.8,646.8,633,659.8,393.2,394.8,395.8,176.4,181,177,199,233.4,245,244.2,249.6,243.4,220.4,224.8,236.8,230.8,227.4,282.8,287.8,298.2,286.4,308.4,339.8,318.8,306.2
1709,"1151709","Ribeira de Pena",937.4,1153.6,960.8,1193.2,1164.2,1215.8,1073,1079.6,1084.8,1058.2,1086,1059.6,1200.2,1409.2,1473.4,1474.8,1136.4,1103.6,990.2,624.8,655.4,639.6,632.4,789.4,803.6,832.4,800.4,861,945.2,889.8,845.4
104,"1160104","Arouca",2001.2,2463,2050,2544.8,2483.4,2591.8,2408.2,2421.6,2434.2,2509.8,2575.8,2507.6,2842.6,3337.4,3487.2,3492.6,3258.2,3166.8,2840.8,2566.8,2694.6,2637.6,2602.6,3247.6,3306.6,3424.8,3302.6,3542.8,3889.4,3661,3482
113,"1160113","Oliveira de Azeméis",3334.2,4104.4,3416.4,4241.2,4139,4319,3993.4,4015.8,4035.6,4140.4,4249.4,4138.4,4689.6,5504.8,5752.2,5761,5035,4894,4387.2,3577.2,3758,3674.4,3628.2,4531.8,4614.2,4779,4604.4,4943.8,5422.4,5108.6,4853
109,"1160109","Santa Maria da Feira",1522.2,1873.2,1559.2,1936.4,1888,1972.2,1631.4,1639.4,1647.6,1486.8,1526,1485.2,1683.2,1974.2,2064,2066,1885.2,1833.6,1644.4,1435.2,1511.2,1475.8,1457.4,1818.2,1851.2,1917.4,1849.4,1983.6,2177.8,2049.6,1951.2
116,"1160116","São João da Madeira",40.8,50,41.4,51.4,51,51.8,24.2,25,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",1279,1575.4,1310.6,1628,1587,1656.4,1160.4,1169.6,1174.6,808.6,829.8,808.2,916.2,1074.6,1124.8,1124.6,781.6,760.8,682.2,310.6,327.8,321.6,316.2,392.8,399.8,414.2,400.2,428.4,470.4,442.6,425
1701,"1171701","Alijó",170.8,212,176,218.4,212.4,221.4,126.2,125,126,43.4,44.6,42.8,49.8,58.4,59.8,61,101.8,99.4,91,132,138.4,136.2,135,168.8,172,178,172.8,184.2,200.4,190.4,182.8
1801,"1171801","Armamar",55.8,66,53.8,70.6,73,70.6,38.8,40,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",85.4,102,82.8,109.2,112.8,108.4,75.2,77.4,79.6,43.4,39,31.4,26.4,27.6,22,29,29.6,24,24.4,25,25.4,26.4,34.8,35.4,36,37.2,38,47.2,61,48.8,32
404,"1170404","Freixo de Espada à Cinta",18.6,24,18.6,25.8,26.6,23.6,19.4,20,20.6,19,16.6,14.2,11.8,12.2,9.4,12.8,6.6,6.8,7,0,0,0,0,0,0,0,0,0,0,0,0
1805,"1171805","Lamego",317.4,383.8,308.4,411.2,425,403,296.2,304.8,313.6,203.6,178.2,154.2,125.8,132,100.6,138.2,92,72,73.4,35.8,36.4,37.8,54,55,56,58,59,77.2,91.4,79.6,45.8
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",692.4,839.6,675,899.6,929.6,878.8,1272,1309.4,1346.8,2366,2082.8,1779.2,1457.8,1529,1175,1600,1248,976.8,997.2,699.8,713.8,741.8,1006.4,1025,1043.6,1080.8,1099.6,1396.6,1707.4,1443.2,895.6
1812,"1171812","Penedono",104,126,101.4,135,139.4,132,106.8,110,113.2,100.4,89.2,74.2,61.4,64.4,50.2,67.4,105.2,82.2,84,114.2,116.6,121.2,162,165,168,174,177,222.8,274.4,230.2,146.2
1708,"1171708","Peso da Régua",3.8,6,4.2,6.4,6.6,4.8,2.4,2.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,"1171710","Sabrosa",55.8,66,53.8,70.6,73,70.6,58.2,60,61.6,57,50.2,42.8,35.2,36.8,28.2,38.6,55.8,44.6,45.4,57.2,58.2,60.6,84.8,86.4,88,91.2,92.6,120,143.8,124,73.2
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",7.4,10,8.2,10.8,11,9.4,4.8,5,5.2,0,0,0,0,0,0,0,6.6,3.4,3.4,7.2,7.2,7.6,11.6,11.8,12,12.4,12.6,17.2,17.4,17.6,9.2
1818,"1171818","Sernancelhe",206,250,203,267.8,276.6,261.6,279.2,287.4,295.6,398.8,350.8,299.8,246,258,198,270,243,188.4,192.4,167.8,171.2,177.8,242.8,247.4,252,261,265.4,338.4,413.8,349.8,214.8
1819,"1171819","Tabuaço",44.6,54,43.4,57.8,59.8,56.6,72.8,75,77.2,124.8,108.6,91.4,76.2,79.8,62.8,83.6,46,34.2,35,3.6,3.6,3.8,3.8,4,4,4.2,4.2,4.2,8.8,4.4,4.6
1820,"1171820","Tarouca",352.8,427.8,343.8,458.4,473.6,447.6,386,397.4,408.8,398.8,350.8,299.8,246,258,198,270,256.2,198.8,203,192.8,196.6,204.4,277.6,282.8,287.8,298.2,303.4,385.6,470.4,398.4,246.8
