"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",170.4,183.6,172.8,196.6,276.8,275.2,214.6,221,210.6,167.2,171.6,176,180.4,174,312.6,258.4,259,295.6,289,237.6,242.4,251.8,268.4,323,304.4,315.2,306.4,311.6,234.8,210,216.8
1602,"1111602","Caminha",11.4,12.4,11.4,13.2,18.4,18.2,24.6,25.4,23.8,30,30.8,31.6,32.4,31.2,56.2,46.6,52.6,59.2,58.2,52.8,53.8,56,59.4,71.4,66.6,69,67.4,68.6,52.4,46.4,47.8
1603,"1111603","Melgaço",132.8,143,134.6,153.2,215.6,214.2,95.8,98.6,94.2,0,0,0,0,0,0,0,9.2,10.6,9.8,15.4,15.8,16.4,17.8,21.8,19.8,20.4,20.8,21.2,16.2,13.6,14
1604,"1111604","Monção",535.4,576.6,543,617.8,871,865.4,398.6,410.4,392,21,21.4,22,22.6,21.8,38.8,32.6,96.2,109.8,107.8,140.8,143.6,149.2,159.2,191.2,179.8,186.2,181.8,184.8,139.6,124.2,128.2
1605,"1111605","Paredes de Coura",18.4,19.8,18.4,21.2,30,29.8,76.2,78.6,74.4,115.4,118.4,121.4,124.4,120.2,215.8,178.2,372.4,425.6,415,498.4,508.2,528.2,564.4,678.8,638.2,661,645.2,656,492.6,442,456.2
1606,"1111606","Ponte da Barca",55.4,59.8,56.2,64,90,89.2,56,57.8,55.4,29.2,30,30.8,31.6,30.2,54.2,45.6,165,188,183.2,247.6,252.4,262.4,280.4,337.6,317.8,329.2,320.6,326,244.2,219.6,226.6
1607,"1111607","Ponte de Lima",253.4,272.8,257.2,292.4,412.6,409.4,389,400.4,382.6,377.8,387.8,397.8,407.8,394.4,706.6,585,650.8,743.4,726.6,651.2,664.2,690.2,736.6,887,832.8,862.6,841.2,855.4,642.8,577,595.6
1608,"1111608","Valença",8,8.6,8.2,9.2,13.6,13,15,15.4,15,16.8,17.2,17.6,18,17,31,25.8,79,89.8,88.4,115.6,117.8,122.4,130.6,157.4,147.8,153.2,149.2,151.8,114,102.2,105.6
1609,"1111609","Viana do Castelo",182.4,196.6,185,210.6,296.6,294.8,249,256.4,244.8,214.8,220.6,226.2,231.8,224.2,401.8,332.6,429,490,478.6,473,482.4,501.4,534.6,643.8,605,626.6,610,620.4,467,418.8,432.2
1610,"1111610","Vila Nova de Cerveira",43.4,46.8,44,50.2,71,70.4,47.2,48.6,46,28.4,29.2,30,30.6,29.4,53.2,43.6,35.4,41.2,39.8,26.4,27,28,29.6,36.4,33.2,34.4,33.8,34.4,25.4,23.2,24
301,"1120301","Amares",189.4,203.8,192,218.4,308.2,305.6,166.8,171.8,164,54.4,55.8,57.2,58.6,56.8,101.6,84.2,51.6,59.2,57.2,21,21.4,22.2,23.8,29,27.2,28,27.2,27.8,21.4,19,19.8
302,"1120302","Barcelos",601.2,647.4,609.2,693.6,977.4,970.6,1211.8,1247.4,1191.2,1426.2,1463.8,1501.2,1538.8,1490,2667.8,2208.6,3582.4,4094.2,3997.2,4403.4,4491.4,4667.6,4981.2,5996.8,5635.2,5836.4,5690.4,5786.8,4348,3899.6,4025.4
