"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",552.6,669.8,693.7,557.7,701.2,482.6,466.3,480,439.9,736.1,659.1,676,397.1,313,320.3,216.5,316.9,664.6,509.6,676,689.5,716.6,972.3,1237,1259.4,1304.4,1062.3,1080.3,1098.3,1116.3,1152.3
1602,"1111602","Caminha",6.4,7.6,7.9,6.2,8.1,5.6,6.6,6.8,6.6,15.8,14.2,14.6,8.5,6.7,6.9,4.7,4.8,10,7.6,8.4,8.6,9,11.9,15,15.3,15.8,13,13.3,13.5,13.7,14.1
1603,"1111603","Melgaço",111.5,134.7,139.5,113.1,141.1,96.5,81.8,84.2,77.2,84,76,78,45.3,36.3,37.2,23.4,26.9,56.2,41.4,45.5,46.4,48.2,63.2,78.7,80.1,82.9,69,70.2,71.4,72.5,74.9
1604,"1111604","Monção",59.8,72.4,75,60.5,75.8,52.3,42.4,43.7,40.2,36.6,33,33.8,19.7,15.7,16,10.5,9.6,20,15.3,13,13.3,13.8,18.3,22.9,23.3,24.1,19.9,20.3,20.6,21,21.6
1605,"1111605","Paredes de Coura",47.3,56.4,58.4,46.8,58.4,40.8,39.8,41,37.4,69.2,60.8,62.4,37.3,28,28.6,20.5,41.9,87.4,66.9,104,106.1,110.2,147.4,185.9,189.3,196,161.1,163.8,166.5,169.3,174.7
1606,"1111606","Ponte da Barca",33.1,40,41.5,33.5,41.9,28.7,22.5,23.2,21.1,13.8,12.2,12.5,7.5,5.6,5.7,4.1,6,11.9,8.9,11.7,11.9,12.4,16.8,21.4,21.8,22.6,18.4,18.7,19,19.3,20
1607,"1111607","Ponte de Lima",199.4,242.1,250.7,200.9,253.9,173.7,203.3,209.3,189.5,449.5,403.1,413.4,242.5,190.1,194.5,134.6,146.5,305.8,235.7,256.8,261.9,272.2,368.6,468.3,476.8,493.9,402.7,409.5,416.3,423.2,436.8
1608,"1111608","Valença",12.5,15.3,15.8,12.9,16.1,11.2,9.3,9.6,8.4,8.9,8.1,8.3,4.8,3.9,4,2.3,5.4,11.2,8.3,13,13.3,13.8,18.3,22.9,23.3,24.1,19.9,20.3,20.6,21,21.6
1609,"1111609","Viana do Castelo",643.9,780.8,808.7,651.3,816.1,562,610,627.9,573.3,1210.3,1085,1112.8,652.9,514.3,526.2,356.9,343.9,714.5,547.8,520,530.4,551.2,751.1,954.5,971.9,1006.6,820.7,834.6,848.5,862.4,890.2
1610,"1111610","Vila Nova de Cerveira",4.1,4.7,4.9,3.9,4.8,3.4,3.5,3.6,3.3,5.9,5.1,5.2,3.2,2.2,2.3,1.8,1.8,3.7,2.5,2.6,2.7,2.8,3.5,4.3,4.4,4.5,3.8,3.9,4,4,4.2
