"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1802.6,2116.2,2299.3,2299.3,2299.3,2273,2256.1,2229.1,2286.7,2299,2245.8,2018.8,2016.5,2042,1759.9,1743.3,1439.7,1608.6,1762.9,1316.1,1237.8,1201.5,1143.2,1085.9,1085.1,1047.5,988.7,909.3,810,750.1,665.5
1602,"1111602","Caminha",178.3,209.3,227.4,227.4,227.4,224.9,162.9,160.7,164.6,95.5,93.4,83.9,83.8,84.9,73,72.4,65.8,73.6,80.7,69.8,65.6,63.6,60.8,57.8,57.7,55.7,52.6,48.2,43,39.9,35.2
1603,"1111603","Melgaço",821.5,964.5,1047.8,1047.8,1047.8,1036,899.8,889.2,911.9,768.5,750.5,674.7,674.2,682.6,588.1,582.5,538,601,658.7,583.1,548.5,532.4,506.6,481.2,480.7,464.1,438.2,403,358.9,332.5,294.8
1604,"1111604","Monção",215,252.2,274.2,274.2,274.2,271,318.4,314.4,322.6,381,372.5,334.7,334.4,338.6,291.8,289,236.7,264.5,290,213.4,200.5,194.7,185.1,175.8,175.7,169.7,160,147.2,131.4,121.6,107.7
1605,"1111605","Paredes de Coura",53.8,63.5,68.5,68.5,68.5,67.7,167.6,165.7,170,287.2,280.7,252.2,251.8,255,219.8,217.7,231.5,258.7,283.5,294.8,276.9,268.9,255.9,243.1,242.9,234.6,221.3,203.4,181.3,168.1,149.1
1606,"1111606","Ponte da Barca",1056,1239.8,1347.1,1347.1,1347.1,1331.8,1279.7,1264.6,1297.3,1255.6,1226.8,1102.7,1101.4,1115.5,961.1,952.1,734.4,820.3,899.1,587.4,552.4,536.3,510.3,484.5,484.2,467.5,441.1,405.6,361.5,334.8,297
1607,"1111607","Ponte de Lima",475.6,558.4,606.8,606.8,606.8,599.8,695.5,687.3,705.2,824.5,805.7,724.3,723.4,732.5,631.3,625.5,693.3,774.5,848.8,918.1,863.3,838.2,797.4,757.4,756.9,730.6,689.6,634.2,565.1,523.4,464.2
1608,"1111608","Valença",179.4,210.2,228.6,228.6,228.6,226,257.6,254.4,261.2,300.8,293.8,263.9,263.8,267.2,230.1,228,180.7,201.7,221.3,152.8,143.6,139.3,132.6,126,125.9,121.3,114.9,105.3,94,87.1,77.2
1609,"1111609","Viana do Castelo",341.7,401.4,435.9,435.9,435.9,430.9,395.7,391,400.9,365.9,357.1,321.3,320.8,325.2,280.2,277.5,328.5,367.1,402.4,460.5,433.1,420.3,400,379.9,379.6,366.5,345.7,318,283.4,262.3,232.8
1610,"1111610","Vila Nova de Cerveira",56.5,66.4,72.1,72.1,72.1,71.2,106.1,104.7,107.4,149.1,145.4,130.7,130.7,132.2,113.7,112.8,150.2,167.7,183.6,228.6,214.9,208.6,198.7,188.8,188.6,182.1,171.7,157.8,140.7,130.4,115.7
301,"1120301","Amares",134.7,158.2,171.9,171.9,171.9,170.1,171.1,169.2,173.4,177,173.1,155.4,155.3,157.3,135.6,134.3,151.8,169.6,185.8,204.4,192.3,186.5,177.6,168.9,168.6,162.5,153.7,141.1,126,116.5,103.4
302,"1120302","Barcelos",66.4,77.9,84.6,84.6,84.6,83.8,115.4,114.1,116.6,154.4,151,135.9,135.6,137.6,118.2,117.2,161.7,180.9,198.2,252.6,237.4,230.3,219.3,208.4,208.1,200.8,189.7,174.5,155.3,143.9,127.8
303,"1120303","Braga",82.5,96.9,105.2,105.2,105.2,104.1,136.6,134.7,138.1,177.2,173.3,155.8,155.5,157.6,135.9,134.5,131.1,146.7,160.7,152.5,143.1,139.1,132.3,125.7,125.7,121.3,114.7,105.1,93.8,86.9,77
306,"1120306","Esposende",15,17.7,19,19,19,18.8,22,21.6,22.3,26,25.5,23.1,23,23.2,20,19.9,29.9,33.4,36.8,49.3,46.1,44.9,42.8,40.7,40.5,39.3,37.2,34.1,30.2,27.8,24.9
310,"1120310","Terras de Bouro",1563.5,1835.3,1994,1994,1994,1971.3,1904.3,1881.9,1930.3,1880.2,1836.7,1650.9,1649.1,1669.8,1439.1,1425.4,1314.1,1468.1,1609.1,1421.1,1336.3,1297.2,1234.3,1172.4,1171.6,1130.8,1067.7,981.5,874.5,810.1,718.3
313,"1120313","Vila Verde",541.5,636,690.6,690.6,690.6,682.9,650.1,642.4,658.9,630.3,615.8,553.6,553,560,482.8,478.2,565.5,631.6,692.4,791.3,744.1,722.3,687.3,652.8,652.3,629.8,594.4,546.5,486.7,451.1,400.2
