"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,2,2.6,2.7,2.6,2.9,2.5,2.8,2,1.6,2.1,1.9,2.2,2.2,1.9,1.7,1.7,1.8,1.7,1.6,1.5,1.7,2.2,1.9,1.8,1.6
1602,"1111602","Caminha",0,0,0,0,0,0,1,1.3,1.3,1.2,1.4,1.2,1.3,1,0.8,1,0.9,1,1,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,1,0.8,0.8,0.7
1603,"1111603","Melgaço",0,0,0,0,0,0,2.6,3.4,3.5,3.3,3.7,3.2,3.6,2.6,2.1,2.8,2.1,2.5,2.5,1.4,1.3,1.3,1.4,1.3,1.2,1.1,1.3,1.7,1.4,1.4,1.2
1604,"1111604","Monção",0,0,0,0,0,0,4.4,5.8,5.9,5.6,6.4,5.5,6.1,4.4,3.5,4.7,3.6,4.2,4.2,2.5,2.3,2.3,2.4,2.3,2.1,2,2.2,3,2.5,2.4,2.1
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,1.9,2.5,2.6,2.5,2.8,2.4,2.6,1.9,1.5,2,1.7,2,2,1.5,1.4,1.4,1.4,1.4,1.3,1.2,1.3,1.8,1.5,1.4,1.3
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0.7,0.9,0.9,0.9,1,0.9,1,0.7,0.6,0.7,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,1.1,0.9,0.9,0.8
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,3.9,5.1,5.2,5,5.6,4.9,5.4,3.9,3.1,4.2,3.7,4.3,4.3,3.7,3.4,3.4,3.6,3.4,3.2,3,3.3,4.5,3.7,3.5,3.2
1608,"1111608","Valença",0,0,0,0,0,0,1.7,2.2,2.3,2.2,2.4,2.1,2.3,1.7,1.3,1.8,2.1,2.4,2.4,3.1,2.8,2.8,3,2.8,2.6,2.5,2.8,3.7,3.1,2.9,2.6
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,3.9,5.1,5.3,5,5.6,4.9,5.4,3.9,3.1,4.2,3.9,4.6,4.6,4.4,4,4,4.2,4,3.7,3.5,4,5.3,4.4,4.2,3.7
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0.6,0.8,0.8,0.8,0.9,0.8,0.8,0.6,0.5,0.7,0.5,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4
301,"1120301","Amares",0,0,0,0,0,0,5.9,7.7,7.9,7.5,8.5,7.4,8.1,5.8,4.7,6.3,15.5,18.1,18.1,35.6,32.8,32.8,34.2,32.8,30.3,28.5,32.1,42.7,35.6,33.8,30.3
302,"1120302","Barcelos",0,0,0,0,0,0,4.6,6,6.2,5.9,6.6,5.7,6.3,4.6,3.7,4.9,4.3,5.1,5.1,4.4,4,4,4.2,4,3.7,3.5,3.9,5.2,4.4,4.1,3.7
303,"1120303","Braga",0,0,0,0,0,0,1.7,2.2,2.2,2.1,2.4,2.1,2.3,1.6,1.3,1.8,1.9,2.2,2.2,2.6,2.4,2.4,2.5,2.4,2.2,2.1,2.3,3.1,2.6,2.4,2.2
306,"1120306","Esposende",0,0,0,0,0,0,1.1,1.5,1.5,1.5,1.6,1.4,1.6,1.1,0.9,1.2,1,1.2,1.2,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,1,0.8,0.8,0.7
310,"1120310","Terras de Bouro",0,0,0,0,0,0,1,1.3,1.3,1.2,1.4,1.2,1.3,1,0.8,1,0.8,1,1,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.8,0.6,0.6,0.5
313,"1120313","Vila Verde",0,0,0,0,0,0,2.2,2.9,3,2.8,3.2,2.8,3,2.2,1.8,2.4,2.2,2.6,2.6,2.5,2.3,2.3,2.4,2.3,2.2,2,2.3,3.1,2.5,2.4,2.2
307,"1130307","Fafe",0,0,0,0,0,0,2.1,2.8,2.9,2.7,3.1,2.7,2.9,2.1,1.7,2.3,2.4,2.8,2.8,3.2,3,3,3.1,3,2.7,2.6,2.9,3.9,3.2,3.1,2.7
308,"1130308","Guimarães",0,0,0,0,0,0,4.9,6.5,6.6,6.3,7.1,6.1,6.8,4.9,3.9,5.2,3.8,4.5,4.5,2.1,2,2,2.1,2,1.8,1.7,1.9,2.6,2.1,2,1.8
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,1.4,1.9,1.9,1.8,2,1.8,1.9,1.4,1.1,1.5,1.9,2.2,2.2,3.1,2.8,2.8,2.9,2.8,2.6,2.5,2.8,3.7,3.1,2.9,2.6
1314,"1131314","Santo Tirso",0,0,0,0,0,0,2,2.6,2.7,2.6,2.9,2.5,2.7,2,1.6,2.1,2.7,3.1,3.1,4.3,3.9,3.9,4.1,3.9,3.6,3.4,3.9,5.1,4.3,4.1,3.6
1318,"1131318","Trofa",0,0,0,0,0,0,1.2,1.6,1.6,1.6,1.8,1.5,1.7,1.2,1,1.3,1.1,1.3,1.3,1.1,1,1,1.1,1,1,0.9,1,1.4,1.1,1.1,1
311,"1130311","Vieira do Minho",0,0,0,0,0,0,2.7,3.5,3.6,3.4,3.9,3.4,3.7,2.7,2.2,2.9,2.2,2.6,2.6,1.5,1.4,1.4,1.4,1.4,1.3,1.2,1.3,1.8,1.5,1.4,1.3
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,2.3,3,3.1,3,3.3,2.9,3.2,2.3,1.9,2.5,9.4,11.1,11.1,24.1,22.2,22.2,23.2,22.2,20.5,19.3,21.7,29,24.1,22.9,20.5
