"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",741.7,757.3,833.5,837.2,758,759.4,780.8,752.7,915.9,1032.2,966.1,965.7,863.1,912.7,857.5,825.4,885.7,786,785.6,873.7,834.7,838.5,866.8,861.1,863.8,846.1,839.3,823.8,829,824.1,823.6
1602,"1111602","Caminha",15.3,18.6,17.8,19.1,17.7,19.3,25.5,25.2,28,122.1,116.6,38.8,35.4,109.2,109.2,107.1,112.1,35.2,32.8,101.3,32.9,33.7,104.6,106.3,35.5,35.6,106.5,105.7,35,104.1,34.6
1603,"1111603","Melgaço",266.2,269.9,298.4,299.9,272.7,273.1,235.5,228,278,761.9,711.8,237.1,211.9,674.2,627.2,603,498.1,146,148,343.3,109,109.5,338.3,333.2,111.4,108.9,325.5,317.8,106.4,318.2,106.2
1604,"1111604","Monção",261.4,272,292.3,297.9,284.8,285.2,301.2,298.5,353.4,414.9,1165.5,388.2,350.1,1112.4,1044.7,1006.1,890.2,263.8,266.8,232.2,221.1,221.8,685.7,678.2,226.2,221.1,659.8,645.8,214.4,638.6,213.3
1605,"1111605","Paredes de Coura",156.1,55.1,58.8,60.1,54.8,55.6,93.2,273.5,324.8,501.9,472.9,157.7,430,453.2,441.2,424.1,614.2,186.7,185,759.9,244.1,246.3,764.7,776.7,258.1,255,759.5,750.7,245.4,724.7,241.4
1606,"1111606","Ponte da Barca",315,320.2,353.8,355.1,320.3,321,283.7,272.3,333.5,940.3,878.7,292.7,261.6,832,776.4,747.6,737.8,216.6,217.9,653.1,207.9,208.7,646.9,645.1,214.6,210.1,627,615,202.6,601.7,200.4
1607,"1111607","Ponte de Lima",936,332.1,353.9,360.8,330.9,340.1,342,1002.6,1175,1314.4,1240.4,414.4,1133,1184.4,1170.7,1124.7,1204,373.2,361,1153.7,375.3,383,1186.6,1213.3,405.6,404.6,1209.2,1203.3,398.3,1181.5,392.3
1608,"1111608","Valença",94.6,33.9,36,36.6,33.4,34,54.6,158.5,188.8,291,272.9,90.9,244.2,256.6,242,234.3,239.6,71.9,70.5,216,69.6,70.3,217.8,221,73.3,72.4,216.1,213.4,70.3,207.8,68.9
1609,"1111609","Viana do Castelo",174.7,211.2,206.3,218.5,205,216.8,231.4,230.4,252.7,947.8,894.3,299.4,269.1,821.1,820.6,787.2,857.9,276.8,251.6,783.6,258.6,265.6,825.2,860.4,286.9,288.3,860.9,864.1,290,853.4,280
1610,"1111610","Vila Nova de Cerveira",43.2,18.2,16.9,18.7,18.2,19.7,29.7,90.7,100.1,151.8,144.7,48.5,137.8,144.7,143.8,141.4,113.4,36.2,34.5,74.5,24.7,25.6,78.4,81,27.5,27.8,83.4,84,28.4,84.4,28.2
301,"1120301","Amares",177.8,185.4,200.2,203,188.5,189.9,168.5,165.9,197.7,565.5,531.1,177.1,160.7,510.3,486.1,469.1,431.4,129.4,131,369.5,117.6,118.6,365.4,120.8,121.9,120.2,356.7,350.5,117.5,351,118.6
302,"1120302","Barcelos",431.6,557.9,517.1,565.1,530.4,582.7,763.5,763.9,819.6,1156.2,3351.4,1123.3,1081.1,1113.4,1162.4,3455,4018,1339.3,1200.7,1329.6,1353.1,1405.5,1450.9,4703.9,1580.1,1614.3,4812.3,4929.6,1647.4,4812.4,1582
303,"1120303","Braga",211.6,240,244.6,253.5,234.6,242.7,322.4,316.9,363.1,1498.1,1427.9,475.9,439.9,1378.7,1379.9,1345.3,1384.5,433.8,412.8,1287.2,419.3,428.3,1323.6,1351.9,454,453.3,1350.6,1346.8,451.9,1341,446.7
306,"1120306","Esposende",262.2,114.4,104.8,115.2,109.1,120.6,135.2,136.7,144.5,549.6,531.9,177.9,514.2,529,553.1,548.3,552.9,183.9,159.9,466.9,159.7,165.9,513.1,551.1,185.8,189.5,567.9,584.7,202.9,592.2,191.5
310,"1120310","Terras de Bouro",252.7,258.1,284.2,285.8,257.4,258,234.4,228.1,277.3,808.5,756.9,252.2,226.5,719.7,677.5,652,601.7,178.4,181,507.5,161.2,162,500.2,495.3,165.6,162.2,483,473.3,157.5,469.7,157.5
313,"1120313","Vila Verde",1559,544.1,586.9,595.9,544.2,552.4,563.4,549.8,1970.2,2206.5,2071.5,690.8,1869.8,1972.1,1896.4,1817.6,1624.3,490,487.5,1265.4,406.3,410.4,1269.1,1280.9,427,421.6,1256.4,1241.1,408.7,1210,404.3
307,"1130307","Fafe",1757.8,613.3,662.6,673.2,607.8,613.5,518.2,507.1,609.2,1580,1487.9,495.5,449.8,1425.3,1377.9,1324.7,1082.7,327.2,330.1,773.6,246.4,248.4,760.8,755.7,254.4,250.3,741.6,730.6,245.2,730.2,248
308,"1130308","Guimarães",334.5,372.7,385.3,393.4,372.1,373.8,366.8,359.5,413.4,1339.7,1265.1,422.9,384.3,1203.9,1195,1146.8,1097.7,343.1,332.2,953.9,309.5,315.6,977.7,997.9,336,335.3,993,988.5,331.7,987.1,330.9
