"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,24.4,60.6,44,43.1,50.5,46.1,61,59.7,70.2,76.9,46.4,61.5,58.2,43.4,42.9,43.9,39.6,42.9,46.1,46.8,40.9,42.2,41.7,39.4,45.2
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3.7,3.6,6.2,6.2,6.2,5.7,6.1,6.6,6.7,5.8,6,6,5.6,6.4
1603,"1111603","Melgaço",0,0,0,0,0,0,12.3,30.6,22.3,21.9,25.5,23.3,30.8,30.2,35.6,38.8,17.5,23.2,21.9,8.7,8.6,8.9,8,8.7,9.2,9.4,8.3,8.4,8.3,8,9.1
1604,"1111604","Monção",0,0,0,0,0,0,37.3,92.4,67.1,65.8,77.1,70.4,93,91.2,107.2,117.3,46.7,61.7,58.4,13.1,13,13.2,11.9,12.9,13.9,14.2,12.3,12.7,12.5,11.8,13.6
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,7,17.3,12.6,12.3,14.4,13.3,17.5,17.1,20.2,22,13.5,17.8,16.8,12.8,12.7,12.9,11.6,12.6,13.5,13.8,12,12.4,12.3,11.6,13.2
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,4.8,11.8,8.6,8.5,9.9,9.1,12,11.7,13.8,15.1,6.4,8.5,8.1,2.6,2.6,2.6,2.4,2.6,2.8,2.8,2.4,2.5,2.5,2.4,2.7
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,7.7,19.1,13.9,13.6,15.9,14.6,19.3,18.9,22.3,24.3,35.8,47.4,44.9,59.8,59.1,60.5,54.6,59.1,63.6,64.6,56.4,58.2,57.5,54.4,62.3
1608,"1111608","Valença",0,0,0,0,0,0,1.7,4.4,3.1,3.1,3.6,3.2,4.3,4.3,5,5.5,2.8,3.7,3.6,2.1,2.1,2.1,1.9,2.1,2.2,2.3,2,2,2,1.9,2.1
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,8.1,19.8,14.4,14.1,16.5,15.1,20,19.6,23,25.2,23.9,31.7,30,33.3,32.9,33.6,30.3,32.8,35.3,35.9,31.3,32.4,32,30.2,34.6
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,3.9,9.8,7.1,6.9,8.1,7.4,9.8,9.6,11.3,12.4,9.4,12.5,11.9,11.3,11.2,11.5,10.3,11.2,12.1,12.2,10.7,11,10.9,10.3,11.8
301,"1120301","Amares",0,0,0,0,0,0,16.7,41.4,30.1,29.5,34.6,31.6,41.7,40.8,48,52.5,32.2,42.7,40.4,30.6,30.2,31,28,30.3,32.5,33,28.9,29.8,29.4,27.9,31.8
302,"1120302","Barcelos",0,0,0,0,0,0,28.6,70.9,51.5,50.5,59.1,54.1,71.3,69.9,82.2,89.9,204.8,271.5,256.9,379.7,375.5,384,346.7,375.4,403.4,409.8,358.2,369.3,364.8,345.3,395.2
303,"1120303","Braga",0,0,0,0,0,0,22.7,56.1,40.7,40,46.8,42.8,56.5,55.4,65.1,71.3,71.3,94.5,89.3,101.9,100.8,103,93,100.7,108.2,110,96.1,99.1,97.9,92.6,106
306,"1120306","Esposende",0,0,0,0,0,0,9.8,24.1,17.5,17.2,20,18.3,24.2,23.7,27.9,30.5,24.3,32.2,30.5,30.1,29.7,30.4,27.5,29.7,32,32.5,28.3,29.2,28.8,27.3,31.3
310,"1120310","Terras de Bouro",0,0,0,0,0,0,18.3,45.5,33.1,32.4,37.9,34.7,45.8,44.9,52.7,57.7,28.5,37.8,35.8,18.7,18.5,18.9,17.1,18.5,19.9,20.2,17.6,18.3,18,17,19.5
313,"1120313","Vila Verde",0,0,0,0,0,0,33,81.5,59.2,58.1,68,62.1,82.1,80.4,94.6,103.5,57.5,76.2,72.1,47.3,46.8,47.8,43.2,46.7,50.3,51,44.6,46,45.4,43,49.2
