"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",62.6,60.8,54.5,55.9,70.8,60.7,56.4,52.6,45.4,41.4,38.3,35.6,33,27.8,45.4,34.5,39.9,40.4,36.4,32.7,31.1,28.7,28.5,32.9,29.7,28.2,26.2,25.5,18.4,15.7,14.8
1602,"1111602","Caminha",4.2,4.1,3.6,4.2,6,5.7,6,6,5.8,5.7,5.8,5.9,5.9,5.1,8.6,6.7,8,8.1,7.5,6.9,6.6,6.2,6.3,7.3,6.5,6.2,5.8,5.6,4.1,3.5,3.3
1603,"1111603","Melgaço",48.8,47.4,42.4,40.2,46.6,35.9,29.4,23.4,16.8,11.8,7.5,3.7,0,0.2,0.6,0.8,1.2,1.4,1.6,1.5,1.6,1.7,1.9,2.2,1.9,1.8,1.8,1.7,1.3,1,1
1604,"1111604","Monção",196.7,191.1,171.2,162.7,189.3,146.6,121.2,97.6,70.6,51,34.1,18.5,4.1,4.9,10.3,9.5,13.1,15,15.2,15.2,15.8,15.8,16.9,19.4,17.5,16.7,15.6,15.1,10.9,9.3,8.7
1605,"1111605","Paredes de Coura",6.7,6.5,5.8,8.5,14.1,14.9,16.9,18.7,18.7,19.7,20.9,21.9,22.8,23.6,45.4,39.7,51.8,58.1,57.4,56.2,57.3,56.7,59.9,69.1,62.2,59.1,55.2,53.7,38.6,33.1,31.1
1606,"1111606","Ponte da Barca",20.4,19.8,17.7,17.4,21.5,17.6,15.6,13.7,11.2,9.6,8.2,6.9,5.8,7.6,16.7,15.8,21.9,25.7,26.2,26.4,27.6,27.8,29.8,34.3,31,29.4,27.4,26.7,19.1,16.4,15.5
1607,"1111607","Ponte de Lima",93.1,90.4,81.1,86.4,114,101.4,98.3,95.2,85.8,81.9,79.4,77,74.6,64.4,107.6,83.3,98.6,101.5,93.3,85.6,82.4,77.5,78.2,90.2,81.2,77.1,72,70,50.3,43.2,40.6
1608,"1111608","Valença",2.9,2.9,2.6,3,3.9,3.6,3.7,3.7,3.4,3.3,3.4,3.4,3.3,4,8.4,7.8,10.7,12.3,12.4,12.4,13,12.9,13.9,16,14.4,13.7,12.8,12.4,8.9,7.7,7.2
1609,"1111609","Viana do Castelo",67,65.1,58.3,60.6,78.3,68.1,64.4,61,53.7,50,47.2,44.7,42.4,37.9,65.4,52.2,63.5,67,62.9,59,57.8,55.4,56.7,65.5,59,56,52.2,50.8,36.6,31.3,29.5
1610,"1111610","Vila Nova de Cerveira",16,15.5,13.9,13.9,17.2,14.2,12.8,11.5,9.5,8.4,7.4,6.4,5.6,4.6,7.2,5.2,5.7,5.6,4.8,4.1,3.8,3.4,3.2,3.7,3.2,3.1,2.9,2.8,2,1.7,1.6
301,"1120301","Amares",69.6,67.6,60.6,76.4,91.6,85.3,74.4,64.3,50.7,42.1,34,26.2,18.7,15,19.4,8.6,9,8.1,6.4,5,4.1,3.1,2.5,3,2.6,2.5,2.3,2.3,1.7,1.4,1.3
302,"1120302","Barcelos",220.9,214.6,192.1,218,305.2,286.8,292.1,296.7,278.9,276.9,279.1,380.9,486.6,471.1,863.5,725.4,923.1,1024.1,998.9,968.3,980.6,978.4,1158.3,1354.2,1236,1208.6,1145.2,1132,826.9,721.1,703.9
303,"1120303","Braga",44.8,43.5,39,48.6,73.2,73,90.8,96.6,107.9,111.5,101,120,140.4,115.6,161.3,118.5,114.2,92.7,80.4,69.9,63.5,56.6,66.8,77.5,70.1,67.3,63.2,48.4,34.8,29.8,28.1
306,"1120306","Esposende",56.3,54.7,49.1,51.9,67.9,60,57.7,55.5,49.5,47,45.2,51.3,72.5,60.9,98.6,74,85.1,76.1,68,60.7,57,52.8,59.3,69.3,63.2,61.6,58.3,57.5,41.9,36.4,35.5
310,"1120310","Terras de Bouro",6.7,6.5,5.8,6.5,9.2,8.7,8.8,9,8.3,8.4,8.4,8.4,8.4,7.3,12.5,9.8,11.7,12.1,11.3,10.4,10.1,9.6,9.7,11.2,10.1,9.6,8.9,8.6,6.3,5.3,5
313,"1120313","Vila Verde",108.5,105.4,94.4,98.9,128.6,112.6,107.4,102.6,91,85.3,81.5,77.9,74.5,64,106.6,82.2,97.1,99.7,91.4,83.7,80.3,75.4,75.9,87.7,78.9,75,69.9,68,48.9,41.9,39.4
307,"1130307","Fafe",11.6,11.2,10.1,16.8,30.1,33.7,39.1,44,45,48.1,51.3,54.3,57,43.1,62.5,41.5,41.6,35.5,26.2,18.8,13.1,7.9,3.8,4.4,4,3.8,3.4,3.4,2.4,2,1.9
308,"1130308","Guimarães",103.6,100.7,90.1,95.7,125.9,129.5,142.8,138.6,124.9,119.7,101.2,113,124.5,99.7,134.5,82.1,73.7,68.9,57.2,47.1,40.5,34,30.1,34.7,31.3,29.8,27.8,27,19.4,16.6,15.7
309,"1130309","Póvoa de Lanhoso",32.4,31.4,28.2,28.3,35.1,29.3,26.6,24.2,20.2,17.8,15.9,14.1,12.6,9.9,14.8,10.4,11.1,10.2,8.3,6.8,5.7,4.6,4,4.7,4.2,4,3.8,3.7,2.6,2.2,2.1
1314,"1131314","Santo Tirso",37.4,36.3,32.6,34.9,46.5,41.4,40.4,39.4,35.7,34.1,33.2,32.3,37.3,31.4,43.1,32.5,37.5,37.8,33.9,30.4,28.6,26.3,26.1,30.2,27.1,25.8,24,23.3,16.8,14.4,13.5
1318,"1131318","Trofa",0,0,0,6.9,18.5,24.9,32.6,39.3,42.2,47,51.7,56,60.2,65.5,130,116,154.7,177.5,155.1,153.8,158.7,185.4,226,263.9,240.7,234.7,222,219.1,159.7,139.1,135.3
