"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",113.3,126.8,130,129.5,131.5,129.2,126.3,129.4,125.5,120.2,114.9,118.7,117.2,117.9,110.4,109.6,115.4,131.4,132.2,141.5,130.6,121.3,113.7,118.8,104.5,102.8,96.9,84.3,66.5,58.1,49.7
1602,"1111602","Caminha",28.5,31.9,32.7,32.6,33.1,32.5,30,30.7,29.8,26.7,25.5,26.4,26,26.2,24.5,24.4,26.5,30.1,30.3,33.5,30.9,28.7,26.9,28.1,24.7,24.3,22.9,19.9,15.7,13.8,11.8
1603,"1111603","Melgaço",99.2,111,113.7,113.3,115.1,113,106.1,108.7,105.5,96.3,92.1,95.1,93.9,94.5,88.5,87.9,80,91,91.5,82.1,75.8,70.4,66,68.9,60.6,59.7,56.2,48.9,38.6,33.7,28.8
1604,"1111604","Monção",179.5,200.9,205.9,205.1,208.4,204.6,205.6,210.6,204.3,201.5,192.6,199,196.4,197.7,185,183.7,172.2,195.9,197.1,184.1,169.8,157.8,147.9,154.5,135.9,133.7,126,109.6,86.6,75.6,64.6
1605,"1111605","Paredes de Coura",59.8,66.9,68.6,68.4,69.5,68.2,90.8,93,90.2,111.9,106.9,110.5,109.1,109.8,102.7,102,99.3,113,113.7,111.4,102.8,95.5,89.5,93.5,82.2,80.9,76.2,66.3,52.4,45.8,39.1
1606,"1111606","Ponte da Barca",29.8,33.3,34.1,34,34.5,33.9,28.8,29.5,28.6,22.8,21.8,22.5,22.2,22.3,20.9,20.8,19.7,22.4,22.6,21.5,19.8,18.4,17.3,18,15.9,15.6,14.7,12.8,10.1,8.8,7.5
1607,"1111607","Ponte de Lima",50.4,56.4,57.8,57.6,58.5,57.5,71.3,73,70.9,83.8,80.2,82.8,81.7,82.3,77,76.5,88.3,100.5,101.1,118.2,109,101.3,95,99.2,87.2,85.8,80.9,70.4,55.6,48.5,41.5
1608,"1111608","Valença",80.3,89.9,92.1,91.8,93.2,91.5,81.5,83.5,81,69.2,66.1,68.3,67.4,67.9,63.5,63.1,56.8,64.7,65.1,57.5,53.1,49.3,46.2,48.3,42.5,41.8,39.4,34.3,27.1,23.6,20.2
1609,"1111609","Viana do Castelo",35.4,39.6,40.6,40.4,41.1,40.3,38.7,39.7,38.5,36.1,34.5,35.7,35.2,35.4,33.2,33,36.1,41.1,41.3,46,42.4,39.4,37,38.6,34,33.4,31.5,27.4,21.6,18.9,16.2
1610,"1111610","Vila Nova de Cerveira",21.8,24.4,25,24.9,25.3,24.8,26.3,27,26.2,27.2,26,26.9,26.5,26.7,25,24.8,25.1,28.6,28.8,29.6,27.3,25.3,23.8,24.8,21.8,21.5,20.2,17.6,13.9,12.1,10.4
301,"1120301","Amares",14.4,16.1,16.5,16.4,16.7,16.4,15.3,15.7,15.2,13.8,13.2,13.7,13.5,13.6,12.7,12.6,16.4,18.7,18.8,24.1,22.3,20.7,19.4,20.2,17.8,17.5,16.5,14.4,11.3,9.9,8.5
302,"1120302","Barcelos",16,17.9,18.3,18.3,18.6,18.2,21.4,21.9,21.3,24.2,23.1,23.9,23.6,23.7,22.2,22,28.1,31.9,32.1,40.6,37.4,34.8,32.6,34,29.9,29.5,27.8,24.2,19.1,16.7,14.2
303,"1120303","Braga",8.5,9.5,9.7,9.7,9.8,9.7,17.8,18.2,17.7,25.7,24.6,25.4,25.1,25.3,23.6,23.5,24.9,28.3,28.5,30.8,28.4,26.4,24.7,25.8,22.7,22.3,21.1,18.3,14.5,12.6,10.8
306,"1120306","Esposende",3.8,4.3,4.4,4.4,4.4,4.4,4.7,4.8,4.7,4.9,4.7,4.9,4.8,4.8,4.5,4.5,5.2,5.9,5.9,6.9,6.3,5.9,5.5,5.8,5.1,5,4.7,4.1,3.2,2.8,2.4
310,"1120310","Terras de Bouro",41.9,46.9,48.1,47.9,48.6,47.8,34.2,35.1,34,19.4,18.6,19.2,18.9,19,17.8,17.7,13.1,14.9,15,9,8.3,7.7,7.2,7.6,6.7,6.6,6.2,5.4,4.2,3.7,3.2
313,"1120313","Vila Verde",46.1,51.5,52.8,52.6,53.5,52.5,60.4,61.9,60.1,67.1,64.2,66.3,65.4,65.8,61.6,61.2,72.9,82.9,83.4,100,92.2,85.7,80.3,83.9,73.8,72.6,68.4,59.5,47,41.1,35.1
307,"1130307","Fafe",60.8,68,69.7,69.4,70.5,69.2,65.3,66.9,64.9,59.6,57,58.9,58.1,58.5,54.7,54.4,51.9,59.1,59.4,56.9,52.5,48.8,45.7,47.8,42,41.3,38.9,33.9,26.8,23.4,20
308,"1130308","Guimarães",14.5,16.2,16.6,16.6,16.8,16.5,14.4,14.8,14.4,11.9,11.4,11.8,11.6,11.7,11,10.9,12.6,14.3,14.4,16.9,15.6,14.5,13.6,14.2,12.5,12.3,11.6,10.1,7.9,6.9,5.9
309,"1130309","Póvoa de Lanhoso",22.6,25.3,25.9,25.8,26.2,25.8,26.2,26.8,26,26,24.8,25.7,25.3,25.5,23.9,23.7,24.3,27.6,27.8,28.9,26.7,24.8,23.2,24.2,21.3,21,19.8,17.2,13.6,11.9,10.1
1314,"1131314","Santo Tirso",22.2,24.8,25.5,25.4,25.8,25.3,22.4,23,22.3,18.9,18.1,18.7,18.4,18.5,17.3,17.2,20.4,23.2,23.3,27.8,25.7,23.8,22.3,23.3,20.5,20.2,19,16.6,13.1,11.4,9.8
1318,"1131318","Trofa",0,0,0,0,0,0,3,3,3,5.9,5.7,5.9,5.8,5.8,5.5,5.4,5.8,6.5,6.6,7.1,6.5,6.1,5.7,5.9,5.2,5.1,4.8,4.2,3.3,2.9,2.5
311,"1130311","Vieira do Minho",45.5,50.9,52.2,52,52.8,51.9,48.6,49.8,48.3,44,42.1,43.5,42.9,43.2,40.4,40.2,43.9,49.9,50.2,55.8,51.5,47.8,44.8,46.8,41.2,40.5,38.2,33.2,26.2,22.9,19.6
312,"1130312","Vila Nova de Famalicão",7.2,8.1,8.3,8.2,8.4,8.2,9.8,10,9.7,11.1,10.6,11,10.8,10.9,10.2,10.1,11.1,12.7,12.7,14.2,13.1,12.2,11.4,11.9,10.5,10.3,9.7,8.4,6.7,5.8,5
314,"1130314","Vizela",0,0,0,0,0,0,1,1,1,1.9,1.8,1.9,1.9,1.9,1.8,1.8,1.5,1.7,1.7,1.5,1.4,1.3,1.2,1.2,1.1,1.1,1,0.9,0.7,0.6,0.5
107,"1140107","Espinho",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1
1304,"1141304","Gondomar",53.9,60.3,61.8,61.6,62.6,61.4,52.2,53.5,51.9,41.4,39.6,40.9,40.4,40.6,38,37.8,29.3,33.3,33.5,22.6,20.8,19.4,18.2,19,16.7,16.4,15.5,13.5,10.6,9.3,7.9
