"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",853.8,661.8,833.1,737.8,685.3,707.3,658.9,514.2,460,405.9,349.1,293.6,224.9,168.7,115.1,103.3,91.4,88.8,97,91.7,86.5,73.4,70.8,65.5,53.8,59,50,53.8,50,50,58.4
1602,"1111602","Caminha",338.5,262.5,330.2,287.4,259.8,261.1,235.1,175.9,147.4,120.4,92,63.6,32.1,28.1,21.5,21.2,22.5,25.2,32.8,35.4,40.6,42,51.1,47.2,39.8,42.3,35.9,39.8,35.9,35.9,41.9
1603,"1111603","Melgaço",449,348.2,437.9,396.5,377.2,399.3,385.5,311.2,292.3,273.4,253.1,232.8,202.1,149.9,100.4,87.4,75.5,70.2,74.7,66.8,57.7,44.6,35.4,32.8,26.9,29.5,24.4,26.9,24.4,24.4,29.2
1604,"1111604","Monção",856.6,664.5,835.9,724,653.5,650.7,581,427.6,355.8,282.8,208.3,131.3,50.9,44.1,36.1,37.1,38.4,43.7,57.7,64.2,73.4,77.3,94.4,87.8,73.1,79.6,65.5,73.1,65.5,65.5,78.7
1605,"1111605","Paredes de Coura",1073.5,831.7,1047.3,907.7,822.1,820.7,735.5,545.3,456,365.3,273.4,179.9,80.3,62.9,45.5,42.4,41.1,42.4,49.8,52.4,55.1,52.4,60.3,56.3,46.2,50,42.3,46.2,42.3,42.3,49.5
1606,"1111606","Ponte da Barca",295.7,229.3,288.7,261.1,247.3,262.5,252.9,204.3,190.8,177.3,163.7,150.2,129.9,96.4,64.2,55.7,47.6,45.1,47.2,42,35.4,26.2,19.7,18.3,15.4,16.7,14.1,15.4,14.1,14.1,16.5
1607,"1111607","Ponte de Lima",3067.2,2377.7,2991.2,2694.1,2549.1,2685.8,2570.1,2064.8,1917.4,1769.8,1619.7,1466.7,1250.3,947.8,653.3,588.3,532.6,519.3,583.3,564.9,542.6,481,488.9,453.5,375.9,410.5,341.3,375.9,341.3,341.3,406
1608,"1111608","Valença",107.7,82.9,105,124.3,150.6,197.6,232.4,226,253.1,281.4,309.8,338.3,352.1,301.2,234.3,239.8,245.1,272.9,351.3,391.9,437.8,457.4,555.7,516.4,427.2,467,388.8,427.2,388.8,388.8,461.8
1609,"1111609","Viana do Castelo",1171.6,907.7,1142.6,1005.8,928.5,949.1,877.6,675.2,595.4,514.2,431.6,347.8,250.4,195.5,137.9,128.5,120.5,121.9,144.2,146.8,150.7,142.9,158.6,146.8,121.8,133.4,110.3,121.8,110.3,110.3,132
1610,"1111610","Vila Nova de Cerveira",64.9,51.1,63.5,56.7,53.9,55.3,53.3,42,37.9,35.2,31.1,27,22.8,18.7,14.7,14.5,13.2,14.5,18.3,20.9,22.3,23.6,27.5,26.2,20.5,23.1,19.2,20.5,19.2,19.2,22.8
301,"1120301","Amares",334.3,259.8,326.1,513.1,714.8,1026.3,1283.3,1323.8,1537.2,1756.3,1980.8,2212.4,2335.1,1806.6,1273.9,1143.4,1063.9,1073.2,1251.7,1266.1,1281.9,1207.1,1322.5,1228.1,1017.3,1109.7,925,1017.3,925,925,1097.5
302,"1120302","Barcelos",1204.7,934,1174.4,1054.2,993.4,1043.1,993.9,792.9,732,669.8,607.5,560.7,470.6,354.7,241.5,218.1,195.9,187.7,207.5,198,185.7,159.7,155.6,144.7,121.5,132.3,109.4,121.5,109.4,109.4,130.9
303,"1120303","Braga",650.7,504.3,634.1,584.4,567.8,614.8,619.4,521.7,503.6,486.8,468.7,451.9,414,313.3,216.7,197.4,178,173.9,187.4,180.8,174.3,154.7,163.8,151.6,126.9,139.1,116.1,126.9,116.1,110.3,130.7
306,"1120306","Esposende",824.8,639.7,804.1,704.6,645.2,653.5,597.4,453.3,392.4,331.5,267.9,210.7,136.6,103.5,70.4,63.5,56.6,55.2,61.4,58.7,54.6,47.8,46.4,43.7,36.5,39.2,32.4,36.5,32.4,32.4,38.7
310,"1120310","Terras de Bouro",534.7,414.5,520.8,483.6,472.5,516.8,515.4,433,423.5,412.7,403.2,393.8,365.5,283.8,200.8,188.2,176.2,178.9,209.7,213.6,218.9,208.4,230.7,213.6,177,193.7,161.7,177,161.7,161.7,191.6
313,"1120313","Vila Verde",2513.2,1948.1,2451,2260.3,2196.7,2383.3,2356.8,1962,1899.7,1836.2,1772.6,1710.3,1569,1180.7,807.2,720.8,645.2,622.7,688.1,652.7,613.4,528.2,515.1,478.4,396.4,432.3,360.5,396.4,360.5,360.5,427.6
307,"1130307","Fafe",914.6,708.8,892.5,809.6,770.9,819.3,791.5,642.7,604.8,565.6,527.7,488.5,427.1,322.6,222.2,198.8,178.9,173.6,194,186.1,178.2,156,156,144.2,120.6,130.9,109,120.6,109,109,129.4
308,"1130308","Guimarães",1861,1442.4,1814,1666.2,1610.9,1774.9,1745.1,1459.1,1403.3,1347.5,1291.8,1234.5,1122.1,832.2,558.9,495.4,414.7,388.2,412.9,373.5,329,256.9,215,199.2,165.5,180.9,150.1,165.5,150.1,150.1,178.9
309,"1130309","Póvoa de Lanhoso",1022.4,793,997.5,898,849.7,895.3,857.1,688.7,640,589.9,541.2,489.8,417.7,336,246.3,237.2,230.6,243.8,297.5,317.2,338.1,338.1,393.2,365.7,302.8,329.7,274.5,302.8,274.5,274.5,326.1
