"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",4731.4,5172.5,5096.4,3983.5,4863.7,3138.3,2614.3,2660.4,2443.2,2505.6,2332.8,2558.1,1693.9,1325.5,1408.1,990.9,1033.5,2113.3,1641.8,1702,1748.7,1759.9,2404.8,2932.2,2860.7,2717.7,2118.5,2061.2,2004,1946.7,1832.2
1602,"1111602","Caminha",274.9,295.2,290.9,231.9,295.6,208.3,179.4,189.2,186,203.8,212.1,243.1,181.9,131.4,129,84.3,82.7,158.7,116.6,114.1,120.9,115.5,147.6,178,173.6,164.9,130,126.5,123,119.5,112.5
1603,"1111603","Melgaço",955,1040.1,1024.8,791.2,940.5,586,474.2,466.5,409.3,395.6,341.6,335.7,193.3,142.4,139.7,94.9,93,178.6,126.3,123.6,120.9,115.5,156.2,186.5,181.9,172.8,137.6,133.9,130.2,126.5,119
1604,"1111604","Monção",2561,2797.1,2755.9,2100.9,2499,1562.7,1243.1,1210.4,1054.2,1007.1,836.5,798.7,420.7,295.8,279.5,179.2,165.4,317.5,223.4,209.2,195.3,177.8,225.7,271.2,264.6,251.3,198.9,193.5,188.1,182.7,172
1605,"1111605","Paredes de Coura",405.1,435.7,429.4,341.1,416.5,273.5,230.7,226.9,210.8,227.8,212.1,231.5,159.2,142.4,161.2,116,134.4,277.8,223.4,237.7,251.2,257.7,364.6,440.7,429.9,408.4,321.2,312.5,303.8,295.2,277.8
1606,"1111606","Ponte da Barca",1418,1546.1,1523.4,1159.6,1370.4,846.5,666.4,643,545.7,503.5,400.6,358.8,159.2,120.5,129,84.3,93,188.5,145.7,152.1,148.8,151.1,208.3,254.2,248,235.6,183.5,178.6,173.6,168.6,158.7
1607,"1111607","Ponte de Lima",1707.3,1869.4,1841.9,1487,1867.6,1250.1,1076.5,1160,1116.2,1210.8,1201.8,1423.7,1034.6,755.9,752.4,506,496.1,972.3,718.9,722.6,716.2,693.3,911.5,1110.2,1083.1,1028.9,803,781.3,759.6,737.9,694.5
1608,"1111608","Valença",535.4,590.3,581.7,450.2,537.4,338.6,269.1,264.8,223.2,215.8,188.5,185.2,102.3,87.7,96.7,73.8,82.7,178.6,136,152.1,158.1,160,225.7,271.2,264.6,251.3,198.9,193.5,188.1,182.7,172
1609,"1111609","Viana do Castelo",5512.7,6029.9,5941.2,4720.2,5898.2,3880.6,3306.4,3480,3286.5,3512.7,3416.8,3947.1,2785.3,1982.9,1924,1243.9,1198.9,2272.1,1651.5,1587.9,1534.7,1448.8,1857.8,2262.7,2207.6,2097.2,1636.6,1592.4,1548.2,1503.9,1415.5
1610,"1111610","Vila Nova de Cerveira",173.6,182.7,180,136.4,174.6,117.2,89.7,100.9,86.8,95.9,94.2,104.2,68.2,43.8,43,31.6,31,59.5,38.8,38.1,37.2,35.6,43.4,50.8,49.6,47.1,38.2,37.2,36.1,35.1,33.1
