"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,2.3,27.3,14.1,5.6,0,0,11,34.4,63.8,0.2,15.5,43.3,64.1,22.6,23.3,30.4,33.8,25.6,25.7,99.4
1602,"1111602","Caminha",1.5,0.6,1,0,0,0,0,0,0,0,0,2.5,14.8,8.2,4.4,0,0,1.6,8.1,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",1.1,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,6.1,23.5,1.9,6.4,15.3,23,7.8,7.8,10.3,11.4,8.3,8.7,33.6
1604,"1111604","Monção",212.8,46.3,77,118.9,101.4,32.7,0,0,0,0,0,0,1.9,0,0,0,0,56.6,89.5,301.6,31.4,87.2,202.5,293.2,99.4,99.8,127.5,142.1,106.9,108.8,427
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0.9,4,2,2.3,3.4,3.6,2.4,2.4,8.2
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,5.6,17.2,10.4,7.3,3.6,0,5,10.1,0.9,0,0,0.4,1.6,0.8,0.9,1.3,1.4,1,1,3.4
1607,"1111607","Ponte de Lima",217.8,48.2,79.8,119.1,94.6,20,0,0,0,0,0,0,18.3,6,0,0,0,0,7,0,0,0,0,0,0.2,1.5,3.2,2.8,1,0.5,0
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,3.2,8.1,26.3,0.8,6.5,17.3,26.4,9.2,9.4,12.1,13.4,9.8,10.1,38.8
1609,"1111609","Viana do Castelo",336.6,73.8,122.4,187.1,157.6,46,0,0,0,0,0,0,43.4,21.2,5.9,0,0,0.2,38.9,43.9,0,4.8,27.1,49.2,18.3,18.6,26.2,28.5,20.1,20.5,75.3
1610,"1111610","Vila Nova de Cerveira",0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",202.3,43.7,72.6,117,109.6,47.2,0.4,0,0,0,0,5.4,21.2,12.4,7.8,1.9,0,18.2,32.6,68.6,4.2,18.5,46.8,68.3,23.5,24,30.5,33.8,25.9,25.7,99.7
302,"1120302","Barcelos",2362.5,516.2,856.4,1325.8,1148.8,377.7,0,0,0,0,0,238.1,1291.3,724.6,397.9,0,0,0,636.1,0,0,0,0,0,0,9.3,42.3,30.5,0,0,0
303,"1120303","Braga",102.5,22.7,37.8,54.3,39.2,2.7,0,0,0,0,0,32.3,122,71.3,45.4,12.3,0,24,71.8,3.3,0,0,0,12.3,6.4,8.3,12.1,12.4,8.1,7,20.1
306,"1120306","Esposende",103.9,23,38.3,55.1,40.2,3.2,0,0,0,0,0,25.9,111.2,64.2,38.9,3.6,0,7.6,54.8,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",76.9,16.5,27.4,44.4,42,18.6,0.9,0.6,0.3,0,0,0.7,3.3,1.8,1,0,0,6.5,10.7,30.2,2.7,8.6,20.5,29.6,10.1,10.2,13,14.4,11.1,11.1,43.4
313,"1120313","Vila Verde",66.1,14.7,24.4,34.3,22.9,0,0,0,0,0,0,19,66,39.2,25.7,9.5,0,46.7,84,155.2,7.2,40.6,105.6,155.5,53.7,54.9,69.8,77.6,58.6,58.5,226.3
307,"1130307","Fafe",21.8,4.6,7.9,10.9,7.5,0,0,0,0,0,0,10.6,33.1,19.9,13.4,5.9,0,15.4,27.1,27.5,0.9,7,18.5,27.7,9.6,9.9,12.7,14,10.7,10.7,41.2
308,"1130308","Guimarães",105.8,23.2,38.6,56.9,43.3,7.1,0,0,0,0,0,21.5,83.6,49.3,30.5,4.6,0,42.8,88.4,133,1.5,30.4,84.6,136.6,46.2,44.1,58.4,69.5,47.2,52.2,200.1
