"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",159.5,37.8,50.5,102.2,178.2,107.6,103.6,75.8,75.5,63.1,48.3,58.7,134.3,36.4,49.6,43.9,45.2,64.3,47.5,69.2,26.6,32,38.5,53,10.3,12.5,13,9.8,10.6,8.4,56.9
1602,"1111602","Caminha",8.9,2.1,2.8,5.6,10.1,5.9,10.4,7.6,7.5,13.2,10,11.8,27.9,6.9,9.6,8.1,7.6,11.7,8.5,11.1,4.1,4.9,4.9,8.1,1.5,1.8,2.1,1.6,1.5,1.4,9.4
1603,"1111603","Melgaço",0.6,0.1,0.2,0.3,0.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",4.3,0.9,1.4,2.5,5.4,2.6,3.7,2.5,2.5,4.3,2.8,2.1,8.3,0,0.8,0.3,1.1,2.9,1.8,5.4,1.2,2.4,2.1,3.5,0.5,0.8,1,0.7,0.9,0.7,5.6
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,10.7,7.9,30.4,11.8,14,16.6,23.2,4.5,5.5,5.7,4.3,4.6,3.7,25.1
1606,"1111606","Ponte da Barca",70,16.6,22.2,44.9,78,47.2,47.4,34.8,34.5,31.7,24.4,29.4,66.8,17.9,24.3,21.5,28.6,40.7,30.2,58.1,22.4,26.7,31.4,44.3,8.7,10.5,10.9,8.3,8.9,7.1,47.7
1607,"1111607","Ponte de Lima",346.3,82,109.4,222.3,385.7,233.6,220.6,162.4,161.8,127.9,99.1,122.5,273,77.9,104.6,93.5,176.2,245.7,182.6,436.3,174,202.7,245.8,338.9,67.1,80.4,82.3,62.3,66.2,52.5,348.9
1608,"1111608","Valença",2.1,0.4,0.7,1.2,2.7,1.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",192.3,45.4,60.8,123.1,215,129.6,151.1,110.8,110.4,129.2,99.5,123.9,276.8,78.9,106,93.4,109.6,155.5,115.7,195.9,78.9,90.7,105.2,151.1,29.7,34,37.2,28,28.7,23.7,157.4
1610,"1111610","Vila Nova de Cerveira",1.1,0.2,0.3,0.6,1.3,0.7,0.4,0.3,0.3,0,0,0,0,0,0,0,0.8,1.2,0.9,3.8,1.5,1.7,1.7,2.8,0.5,0.6,0.7,0.5,0.5,0.5,3
301,"1120301","Amares",109,25.7,34.5,69.6,121.6,73.3,86.5,63.5,63.4,77.1,58.9,72,166,44.8,61.1,54.4,78.3,111,82.3,169.2,66.7,79.7,96,131.7,25.9,31.3,32,23.9,25.7,19.9,136.4
302,"1120302","Barcelos",57.8,13.5,18.4,36.5,66.1,38.3,74.9,54.4,54,99.3,73.5,91.4,213.7,55.3,75.1,56.7,66.9,104.5,77.5,124,45.8,56.7,66.6,94.8,18.2,22.4,23.2,17.6,18.5,14.5,101.6
303,"1120303","Braga",15.3,3.6,4.9,9.7,17.6,10.2,19.7,14.4,14.2,26.1,20,24,55.1,14.6,19.9,17.4,21,30.2,22.4,39.6,14.7,18.1,20.7,29.7,5.7,7.2,7.5,5.6,6.1,4.6,31.1
306,"1120306","Esposende",3,0.7,1,1.8,3.9,2,3.7,2.6,2.5,4.5,3.3,3.4,9.1,1.5,2.3,1.5,1.4,2.9,2,2.5,0.6,1.1,1,1.7,0.3,0.4,0.4,0.3,0.4,0.4,2.6
310,"1120310","Terras de Bouro",35.1,8.3,11.1,22.5,39.2,23.6,25.9,19,18.9,20.3,15.6,19.2,43.3,12.1,16.3,14.6,12.5,17.8,13.1,14.3,5.3,6.6,7.6,10.7,2.1,2.6,2.7,2,2.2,1.8,12.2
