"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1.6,3.8,3.1,4.3,0.3,0.8,0.8,2.6,6.5,6.3,8,6.7,5.7,4.7,3.9,2.5,2.1,1.6,1.5,1.3,0.5,0,0,0,0,0,0,0.4,1.5,1.6,3.4
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.2,1.9,2.2,3.1,3.5,2.9,3.1,3.7,3,4.4,4,7.7
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0.5,1.1,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",5.9,8,6.7,7.4,3.1,3.2,2.6,2.9,4.9,4.4,5.3,4,3.1,3,3.2,2.9,3.2,3.2,4.1,4.3,5.2,5.4,6.8,7.3,6,6.6,7.2,5.8,8.9,7.6,14.9
1607,"1111607","Ponte de Lima",15.5,21.4,18,17.1,5.3,4.2,3.5,3.7,5.7,4.6,4.7,2.6,1.1,1,0.9,0.7,0,0.3,1,0.7,0.9,0.5,1.2,1.7,1.8,2.3,3.1,3,5.5,5.1,10.1
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.6,0.9,1,0.8,0.9,1.1,0.9,1.5,1.3,2.5
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.4,1.1,1.4,1.4,1.7,2.3,2.1,3.7,3.3,6.7
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",0,0.8,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.1,3,3.3,2.9,3.3,4.2,3.3,5.6,4.8,9.5
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0.1,1.3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.4,3.4,4,8.2,8.2,16.3
303,"1120303","Braga",17.5,23.4,19.9,20.6,8,7.6,7.9,7.7,11.3,9.9,11.2,9.1,7.3,8.3,10.1,10.6,12.7,12.4,15.4,16.5,21,24,29.6,30.8,24.8,26.9,27.4,21,30.7,24.6,47.9
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",3.5,4.9,4.1,3.8,1.1,0.8,0.6,0.6,1,0.8,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",5.6,8.6,7.1,8,2.3,2.4,3.1,4,6.9,6.6,8,6.8,5.8,5.7,5.9,5.5,5,4.6,5.3,4.8,5.7,5.7,6.8,7.2,6,6.6,7.1,5.8,8.9,7.6,15
307,"1130307","Fafe",0.2,0.8,0.7,1.3,0.1,0.4,0,0.5,2,2,2.7,1.5,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.8
308,"1130308","Guimarães",2.5,7.7,6.6,6.9,0,0,0,2.8,9.7,10,12.6,11.3,10,10.6,11.8,11.2,12.9,13,16.1,17.2,20.9,23.4,28.8,30.5,24.2,25,26.3,20.7,28.3,24.9,49.5
309,"1130309","Póvoa de Lanhoso",0,0,0,4.2,3,4.8,7.6,9,15.1,15.1,19.4,18.5,17.6,16.9,17.3,15.7,15.7,12.8,13.4,12.1,13.3,13,13.8,14,11.3,12.2,12.4,9.5,13.6,11.3,22.2
