"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",13.2,14,11,15.1,13.8,15.5,8.1,6.5,6.6,0,0,0,0,0,0,0,0.5,0.4,0.3,0.8,0.8,1.1,1.4,1.4,1.1,1.2,1.1,0.7,0.7,0.4,0.7
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",21,22.2,17.5,24.1,22,24.8,12.9,10.4,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",76.8,81.1,63.8,88.3,80.2,90.7,47,38,38.6,0,0,0,0,0,0,0,0.5,0.4,0.3,0.8,0.8,1.1,1.4,1.4,1.1,1.2,1.1,0.7,0.7,0.4,0.7
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",13,13.7,10.8,14.9,13.6,15.3,9.8,7.8,8,1.7,1.6,1.3,0.9,0.9,0.9,0.9,0.6,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",73.9,78.1,61.4,85,77.1,87.2,48.8,39.4,40,3.5,3.3,2.5,1.8,1.8,1.9,1.7,1.4,1.1,0.9,0.4,0.3,0.5,0.6,0.6,0.5,0.5,0.5,0.3,0.3,0.2,0.3
1608,"1111608","Valença",0,0,0,0,0,0,1.7,1.4,1.4,1.6,1.6,1.2,0.9,0.9,0.9,0.8,0.6,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",21,22.2,17.4,24.1,22,24.8,20.6,16.7,16.9,7.6,7.2,5.4,3.8,3.9,4.1,3.8,5,3.5,3.1,3.6,3.3,4.7,6,6.1,4.8,5,4.5,2.8,3,1.8,3.5
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",24.4,25.8,20.3,28,25.5,28.8,21,16.9,17.2,5.8,5.6,4.2,3,3,3.2,2.9,8.2,5.8,5.1,9.4,8.6,12.3,15.7,16,12.7,13,11.8,7.3,7.9,4.8,9.2
302,"1120302","Barcelos",140.6,148.5,116.8,161.4,146.4,165.8,149.2,120.6,122.5,61.9,59,44.5,31.6,32.1,33.9,30.9,46.9,33,28.8,38.3,34.8,49.9,63.5,64.8,51.3,52.8,47.9,29.8,32.2,19.4,37.3
303,"1120303","Braga",12,12.6,9.9,13.7,12.5,14.1,38.3,30.9,31.4,30.2,28.8,21.8,15.4,15.7,16.6,15.1,19.6,13.8,12,13.7,12.4,17.8,22.7,23.1,18.3,18.9,17.1,10.6,11.5,6.9,13.3
306,"1120306","Esposende",163.3,172.5,135.7,187.8,170.4,192.8,146.8,118.6,120.5,45.7,43.6,32.9,23.3,23.7,25.1,22.8,34.2,24.1,20.9,27.6,25.1,35.9,45.7,46.6,36.9,38,34.5,21.4,23.2,14,26.9
310,"1120310","Terras de Bouro",0,0,0,0,0,0,2.8,2.3,2.4,2.8,2.7,2,1.4,1.5,1.5,1.4,1,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0
