"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",7.1,7.6,5.9,6.9,5.2,5.3,9.9,7.3,7.1,7,7.4,6.4,5.4,5.6,5.8,5.4,6.4,6,7.6,8.1,8.8,9.6,9.5,9.5,7.4,7.4,6.5,5.2,7.6,6.3,12.1
1602,"1111602","Caminha",3.4,3.6,2.8,3.3,2.5,2.5,2,1.5,1.4,0.7,0.7,0.6,0.5,0.6,0.6,0.5,0.3,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",8.4,8.8,6.9,8,6.3,6.2,3.3,2.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",60.7,64.1,50.5,57.9,45.3,45.4,27,20.1,19.1,2.8,2.9,2.6,2.2,2.2,2.3,2.1,2,1.7,2.2,1.7,1.8,2,1.9,1.9,1.5,1.4,1.3,1.1,1.5,1.3,2.4
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,1.2,1,0.9,1.2,1.3,1.1,1,1,1,0.9,0.9,0.8,1,0.7,0.8,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.7,0.6,1.1
1606,"1111606","Ponte da Barca",1.9,2.1,1.6,1.8,1.5,1.4,2.3,1.7,1.6,1.5,1.6,1.4,1.2,1.2,1.3,1.2,4.9,4.6,5.7,10.6,11.5,12.5,12.4,12.4,9.5,9.6,8.5,6.9,9.8,8.2,15.8
1607,"1111607","Ponte de Lima",3.1,3.3,2.6,3,2.3,2.3,34.6,25.8,24.6,33.4,34.5,30.1,25.6,26.2,27.7,25.4,20.5,19.4,24.1,14.1,15.4,16.7,16.6,16.5,12.8,12.8,11.4,9.1,13.1,10.9,21
1608,"1111608","Valença",9.4,9.9,7.8,9,7.1,7,5.2,3.8,3.7,1.5,1.5,1.4,1.1,1.2,1.2,1.1,2.6,2.5,3.1,5.1,5.6,6,6,6,4.6,4.7,4.1,3.3,4.7,4,7.6
1609,"1111609","Viana do Castelo",139.7,147.6,116.1,133.4,104.4,104.6,70.6,52.6,50,15,15.5,13.5,11.5,11.8,12.5,11.4,13.2,12.4,15.5,16.4,17.8,19.2,19.1,19.1,14.7,14.8,13.1,10.6,15.1,12.7,24.3
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0.6,0.5,0.4,0.6,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.7,0.6,1.1
301,"1120301","Amares",33,34.8,27.4,31.4,24.6,24.6,44.4,33.2,31.5,31.4,32.4,28.4,24.1,24.6,26.1,23.9,18.8,17.7,22.1,12,13,14.2,14,14,10.8,10.9,9.6,7.7,11.1,9.3,17.8
302,"1120302","Barcelos",96.5,101.9,80.2,91.8,72,72.2,190,141.8,134.7,151.7,156.8,137,116.5,119.1,126.1,115.4,107.2,100.9,125.9,99.1,107.9,116.8,115.7,115.5,89.4,89.8,79.4,64,91.9,76.7,147.5
303,"1120303","Braga",184.6,194.9,153.4,176.1,137.8,138.1,130.9,97.7,92.9,57.6,59.5,52.1,44.3,45.3,47.9,43.8,33.6,31.7,39.5,19.5,21.3,23.1,22.9,22.8,17.6,17.7,15.7,12.6,18.1,15.2,29.1
306,"1120306","Esposende",666.5,704.1,554.1,636.1,497.9,498.9,507.6,378.8,360.1,243,250.9,219.3,186.5,190.6,202,184.7,187,176.1,219.6,198,215.7,233.8,231.5,231.1,178.6,179.7,159,128,183.5,153.5,294.8
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0.8,0.6,0.6,0.8,0.9,0.7,0.6,0.7,0.7,0.7,1.5,1.4,1.7,2.9,3.1,3.3,3.3,3.3,2.6,2.6,2.3,1.8,2.7,2.2,4.2
313,"1120313","Vila Verde",19,20,15.8,18.1,14.2,14.2,17.1,12.7,12.1,9.6,9.9,8.7,7.3,7.5,8,7.3,10.8,10.1,12.7,16.5,17.9,19.4,19.2,19.2,14.8,15,13.2,10.6,15.2,12.7,24.5
307,"1130307","Fafe",5.4,5.7,4.5,5.1,4,4,11.4,8.5,8.1,9.2,9.6,8.3,7.1,7.2,7.7,7,6.4,6,7.5,5.7,6.2,6.8,6.7,6.6,5.2,5.2,4.6,3.7,5.3,4.4,8.5
308,"1130308","Guimarães",104.1,110,86.6,99.4,77.8,78,105.7,78.9,75,64.3,66.4,58.1,49.4,50.4,53.4,48.9,70.8,66.7,83.3,106.9,116.4,126.2,124.9,124.7,96.4,96.9,85.7,69,99,82.8,159
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,2.8,2,1.9,2.7,2.9,2.5,2.1,2.1,2.3,2.1,2.2,2.1,2.5,2.4,2.6,2.8,2.8,2.7,2.2,2.1,1.9,1.5,2.2,1.8,3.5
1314,"1131314","Santo Tirso",37.7,39.8,31.3,35.9,28.1,28.2,31.2,23.3,22.1,16.2,16.7,14.6,12.5,12.7,13.5,12.3,21,19.8,24.7,35,38.1,41.3,40.8,40.9,31.5,31.7,28.1,22.6,32.4,27.1,52.1
1318,"1131318","Trofa",0,0,0,0,0,0,16.9,12.6,12,17,17.6,15.3,13.1,13.4,14.2,12.9,33.2,31.2,39,64.9,70.8,76.6,76,75.8,58.5,58.8,52.2,42,60.1,50.3,96.8
311,"1130311","Vieira do Minho",3.6,3.8,3,3.3,2.7,2.6,2.9,2.2,2,1.4,1.5,1.3,1.1,1.2,1.2,1.1,1.3,1.3,1.5,1.7,1.8,2,1.9,1.9,1.5,1.4,1.3,1.1,1.5,1.3,2.4
312,"1130312","Vila Nova de Famalicão",28.6,30.2,23.7,27.3,21.4,21.5,53.8,40.1,38.3,42.6,43.9,38.4,32.7,33.3,35.3,32.3,55.5,52.2,65.3,92.6,100.7,109.3,108.1,108,83.6,84,74.3,59.8,85.7,71.7,137.7
314,"1130314","Vizela",0,0,0,0,0,0,19.8,14.8,14,19.8,20.5,18,15.2,15.6,16.5,15.2,14.7,13.9,17.2,14.6,16,17.2,17.1,17.1,13.2,13.3,11.8,9.4,13.5,11.3,21.7
107,"1140107","Espinho",0,0,0,0,0,0,7,5.3,5,7,7.4,6.4,5.4,5.6,5.8,5.4,5,4.8,5.9,4.9,5.3,5.7,5.7,5.6,4.4,4.4,3.9,3.1,4.5,3.7,7.1
