"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",697,627.2,662,585.1,684.9,412.2,465.9,262.9,213.6,207.3,145.7,99.7,185.3,64.3,90.5,82.4,88.5,95.4,82.4,103.2,71.6,132.4,108.8,117.9,70,89,89,52.2,76.8,44.8,139.5
1602,"1111602","Caminha",38.6,34.4,37,36.3,49.4,33,41.6,26.4,24.4,27.4,21.8,16.8,38.4,11.9,16.9,14.3,15.3,17.3,14.5,18.3,11.9,20.9,13.8,18,10.2,12.9,14.4,8.5,11.2,7.6,23
1603,"1111603","Melgaço",2.6,1.7,2.7,1.2,2.7,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",18.6,15.3,18.4,15.1,23.6,12.2,15.7,8.8,7.8,10.1,6.6,3.1,11.5,0.2,1.8,1.1,1.9,4.3,3.3,6.8,2.7,9.2,6.1,7.8,3.5,5.9,6.7,3.7,6.4,3.7,13.9
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4.6,7.3,10.2,15.7,17.4,26.3,21.9,49,46.9,51.5,30.6,39.1,39.1,23,33.5,19.8,61.5
1606,"1111606","Ponte da Barca",303.9,273.5,288.6,257,301.7,184.4,209.1,119.5,98.4,96.5,69.3,48.1,91.2,32.9,48.7,46.7,52.4,59.7,54.7,71.8,52.7,103.1,88.5,97.7,58.4,73.7,74.3,44,64.1,37.7,115.9
1607,"1111607","Ponte de Lima",1512.6,1361.8,1436.3,1266.4,1468.1,886.4,997.3,562.1,453.3,434.9,306.3,209.9,375.2,156.4,247.2,256.8,305.6,360.8,350.2,475.7,379.6,755.7,695.7,752.5,454.6,571.6,562.3,333,481.3,279.7,856.1
1608,"1111608","Valença",9.2,7.4,9.2,5.8,8.3,2.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",841.6,757.2,801.5,728.2,882.5,551.5,653.3,386.9,330.2,339.7,256,192.2,382.3,143.1,204.2,189.8,208.7,230.3,207.4,261.9,196.6,360.9,299.5,336.1,202.3,242.3,254.7,149.8,209.1,127.2,387.7
1610,"1111610","Vila Nova de Cerveira",4.5,3.8,4.4,3.2,4.2,1.7,2.3,1,0.6,0.7,0.2,0,0,0,0.2,0.5,1,1.8,2,3.2,2.7,5.8,4.9,6.2,3.6,4.4,4.8,2.8,3.9,2.4,7.2
301,"1120301","Amares",472.4,425.1,448.8,410.4,500.8,315.2,367.2,219.3,189.3,194.7,146.7,109.4,226.8,84.2,127,125,141,163.2,151.5,199.9,152.3,303.1,270.4,290.5,174.4,221.2,217.2,127.2,185.7,105.8,332.9
302,"1120302","Barcelos",252.3,223.8,241.1,242.8,336.7,227.5,296.8,190.6,177.7,202.5,161.1,129.7,294.7,98.5,140.5,119.2,126.6,154.7,136.4,174.4,117.8,230.1,189.4,211.4,123.4,158.9,158.2,94.4,134.6,77.4,249.3
303,"1120303","Braga",66.2,58.5,63.2,63.1,87.6,58.8,77.2,49.7,46.3,52.9,42.9,33.8,75.1,26.1,38.1,35.5,39.2,44.3,39.7,51.5,35.8,71,58,65.6,38.4,51,50.4,29.5,43.8,24.6,75.7
306,"1120306","Esposende",13.3,11.1,13,11.8,18.2,10.8,14.9,9.1,8.2,9.9,7.4,4.9,12.6,2.5,3.8,2.4,3.1,4.3,3.3,4.9,2.2,5.2,2.8,3.7,1.7,2.7,3.1,1.9,3.2,1.9,6.4
310,"1120310","Terras de Bouro",153.3,138,145.6,131.1,157,97.1,113.1,66.1,55.5,56.1,41.6,30.3,59.5,20.8,28.4,25.4,25.4,26.4,21.9,25.6,16.4,29.4,21.6,23.9,13.9,18.2,18.3,10.8,16.2,9.5,30
313,"1120313","Vila Verde",497.6,447.8,472.7,411.5,472.4,279.1,308.8,170,133.2,124.5,83.2,53.2,89.4,33.3,49.9,49,54.5,62.6,57.9,76.3,57.4,113.7,100.2,108.6,64.9,82.9,81.4,48.2,70.2,40.7,127.8
307,"1130307","Fafe",218.8,196.9,207.9,183.4,214.9,129.7,145,81.8,66.2,64.4,45.1,29.1,55.7,15.1,19.7,15.1,9.2,9.9,4.5,1.8,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",17.7,11,19,12.3,31.5,11.8,18.8,10.9,11.3,17.4,10.4,7,27.5,3.4,7.3,3.6,4.8,10.7,8.7,14.7,6.5,18.6,12.3,16.5,7.3,9.5,11.2,6.9,9.3,5.9,23
309,"1130309","Póvoa de Lanhoso",475.9,429.4,452,424.7,529.2,343.2,419.6,257.2,227.8,241.8,190.3,148.6,304.6,107.1,139.2,119.4,116.2,110.2,84.4,87.6,50.8,67.6,33.8,36.5,21.9,27.9,27.5,16.1,23,13.9,42.7
