"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",451.9,511.9,401.7,505.8,642,634.9,381.2,261.1,292.7,239.6,244.1,80.9,54.6,44.7,32.1,38.3,41.3,33,28,23.6,25.6,18.6,34.6,35.9,34.4,39.7,39.8,40.6,43.1,44.4,38.3
1602,"1111602","Caminha",47.1,53.4,42,53.4,69.1,67.4,36.3,22.9,25.4,18.3,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,2.3,3.3,4.8,4
1603,"1111603","Melgaço",50.1,56.8,44.6,56.5,73.2,70.7,40.9,26.5,29.1,23.7,22.5,3.6,0,0,0,0,0,0,0,0.2,0,0,0.5,0.9,1,1.3,1.5,1.9,2.3,2.7,2.3
1604,"1111604","Monção",462.9,524.5,412,513.4,643.1,626.9,372.4,250.4,271.4,215.1,205.8,58.6,23.4,20,13.8,20.6,25,21.8,19.6,18.3,21.4,16.7,31.4,32.6,31.1,36,35.9,36.4,38.1,39.2,34
1605,"1111605","Paredes de Coura",54.9,62.2,48.9,62.2,80.5,79.9,48.1,33.2,38,32.7,34.4,11.7,8.5,7,5,6.1,1.7,1.7,1.2,0,0,0,0,0,0,0.3,1,2.4,3.7,5,4.3
1606,"1111606","Ponte da Barca",141.8,160.7,126.2,157.4,197.2,193.3,112.4,75.4,82.3,64,62.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.7,4.9,7.1,6.1
1607,"1111607","Ponte de Lima",327.9,372,291.7,369.1,469.1,465.1,281.5,194.7,218.8,183,189.7,66.2,45.7,40.3,32.7,40.7,37.4,32.3,29.2,21.2,24,18.3,36.7,38.1,37.1,43.7,44.1,45.6,49,51,44
1608,"1111608","Valença",67.3,76,60,76.7,101.5,99.6,52.9,35.8,44.3,34.8,37.9,8.8,7.5,6.4,4,6.7,9.3,8.3,7.7,8.3,9.9,8.4,14.3,14.7,13.8,15.7,15.5,14.9,15,15,12.9
1609,"1111609","Viana do Castelo",205.5,232.4,183.1,236.2,311.8,308.5,183.9,124.4,143.1,123.3,131.2,40.3,29.1,25.8,20.1,27.3,27.8,24.3,22.1,17.8,22.2,15.7,28.2,30,28.8,32.7,33.8,34,35.1,36.4,31.3
1610,"1111610","Vila Nova de Cerveira",55.4,62.6,49.2,61.6,77.6,75.6,46,31.2,33.9,28,27,9.4,5.3,4.6,3.9,4.5,4.9,4,3.6,3,3.5,2.8,4.5,4.7,4.4,5,5,4.8,4.9,5,4.2
301,"1120301","Amares",115.7,130.9,103,131.8,173.2,169.4,73.1,45.3,57.7,29.1,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",591.2,669.2,526.2,662.2,842.1,820.7,476.3,315.7,345.1,271.9,263.6,42.5,0,0,0,0,0,0,0,0.1,0,0,13.3,16.9,21,28.2,31.9,39.8,46.3,54.2,46.5
303,"1120303","Braga",199.8,226.3,177.9,228.6,297,299.6,185.8,131.5,152.7,134.4,147.6,58.4,48.8,42.5,35,41.1,44.4,36.8,32.8,27.5,31.3,25.9,41.7,42.9,40.1,46.7,45.8,44.8,46.4,46.1,39.7
306,"1120306","Esposende",58.1,65.7,51.7,66.7,88.2,86.4,50.8,33.4,37.6,31.6,32.4,4.6,0,0,0,0,0,0.7,0.5,1.8,1.8,0.7,3.5,3.9,4.1,5,5.4,6.2,7.1,7.7,6.6
310,"1120310","Terras de Bouro",84.9,96.3,75.3,95.1,120.5,119,71.5,48.9,54.6,44.7,45.5,14.5,9.4,8,6.1,7.7,5.1,4.6,4,1.8,1.5,0.2,3.5,4.1,4.5,5.7,6.1,7.2,8.5,9.6,8.3
