"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",2731.1,3174.4,2275.9,1856,1059,623.1,44.3,48.8,58.2,43,37.7,493.9,787.5,550.3,370.8,170.4,12.2,222.7,473,165.8,13.4,186.1,395.5,372,303.4,300,268.6,229.6,206.9,186.3,137.3
1602,"1111602","Caminha",209.1,246.4,176.1,138.2,72.6,32.5,0,0,0,0,0,28,54.3,36.6,22.5,6.8,0,19.5,45.9,23.7,1.9,25.6,50.5,52.6,43,41,38.8,33.2,27.1,26.8,18.7
1603,"1111603","Melgaço",376.7,437.7,313.5,256,145.9,86,7.4,7.8,9.2,7.9,7.3,64.7,100.9,70.8,48.2,22.7,1.2,19.6,41.3,2.8,0,3.2,7.6,7.4,6,5.8,5.3,4.6,3.9,3.7,2.7
1604,"1111604","Monção",2004.1,2331.8,1671.7,1359.4,768.6,445.3,29.4,31.8,39.3,43.9,40.1,386.8,607.8,426.3,288.9,135.1,10.5,144,303.5,69.8,4.5,78,165.5,158.3,129.4,128,114.6,98.1,87.3,79.5,59.1
1605,"1111605","Paredes de Coura",381.1,447.8,320.3,254.2,137.1,67.3,0,0,0,5.5,3.6,133.2,217.7,151.3,100.7,44.4,0,52.1,115.7,29.7,0,33.6,75.7,71.8,58.3,57.4,51,43.2,38,34.3,24.9
1606,"1111606","Ponte da Barca",645.1,748.4,536.3,440.8,255.9,157.1,20.6,21.1,24.1,14.8,13.6,118,183.9,129.2,88,41.8,4.5,52.5,109.7,37.9,2.9,42.1,88.5,84.6,69.3,68.3,61.2,52.3,47.1,42.3,31.1
1607,"1111607","Ponte de Lima",1257.2,1475,1055.4,840.5,456.3,231,0,0,0,2.8,0,414.6,691.1,479.4,316.4,135.6,0,212.1,468,189.6,5.9,212.8,461.9,437.2,356.4,352.9,312.4,266.5,238,212.5,154.5
1608,"1111608","Valença",404.8,472.7,338.9,274,153.8,86.2,2.2,3.2,4.2,8.1,7.2,82.9,131.2,91.9,62.2,28.8,1.6,36.2,77.1,25.4,0.7,27.9,60.2,58.2,47.5,46.9,42,35.7,30.8,28.4,20.8
1609,"1111609","Viana do Castelo",416.3,498.7,358.2,257.5,110.1,2.8,0,0,0,0,0,343,594.1,409.6,265.4,105.1,0,169.2,387.1,146.7,0.1,164,351.7,342.6,278.5,265.7,246.4,209.2,180.6,166.8,120.4
1610,"1111610","Vila Nova de Cerveira",213.5,251.1,180,142.1,76.3,36.9,0,0,0,0,0,50.1,85,58.6,38.4,15.9,0,21,48.2,14.1,0,15.2,32.4,33.4,27.3,25.8,24.2,20.5,17.1,16.2,10.9
