"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,0,69.2,47.7,8.5,0,0,2.4,79.1,42.2,0,17.7,38.9,68.3,113.7,219.6,197.3,179,145,126.4,71.2
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,51.8,32.5,6.3,0,0,0,14.1,9.1,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,24.5,15.7,0.6,11,18.5,32.9,52.8,95.1,87.5,80,60.8,57,32
1604,"1111604","Monção",914.1,1160.5,975,639.9,291.1,32.3,0,0,0,0,0,27,0,31.6,46.2,21.9,0,89.5,277.6,184.4,42.2,130.9,198.4,336.8,542,961.2,863.8,793.6,640.4,569.5,325.2
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4.7,24.8,21,17.2,8.3,6.4,3
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,29.4,67,53,31.6,8.3,0,7.1,23.2,6.1,0,0,0,0.5,1.8,8.6,7.5,6.3,3.6,2.9,1.4
1607,"1111607","Ponte de Lima",1179.2,1532.3,1284.5,795.5,301.4,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,27.4,13.6,0,8.2,18.6,34.3,56.1,105.6,94.6,85.6,64.8,58.8,33
1609,"1111609","Viana do Castelo",1706.7,2181.3,1835.9,1200.8,547.5,30.2,0,0,0,0,0,0,111.5,52.2,0,0,0,0,79.9,31.7,0,0,20.8,54.8,94.3,201.1,188.7,165.4,110.5,99.8,53
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",1021.3,1278.3,1076.9,772,443.5,182.7,0,0,0,0,0,81.2,72.9,66.7,44.4,10.4,0,28.3,96.3,51.1,0,28.4,49.3,85.1,138.6,256.2,225.9,205.2,169.6,145,81.8
302,"1120302","Barcelos",10167.8,12908.2,10879.5,7723.9,4155.4,1064.1,0,0,0,0,0,403.6,3667.4,2454.6,695.2,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0
303,"1120303","Braga",481.9,629.1,530.9,348.3,139.4,0,0,0,0,0,0,149.4,459.9,343.7,166.5,0,0,9.5,155.4,25.3,0,0,0,0,5.2,79.5,64,47.4,13.1,0.5,0
306,"1120306","Esposende",527.9,690.7,581.6,380.6,154.1,0,0,0,0,0,0,95.8,435.1,307.8,122.5,0,0,0,98.7,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",401.3,498.6,420.3,301.6,175.1,75.3,4.6,0,0,0,0,26.3,11.2,13.1,10.6,3.8,0,11.3,35.5,21.7,2.9,14.6,22.8,38.5,62.1,112.5,99.9,91.6,76.5,66.3,37.6
313,"1120313","Vila Verde",311.1,406.5,344.4,205.6,58.2,0,0,0,0,0,0,113.3,263.9,234.8,154.4,44.9,0,81.5,269.9,133.2,0,67.5,123.3,214.6,349.2,654.5,571.5,523.5,419.5,362.8,205.1
307,"1130307","Fafe",101.8,121,107.9,67.8,25.9,0,0,0,0,0,0,63.6,132.3,108.2,63.3,15.8,0,26.4,75.4,37.2,0,13.5,20.6,36.9,60.2,113.9,100.7,91.5,74.8,64.1,36.1
308,"1130308","Guimarães",551.9,710.1,600.9,392,162,0,0,0,0,0,0,112.6,335,279.7,157.2,0,0,64.2,274.5,128.8,0,44.5,95.9,192.9,298.9,531.5,470.6,479.7,312.3,327,183.5
309,"1130309","Póvoa de Lanhoso",367.5,463,391,300.7,180,64.3,0,0,0,0,0,242.6,432.1,349.2,219.1,75.4,0,71.2,155.9,63.9,0,6.4,2.3,7.8,14.1,36.5,31.4,26.7,16.5,14.4,7.1
1314,"1131314","Santo Tirso",744.8,951,804.8,516.8,216,0,0,0,0,0,0,174.3,356.8,310.9,161.6,0,0,39,219.2,83.2,0,0,27.1,119,197.4,375.2,343.3,322.9,249.1,224.6,125
1318,"1131318","Trofa",0,0,0,104.7,139.7,110.6,0,0,0,0,0,73.8,714.3,514.8,217.2,0,0,0,189.1,0,0,0,0,0,0,16.3,0,0,0,0,0
311,"1130311","Vieira do Minho",16.7,15.1,16.9,54.2,52.5,23.5,0,0,0,0,0,376,666.7,553.8,365.4,153.5,0,137.4,276,125,11.6,34.3,30.7,53.2,86.8,163,144.4,131.2,105.6,92.2,52.2
312,"1130312","Vila Nova de Famalicão",836,1107.8,946,656.1,261.4,0,0,0,0,0,0,342.4,1816,1359.6,630.8,0,0,0,708.8,47.9,0,0,0,113.8,233.9,846,648.8,572.8,323.1,246.2,113.5
314,"1130314","Vizela",0,0,0,3.8,5.2,4.1,0,0,0,0,0,0,16.4,8.5,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",18.1,22.5,19.1,13.3,6.5,1.1,0,0,0,0,0,5.4,9.8,11.3,9.5,2.6,0,2.6,17.3,4.4,0,0,0,10.3,9.9,58.3,49.9,41.4,0,0,17
1304,"1141304","Gondomar",559.8,690.1,585.9,437.7,260.1,98.6,0,0,0,0,0,275.8,454,375.6,241.4,83.9,0,86.1,188.6,83.8,0,16.8,14.5,35.3,57.3,103.3,97.4,93.8,73.4,65.5,37.1
