"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",197.9,278.4,239,643.7,995.5,1306.1,1941.5,1757.4,2321.4,3001,3664.2,4907.4,3721.5,3829.6,3524.4,2763.3,2786.3,1597.5,1360.3,979,827.3,321.3,72.1,91.2,159.3,190.3,195.8,182.4,163.9,140.6,68.3
1602,"1111602","Caminha",52.3,92.4,75.7,156.7,225.2,285,439.3,390.2,503.5,666.7,798.4,1054.6,789.8,814.1,749.6,578.4,605.3,347.6,296.3,231,200.2,79.9,21.3,29.2,49.6,57.7,59.2,55.2,47.9,42.2,20
1603,"1111603","Melgaço",0,0,0,0,36.8,76.7,159,152.2,209.8,298.3,368.8,498.3,380,387.8,355.3,275.4,273.4,153.6,126.6,86.1,66.7,20.5,0,0,0,0,0.4,0.3,0.3,0.5,0
1604,"1111604","Monção",142.8,210.9,181.7,670,1095.4,1483.7,2265,2062.4,2744.5,3584.7,4393.2,5908.3,4491.4,4612.3,4245.1,3326.7,3331.9,1914.9,1617.7,1142.4,954.3,360.7,71.9,92.7,159.1,187,188.8,177.6,163.8,142.4,71.3
1605,"1111605","Paredes de Coura",0,0,0,186,374.5,542.9,882.7,818.4,1095.5,1465,1797.1,2418.4,1838.9,1945.6,1852.1,1510.3,1592.4,972.6,900.1,719.7,727.5,388.4,203.9,264.6,442.5,519.4,517.9,484.5,439.5,378.5,187.4
1606,"1111606","Ponte da Barca",5.7,4.6,5.6,159.7,301.2,425.4,622.5,584.4,792.9,1008.9,1256.3,1712.8,1316.2,1351.6,1243.3,974.2,965.6,553.7,467.2,321.9,264,95.6,14.2,18.3,32.8,39.1,40.1,36.7,32.4,27.2,12.4
1607,"1111607","Ponte de Lima",782.9,1096.6,914,1349.2,1668.4,1934.7,2692.6,2323.9,2942.6,3738,4439.5,5814.7,4324.7,4736.6,4680,3969.2,4424.5,2849.4,2818.4,2451.1,2714.7,1628,997.7,1293.6,2148.9,2518.6,2503.8,2343.4,2135.8,1832,910.2
1608,"1111608","Valença",225.8,299.3,249.7,486.9,683.1,850.5,1208.8,1077.8,1408.6,1795,2182.7,2919.2,2210.7,2283,2116.9,1671.9,1681.4,982.6,848.9,608.9,532.9,224.8,71.2,93.3,156.4,183.7,183.6,171.7,154.1,133.3,65.7
1609,"1111609","Viana do Castelo",1263,1680.7,1413,1570.7,1598.9,1596.5,2023.6,1595.2,1860.3,2270.8,2532.5,3128.8,2210.1,2540.3,2626.5,2317.1,2760.7,1865.8,1953.3,1826.8,2143.3,1358.4,877.6,1151,1910.1,2212.7,2232,2088.3,1886.7,1636.8,813.4
1610,"1111610","Vila Nova de Cerveira",539.4,697.4,584.8,674.6,705,721.4,900.3,722.7,864.8,1045.7,1196.1,1515.5,1093.9,1159,1106.4,902.6,959.1,588.8,547.3,442.4,450.9,239.8,124.7,167.3,278.9,322.6,327.2,305.8,273.8,239.3,116.2
