"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",22.5,48.1,70.1,64.7,111.4,86.8,80.1,79,59.1,116.2,100.6,148.2,276.5,105.2,141.9,113.3,117.6,134,111.4,145.4,93.3,120.7,80.1,116.8,85.4,118.2,118.8,60.4,67.6,51.7,124.3
1602,"1111602","Caminha",2.1,4.5,6.7,6.1,10.8,8.2,13.8,13.5,10,41.6,35.5,50.8,98,34,46.8,35.8,33.8,41.5,34.2,40,24.7,31.3,17.4,30.4,21.2,29.1,32.9,16.7,16.8,14.9,35
1603,"1111603","Melgaço",0.1,0.2,0.5,0.3,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0.6,1.2,1.9,1.6,3.4,2.1,2.9,2.6,2,7.9,5.8,5.4,17.2,0,2.2,0.7,2.9,6.1,4.2,11.4,4.4,8.9,4.4,7.7,4.2,7.7,8.9,4.3,5.6,4.3,12.3
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,41.9,34.5,119.6,77.3,98.9,64.7,95.8,69.8,97.5,97.9,50,55.1,42.8,102.6
1606,"1111606","Ponte da Barca",14.6,31.3,45.5,42,72,56.2,54.1,53.5,39.8,86.2,75.1,109.5,203,76.3,102.6,82,109.9,125.2,104.4,180.1,116.2,148.3,96.7,144.3,106.4,146.1,147.6,75.3,84.1,64.7,153.8
1607,"1111607","Ponte de Lima",91.3,195.6,284.6,263.4,451.6,352.9,319.4,316.9,236.8,441.1,386.9,579,1053,421.6,560.2,452,859.5,959.1,801.7,1716.7,1143.8,1428.9,959.4,1399.1,1038,1424.2,1409.1,721.4,794.9,607.7,1427.7
1608,"1111608","Valença",0.5,0.9,1.5,1.1,2.6,1.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",41.6,88.8,129.8,119.6,206.4,160.5,179.4,177.3,132.5,365.2,318.4,479.8,875.1,350,465.4,370.1,438.5,497.5,416.7,631.9,425,524.6,336.6,511.3,376.5,494.3,521.5,265.1,282.3,224.7,527.9
1610,"1111610","Vila Nova de Cerveira",0.3,0.5,0.9,0.7,1.5,1,0.6,0.6,0.4,0,0,0,0,0,0,0,3.9,4.7,3.8,14.7,9.4,11.6,6.7,11.3,8.2,10.9,11.9,6,6.4,5.2,12
301,"1120301","Amares",20.1,42.9,62.7,57.6,99.5,77.4,87.5,86.5,64.8,185.9,160.6,237.6,447.3,169.3,228.7,183.7,266.8,302.7,252.5,465.3,306.4,392.6,261.9,379.8,279.8,388,383.1,193.1,215.7,161.1,390
302,"1120302","Barcelos",8.1,17.2,25.5,23.1,41.4,30.9,57.9,56.7,42.3,182.8,153.2,230.6,440.2,159.8,214.7,146.3,174.3,217.8,181.7,260.5,160.7,213.7,138.8,209,150.5,211.4,211.7,108.8,118.7,89.3,222.1
303,"1120303","Braga",3.5,7.3,10.9,9.9,17.7,13.3,24.6,24.1,18,77.5,67,97.7,182.9,67.8,91.6,72.4,88.1,101.6,84.5,134.1,83.2,110,69.5,105.7,76.1,110.5,109.8,55.3,62.8,46.2,109.5
