"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",8.4,16.4,20.5,23.6,27,33.7,28.1,36,28.2,77,62.5,102.9,67.9,49.6,63.5,55.6,77.9,71.3,65.8,104.9,101.7,59.3,46.8,69.5,81.7,85.9,74.4,49.2,40.8,34,82.5
1602,"1111602","Caminha",2.5,4.8,6,6.9,7.9,9.9,7.3,9.5,7.4,16.1,12.6,19.4,11.5,6.7,9.3,7.9,11,10.8,9.9,15.7,15.1,7.2,4.7,8.8,11.4,11.2,10.7,7.5,5.5,5.4,13.4
1603,"1111603","Melgaço",11.4,22.3,27.8,32.1,36.7,46,31.2,40,31.3,44.7,36.6,60.5,40.4,30.2,38.6,33.8,33.2,30.5,28.2,27.6,26.1,14.9,11.5,18.1,21.2,22,19.5,12.9,10,8.8,21.5
1604,"1111604","Monção",9.9,19.3,24,27.7,31.7,39.6,30.1,38.6,30.2,66.5,54.1,88.8,58.5,42.8,54.8,48.2,59.3,54.6,50.4,70.4,67.5,39,30.2,46.2,54.4,57.3,49.7,33,26.7,22.7,55.6
1605,"1111605","Paredes de Coura",5.1,9.8,12.3,14.2,16.2,20.2,17.3,22.2,17.4,49.3,40.5,67.1,44.9,33.8,43,37.9,50.5,46.3,42.8,67,64.6,37.4,29,43.9,51.7,54.7,47.4,31.5,25.9,21.9,53.4
1606,"1111606","Ponte da Barca",3.3,6.5,8.1,9.3,10.7,13.3,11.8,15.2,11.9,37.8,30.7,48.9,31.1,21.4,27.8,24.2,34.5,32.1,29.6,48.5,46.1,25.8,19.7,30.6,36.9,38.7,33.8,22.8,19,16.1,39.6
1607,"1111607","Ponte de Lima",12,23.4,29.1,33.7,38.6,48.2,37.4,48,37.6,88,71.4,116.2,75.5,54.1,70,61.3,97.9,90.4,83.2,151.1,145.4,83.3,65,97.8,116.5,123.4,106.6,70.9,59.3,49.6,121
1608,"1111608","Valença",3.6,6.9,8.6,9.9,11.3,14.1,10.8,14.1,11.2,27,21.4,35.6,23.5,16.5,21.4,18.7,21.2,19.8,18.3,23.1,21.8,12.4,9.5,15,17.8,18.8,16.3,10.7,8.4,7.2,18.1
1609,"1111609","Viana do Castelo",21.6,42,52.3,60.5,69.3,86.6,60.9,77.9,61.1,102.1,82.8,137.1,90.6,67,86,75.2,105,97.1,90.1,143.8,141.1,80.7,60.6,94.6,111.2,112.6,102.2,67.2,53.7,46.3,112.1
1610,"1111610","Vila Nova de Cerveira",3.1,6.1,7.6,8.7,10,12.5,9.1,11.7,9.2,17.2,14.1,23.4,15.6,11.8,15,13.2,13.4,12.3,11.4,12.1,11.7,6.4,4.7,7.8,9.1,9.4,8.6,5.6,4.5,3.9,9.2
301,"1120301","Amares",3.3,6.4,8,9.2,10.5,13.2,9.3,12.5,10,25.2,18.5,28.6,16.6,7.6,11.8,10.3,0,1.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",52.5,102.7,127.9,147.4,168.5,210.7,142.4,182.7,143.2,206.4,165.4,281.1,185.7,135.8,173,140.1,138.4,133.4,124.8,114.1,109.1,59.9,45.6,71.9,87.1,90.9,78,53.6,42,35,90.4
303,"1120303","Braga",15.7,30.7,38.1,44.1,50.5,63.1,45.8,58.7,45.9,86.2,70.5,115.9,76.7,56.7,72.3,63.1,65.4,60.4,55.9,60.7,57.2,33.1,25.2,39,45.6,49.8,42.8,28.2,23.9,19.6,47.8
306,"1120306","Esposende",24.5,47.8,59.5,68.8,78.6,98.3,68.5,87.7,68.5,110,89.1,150.1,100.2,75.3,95.3,79.2,73.4,70.1,65.3,52.1,49.7,28.8,22.4,34.6,40.1,42.1,36.2,24.8,20.8,17.3,41.4
310,"1120310","Terras de Bouro",3,5.8,7.3,8.4,9.6,12,9.5,12.1,9.5,23,18.7,30.6,20.2,14.7,19,16.7,12.2,11.3,10.4,3.9,3.4,1.1,0.5,1.4,2.5,2.6,2.2,1.8,1.6,1.5,4.3
313,"1120313","Vila Verde",12.1,23.7,29.5,34,38.9,48.7,36.2,46.5,36.4,74.5,60.8,100.1,66.4,49.1,62.9,55.2,74.3,68.2,63,98.5,95.3,55.2,43.1,64.4,76.2,81.1,69.1,46.1,38.2,31.9,78.2
307,"1130307","Fafe",15.2,29.7,36.9,42.7,48.8,60.9,51.4,65.9,51.6,144.4,118.8,194.9,129.1,95.8,122.2,107.5,97.4,90.1,83,72.7,68.3,35.9,26.4,42.8,53.9,57.2,49.4,34.4,29.2,25,63.5
308,"1130308","Guimarães",27.5,53.2,66.2,76.6,87.6,109.6,75.9,98.5,77.5,134.2,104.9,178.5,117.3,84,108.8,86.2,74.6,75.7,71.9,52.3,47.5,24.8,17.8,32.6,38.1,34.6,30.9,24,17.8,15.6,42.7
309,"1130309","Póvoa de Lanhoso",7.8,15.2,18.9,21.8,25,31.2,21.9,28.1,22,35.9,29.3,48.5,32.2,23.9,30.6,27,24.2,22.3,20.6,16.4,15.8,8.7,6.7,10.2,12.5,13.2,11.4,7.6,6.2,5.4,13.4
1314,"1131314","Santo Tirso",18.7,35.9,45,51.8,59.3,74.1,47.9,61.8,48.7,62,43.2,88.1,58.6,44.7,53.4,16.8,31,55.1,56.1,82.7,65.8,34.8,28,61,72.2,72.9,65.3,44,36.2,31.1,74.4
1318,"1131318","Trofa",0,0,0,0,0,0,9.5,12.3,9.6,80.8,65.3,110.4,74.1,56,71.1,59.9,56.1,53.2,49.6,43.8,42.5,22.9,16.9,26.8,32.7,34.5,29,19.8,16,13.4,34.8
311,"1130311","Vieira do Minho",10.4,20.3,25.2,29.2,33.3,41.7,31.7,40.6,31.8,69.2,56.7,94.1,62.8,47.2,60.1,53,50.7,46.3,42.8,39.2,37.9,22,17.1,25.7,30.4,32.1,27.5,18.2,15.1,12.7,31
312,"1130312","Vila Nova de Famalicão",28.5,55.7,69.4,80.1,91.6,114.5,77.7,99.4,77.8,111.3,90.1,150.4,99.8,73.7,93.9,77.2,68.7,65.8,61.5,43.5,37.9,18.4,12.1,25.6,32.2,35.2,28.2,19.8,16.5,13.9,35.2
314,"1130314","Vizela",0,0,0,0,0,0,3.2,4.1,3.2,26.5,21.8,36.4,24.6,18.8,23.8,21,14.6,13.3,12.3,1.2,1.1,0.6,0.4,0.7,0.9,0.9,0.8,0.6,0.5,0.4,1
107,"1140107","Espinho",1,2,2.5,2.9,3.3,4.1,2.5,3.2,2.5,1.9,1.5,2.5,1.6,1.2,1.5,0.7,2.2,2.3,2.2,4.7,3.1,1.4,0,2.3,2.4,3.9,3.3,2.1,0,0,3.6
1304,"1141304","Gondomar",17.2,33.6,41.9,48.4,55.3,69.1,50.6,64.8,50.8,98.7,80,135.7,91.1,69.6,87.5,71.7,110.6,105.4,98.7,168.5,151.9,88.3,64.6,111.5,128.1,127.3,116.2,79.2,65.3,55.2,131.8
1306,"1141306","Maia",18.8,36.5,45.6,52.5,60.1,75.1,55,70.7,55.4,110.1,83.4,156.2,106.1,81.3,100.5,62.2,103.2,110.2,106,163,163.1,85.7,66.3,113.1,129.9,121.4,106.5,76,51.4,55.6,118.8
1308,"1141308","Matosinhos",11.1,21.8,27.1,31.3,35.8,44.7,32.6,41.8,32.6,62.4,49.8,87.2,58.9,45.1,56.4,42.8,52.7,51.7,48.8,61.5,53,34.1,25.2,41.1,47.6,50.2,40,28.4,23.7,20.2,48.1
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0.5,1.6,1.5,0.9,0.7,1.1,1.2,1.3,1.1,0.8,0.6,0.5,1.2
