"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,4.4,4,4.1,3.4,3.9,4.2,4.2,3.5,4,2.9,3.9,5.3,6.9,6.6,5.9,7.6,4.8,6.5,5.5,5.5,7.5,7.4,8.7,4.1
1602,"1111602","Caminha",0,0,0,0,0,0,0,1.1,1,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,1.9,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,12.2,10.8,1.6,1.3,1.6,1.7,1.7,1.4,1.6,0.9,1.1,1.5,1.4,1.4,1.2,1.5,1,1.3,1.1,1.1,1.5,1.5,1.8,0.8
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0.8,0.6,0.9,0.8,0.9,1,0.9,0.8,0.9,0.5,0.6,0.9,0.8,0.8,0.7,0.9,0.6,0.8,0.6,0.6,0.9,0.9,1,0.5
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,1.2,1.1,1.1,0.9,1,1.1,1.1,0.9,1,2.6,3.5,4.7,10.6,10.2,9.1,11.7,7.3,9.9,8.5,8.5,11.5,11.3,13.5,6.4
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,20.7,18.4,25.9,21.2,24.3,26.4,26.1,22,25.3,12.4,16.8,22.3,15.9,15.3,13.7,17.6,11,14.9,12.7,12.7,17.2,17,20.2,9.6
1608,"1111608","Valença",0,0,0,0,0,0,0,2.8,2.5,1,0.8,1,1.1,1,0.9,1,1.4,1.9,2.6,5.1,5,4.5,5.7,3.6,4.8,4.1,4.2,5.6,5.5,6.6,3.1
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,38.1,33.8,10.6,8.6,9.9,10.7,10.6,9,10.3,7.2,9.7,12.9,16.6,16,14.2,18.4,11.5,15.5,13.2,13.3,18,17.7,21.1,10
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0.4,0.3,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.3,0.5,0.6,0.8,0.8,0.7,0.9,0.6,0.8,0.6,0.6,0.9,0.9,1,0.5
